category,fiscal_month,amount
excess_of_receipts_over_disbursements,1,-19.5
opening_balance,1,434.3
tran,1,0.0
closing_balance,1,414.8
excess_of_receipts_over_disbursements,2,-36.6
opening_balance,2,414.8
tran,2,0.0
closing_balance,2,378.2
excess_of_receipts_over_disbursements,3,55.1
opening_balance,3,378.2
tran,3,0.0
closing_balance,3,433.3
excess_of_receipts_over_disbursements,4,-108.8
opening_balance,4,433.3
tran,4,0.0
closing_balance,4,324.4
excess_of_receipts_over_disbursements,5,-112.3
opening_balance,5,324.4
tran,5,0.0
closing_balance,5,212.1
excess_of_receipts_over_disbursements,6,-43.2
opening_balance,6,212.1
tran,6,100.0
closing_balance,6,268.9
excess_of_receipts_over_disbursements,7,48.4
opening_balance,7,268.9
tran,7,0.0
closing_balance,7,317.3
excess_of_receipts_over_disbursements,8,181.9
opening_balance,8,317.3
tran,8,0.0
closing_balance,8,499.2
excess_of_receipts_over_disbursements,9,-287.1
opening_balance,9,499.2
tran,9,0.0
closing_balance,9,212.1
excess_of_receipts_over_disbursements,10,141.7
opening_balance,10,212.1
tran,10,0.0
closing_balance,10,353.8
excess_of_receipts_over_disbursements,11,120.6
opening_balance,11,353.8
tran,11,-100.0
closing_balance,11,374.4
excess_of_receipts_over_disbursements,12,-58.3
opening_balance,12,374.4
tran,12,0.0
closing_balance,12,316.1
