category,fiscal_month,amount
real_estate_tax,1,7.3
total_wage_earnings_net_profits,1,89.4
realty_transfer_tax,1,10.2
sales_tax,1,19.4
business_income_and_receipts_tax,1,3.6
other_taxes,1,8.2
locally_generated_nontax,1,19.4
total_other_governments,1,3.7
total_pica_other_governments,1,26.0
interfund_transfers,1,8.4
total_current_revenue,1,195.6
collection_of_prior_year_revenue,1,18.7
other_fund_balance_adjustments,1,0.0
total_cash_receipts,1,214.3
real_estate_tax,2,7.3
total_wage_earnings_net_profits,2,111.3
realty_transfer_tax,2,13.9
sales_tax,2,22.0
business_income_and_receipts_tax,2,3.6
other_taxes,2,9.7
locally_generated_nontax,2,22.8
total_other_governments,2,53.2
total_pica_other_governments,2,13.9
interfund_transfers,2,0.0
total_current_revenue,2,257.6
collection_of_prior_year_revenue,2,129.5
other_fund_balance_adjustments,2,0.0
total_cash_receipts,2,387.1
real_estate_tax,3,5.9
total_wage_earnings_net_profits,3,85.2
realty_transfer_tax,3,11.9
sales_tax,3,20.3
business_income_and_receipts_tax,3,9.7
other_taxes,3,6.6
locally_generated_nontax,3,16.9
total_other_governments,3,98.3
total_pica_other_governments,3,22.6
interfund_transfers,3,0.1
total_current_revenue,3,277.5
collection_of_prior_year_revenue,3,1.0
other_fund_balance_adjustments,3,0.0
total_cash_receipts,3,278.6
real_estate_tax,4,5.5
total_wage_earnings_net_profits,4,102.3
realty_transfer_tax,4,9.3
sales_tax,4,19.4
business_income_and_receipts_tax,4,9.5
other_taxes,4,6.7
locally_generated_nontax,4,17.5
total_other_governments,4,69.1
total_pica_other_governments,4,21.6
interfund_transfers,4,0.0
total_current_revenue,4,260.8
collection_of_prior_year_revenue,4,10.5
other_fund_balance_adjustments,4,0.0
total_cash_receipts,4,271.3
real_estate_tax,5,5.3
total_wage_earnings_net_profits,5,97.6
realty_transfer_tax,5,7.5
sales_tax,5,21.5
business_income_and_receipts_tax,5,-0.9
other_taxes,5,7.3
locally_generated_nontax,5,25.7
total_other_governments,5,4.6
total_pica_other_governments,5,23.1
interfund_transfers,5,0.0
total_current_revenue,5,191.7
collection_of_prior_year_revenue,5,0.0
other_fund_balance_adjustments,5,0.0
total_cash_receipts,5,191.7
real_estate_tax,6,14.8
total_wage_earnings_net_profits,6,90.1
realty_transfer_tax,6,8.7
sales_tax,6,20.5
business_income_and_receipts_tax,6,-0.0
other_taxes,6,7.1
locally_generated_nontax,6,22.4
total_other_governments,6,17.4
total_pica_other_governments,6,25.4
interfund_transfers,6,0.0
total_current_revenue,6,206.4
collection_of_prior_year_revenue,6,0.0
other_fund_balance_adjustments,6,0.0
total_cash_receipts,6,206.4
real_estate_tax,7,39.4
total_wage_earnings_net_profits,7,112.4
realty_transfer_tax,7,9.4
sales_tax,7,20.3
business_income_and_receipts_tax,7,12.8
other_taxes,7,6.5
locally_generated_nontax,7,19.6
total_other_governments,7,19.6
total_pica_other_governments,7,22.2
interfund_transfers,7,0.0
total_current_revenue,7,262.2
collection_of_prior_year_revenue,7,0.0
other_fund_balance_adjustments,7,0.0
total_cash_receipts,7,262.2
real_estate_tax,8,298.6
total_wage_earnings_net_profits,8,93.7
realty_transfer_tax,8,8.4
sales_tax,8,23.9
business_income_and_receipts_tax,8,10.7
other_taxes,8,13.0
locally_generated_nontax,8,23.3
total_other_governments,8,54.4
total_pica_other_governments,8,17.7
interfund_transfers,8,0.0
total_current_revenue,8,543.8
collection_of_prior_year_revenue,8,0.0
other_fund_balance_adjustments,8,0.0
total_cash_receipts,8,543.8
real_estate_tax,9,81.0
total_wage_earnings_net_profits,9,96.1
realty_transfer_tax,9,9.0
sales_tax,9,19.3
business_income_and_receipts_tax,9,34.1
other_taxes,9,2.3
locally_generated_nontax,9,27.5
total_other_governments,9,17.6
total_pica_other_governments,9,39.0
interfund_transfers,9,0.0
total_current_revenue,9,325.9
collection_of_prior_year_revenue,9,0.0
other_fund_balance_adjustments,9,0.0
total_cash_receipts,9,325.9
real_estate_tax,10,20.0
total_wage_earnings_net_profits,10,117.2
realty_transfer_tax,10,9.4
sales_tax,10,20.1
business_income_and_receipts_tax,10,145.5
other_taxes,10,14.1
locally_generated_nontax,10,14.5
total_other_governments,10,12.5
total_pica_other_governments,10,25.2
interfund_transfers,10,0.0
total_current_revenue,10,378.5
collection_of_prior_year_revenue,10,0.0
other_fund_balance_adjustments,10,0.0
total_cash_receipts,10,378.5
real_estate_tax,11,8.2
total_wage_earnings_net_profits,11,101.4
realty_transfer_tax,11,10.8
sales_tax,11,22.7
business_income_and_receipts_tax,11,161.2
other_taxes,11,8.3
locally_generated_nontax,11,25.5
total_other_governments,11,23.1
total_pica_other_governments,11,26.4
interfund_transfers,11,10.0
total_current_revenue,11,397.6
collection_of_prior_year_revenue,11,0.0
other_fund_balance_adjustments,11,0.0
total_cash_receipts,11,397.6
real_estate_tax,12,8.7
total_wage_earnings_net_profits,12,94.3
realty_transfer_tax,12,10.5
sales_tax,12,21.0
business_income_and_receipts_tax,12,5.9
other_taxes,12,7.6
locally_generated_nontax,12,23.2
total_other_governments,12,17.1
total_pica_other_governments,12,27.5
interfund_transfers,12,2.9
total_current_revenue,12,218.5
collection_of_prior_year_revenue,12,0.0
other_fund_balance_adjustments,12,0.0
total_cash_receipts,12,218.5
real_estate_tax,13,502.0
total_wage_earnings_net_profits,13,1190.8
realty_transfer_tax,13,118.9
sales_tax,13,250.2
business_income_and_receipts_tax,13,395.8
other_taxes,13,97.5
locally_generated_nontax,13,258.2
total_other_governments,13,390.6
total_pica_other_governments,13,290.5
interfund_transfers,13,21.4
total_current_revenue,13,3516.0
collection_of_prior_year_revenue,13,159.6
other_fund_balance_adjustments,13,0.0
total_cash_receipts,13,3675.7
