sector,number_entities,total,percent_of_total,parent_sector
Construction,811.0,7068524,2.3,
Manufacturing,1286.0,9555044,3.1,
Public Utilities,71.0,9806327,3.2,
Telecommunications,225.0,22068353,7.2,
Wholesale,1799.0,24732979,8.1,
Car and truck rental,88.0,8569943,2.8,
Rentals except car and truck rentals,432.0,5377770,1.8,
Repair services,984.0,5880400,1.9,
Services other than repair services,2708.0,19480856,6.4,
Hotels,89.0,10231551,3.4,
"Restaurants, bars, concessionaires and caterers",2978.0,40533460,13.3,
All Other Sectors,1213.0,15375457,5.0,
Total Retail,4068.0,86433765,28.4,
Furniture stores retail,140.0,4160946,1.4,Total Retail
"Appliance, other electronics, retail",124.0,2450915,0.8,Total Retail
"Computer and software stores, retail",102.0,5745257,1.9,Total Retail
"Home centers, retail",23.0,9066800,3.0,Total Retail
"Supermarkets, retail",239.0,4906762,1.6,Total Retail
"Convenience stores, retail",186.0,4518142,1.5,Total Retail
"Liquor and beer stores, retail",126.0,6935684,2.3,Total Retail
"Pharmacies, retail",38.0,3891345,1.3,Total Retail
"Department stores, retail",19.0,10460051,3.4,Total Retail
"Office supplies stores, retail",42.0,1819252,0.6,Total Retail
Other retail,3029.0,32478611,10.7,Total Retail
Unclassified,1434.0,935113,0.3,
Subtotal,22254.0,266049540,87.4,
Motor Vehicle Sales Tax,,38444000,12.6,
