category,fiscal_month,amount
general,1,217.0
grants_revenue,1,111.5
community_development,1,-1.3
vehicle_rental_tax,1,5.2
hospital_assessment_fund,1,4.2
housing_trust_fund,1,16.6
other_funds,1,26.5
total_operating_funds,1,379.7
capital_improvement,1,124.3
industrial_and_commercial_dev,1,4.8
total_capital_funds,1,129.1
total_fund_equity,1,508.8
general,2,305.8
grants_revenue,2,108.1
community_development,2,-5.0
vehicle_rental_tax,2,5.7
hospital_assessment_fund,2,3.6
housing_trust_fund,2,16.4
other_funds,2,20.6
total_operating_funds,2,455.2
capital_improvement,2,122.1
industrial_and_commercial_dev,2,4.8
total_capital_funds,2,126.9
total_fund_equity,2,582.1
general,3,297.3
grants_revenue,3,104.3
community_development,3,-4.1
vehicle_rental_tax,3,2.2
hospital_assessment_fund,3,35.1
housing_trust_fund,3,16.8
other_funds,3,16.8
total_operating_funds,3,468.4
capital_improvement,3,111.6
industrial_and_commercial_dev,3,5.1
total_capital_funds,3,116.7
total_fund_equity,3,585.1
general,4,308.1
grants_revenue,4,100.9
community_development,4,-6.3
vehicle_rental_tax,4,2.6
hospital_assessment_fund,4,5.0
housing_trust_fund,4,17.2
other_funds,4,16.8
total_operating_funds,4,444.3
capital_improvement,4,105.6
industrial_and_commercial_dev,4,5.1
total_capital_funds,4,110.7
total_fund_equity,4,555.0
general,5,260.9
grants_revenue,5,105.7
community_development,5,-5.0
vehicle_rental_tax,5,3.1
hospital_assessment_fund,5,4.7
housing_trust_fund,5,15.0
other_funds,5,46.5
total_operating_funds,5,430.9
capital_improvement,5,99.3
industrial_and_commercial_dev,5,5.1
total_capital_funds,5,104.4
total_fund_equity,5,535.3
general,6,155.4
grants_revenue,6,94.4
community_development,6,1.2
vehicle_rental_tax,6,3.5
hospital_assessment_fund,6,6.5
housing_trust_fund,6,14.7
other_funds,6,26.2
total_operating_funds,6,301.9
capital_improvement,6,90.9
industrial_and_commercial_dev,6,3.2
total_capital_funds,6,94.1
total_fund_equity,6,396.0
general,7,164.5
grants_revenue,7,50.0
community_development,7,-2.0
vehicle_rental_tax,7,7.6
hospital_assessment_fund,7,2.0
housing_trust_fund,7,12.0
other_funds,7,9.0
total_operating_funds,7,243.1
capital_improvement,7,80.9
industrial_and_commercial_dev,7,4.5
total_capital_funds,7,85.4
total_fund_equity,7,328.5
general,8,335.6
grants_revenue,8,50.0
community_development,8,-2.0
vehicle_rental_tax,8,8.0
hospital_assessment_fund,8,2.0
housing_trust_fund,8,14.0
other_funds,8,9.0
total_operating_funds,8,416.6
capital_improvement,8,70.9
industrial_and_commercial_dev,8,4.5
total_capital_funds,8,75.4
total_fund_equity,8,492.0
general,9,210.6
grants_revenue,9,50.0
community_development,9,-2.0
vehicle_rental_tax,9,5.9
hospital_assessment_fund,9,2.0
housing_trust_fund,9,14.0
other_funds,9,9.0
total_operating_funds,9,289.5
capital_improvement,9,60.9
industrial_and_commercial_dev,9,4.5
total_capital_funds,9,65.4
total_fund_equity,9,354.9
general,10,222.3
grants_revenue,10,40.0
community_development,10,-2.0
vehicle_rental_tax,10,6.4
hospital_assessment_fund,10,2.0
housing_trust_fund,10,14.0
other_funds,10,9.0
total_operating_funds,10,291.7
capital_improvement,10,50.9
industrial_and_commercial_dev,10,4.5
total_capital_funds,10,55.4
total_fund_equity,10,347.1
general,11,32.7
grants_revenue,11,40.0
community_development,11,-2.0
vehicle_rental_tax,11,6.9
hospital_assessment_fund,11,2.0
housing_trust_fund,11,12.0
other_funds,11,9.0
total_operating_funds,11,100.6
capital_improvement,11,190.3
industrial_and_commercial_dev,11,4.5
total_capital_funds,11,194.8
total_fund_equity,11,295.4
general,12,104.0
grants_revenue,12,40.0
community_development,12,-2.0
vehicle_rental_tax,12,7.4
hospital_assessment_fund,12,2.0
housing_trust_fund,12,12.0
other_funds,12,9.0
total_operating_funds,12,172.4
capital_improvement,12,180.3
industrial_and_commercial_dev,12,4.5
total_capital_funds,12,184.8
total_fund_equity,12,357.2
