category,fiscal_month,amount
general,1,231.4
grants_revenue,1,168.9
community_development,1,-13.2
vehicle_rental_tax,1,5.7
other_funds,1,9.9
total_operating_funds,1,402.7
capital_improvement,1,66.6
industrial_and_commercial_dev,1,4.3
total_capital_funds,1,70.9
total_fund_equity,1,473.6
general,2,218.6
grants_revenue,2,145.2
community_development,2,-4.8
vehicle_rental_tax,2,6.3
other_funds,2,22.9
total_operating_funds,2,388.2
capital_improvement,2,61.0
industrial_and_commercial_dev,2,4.3
total_capital_funds,2,65.3
total_fund_equity,2,453.5
general,3,227.8
grants_revenue,3,53.5
community_development,3,-8.8
vehicle_rental_tax,3,4.3
other_funds,3,11.2
total_operating_funds,3,288.0
capital_improvement,3,57.8
industrial_and_commercial_dev,3,4.9
total_capital_funds,3,62.7
total_fund_equity,3,350.7
general,4,226.5
grants_revenue,4,74.2
community_development,4,-11.3
vehicle_rental_tax,4,4.7
other_funds,4,9.0
total_operating_funds,4,303.1
capital_improvement,4,46.6
industrial_and_commercial_dev,4,5.5
total_capital_funds,4,52.1
total_fund_equity,4,355.2
general,5,115.3
grants_revenue,5,50.0
community_development,5,-9.2
vehicle_rental_tax,5,5.2
other_funds,5,9.0
total_operating_funds,5,170.3
capital_improvement,5,38.6
industrial_and_commercial_dev,5,4.5
total_capital_funds,5,43.1
total_fund_equity,5,213.4
general,6,72.6
grants_revenue,6,40.0
community_development,6,-6.0
vehicle_rental_tax,6,5.7
other_funds,6,9.0
total_operating_funds,6,121.3
capital_improvement,6,210.6
industrial_and_commercial_dev,6,4.5
total_capital_funds,6,215.1
total_fund_equity,6,336.4
general,7,77.5
grants_revenue,7,35.0
community_development,7,-9.0
vehicle_rental_tax,7,6.1
other_funds,7,9.0
total_operating_funds,7,118.6
capital_improvement,7,202.6
industrial_and_commercial_dev,7,4.5
total_capital_funds,7,207.1
total_fund_equity,7,325.7
general,8,259.5
grants_revenue,8,35.0
community_development,8,-6.0
vehicle_rental_tax,8,6.5
other_funds,8,9.0
total_operating_funds,8,304.0
capital_improvement,8,194.6
industrial_and_commercial_dev,8,4.5
total_capital_funds,8,199.1
total_fund_equity,8,503.1
general,9,329.0
grants_revenue,9,35.0
community_development,9,-6.0
vehicle_rental_tax,9,6.9
other_funds,9,9.0
total_operating_funds,9,373.9
capital_improvement,9,186.6
industrial_and_commercial_dev,9,4.5
total_capital_funds,9,191.1
total_fund_equity,9,565.0
general,10,436.1
grants_revenue,10,35.0
community_development,10,-6.0
vehicle_rental_tax,10,7.4
other_funds,10,9.0
total_operating_funds,10,481.5
capital_improvement,10,178.6
industrial_and_commercial_dev,10,4.5
total_capital_funds,10,183.1
total_fund_equity,10,664.6
general,11,148.3
grants_revenue,11,35.0
community_development,11,-6.0
vehicle_rental_tax,11,5.1
other_funds,11,9.0
total_operating_funds,11,191.4
capital_improvement,11,170.6
industrial_and_commercial_dev,11,4.5
total_capital_funds,11,175.1
total_fund_equity,11,366.5
general,12,118.9
grants_revenue,12,35.0
community_development,12,-6.0
vehicle_rental_tax,12,5.6
other_funds,12,9.0
total_operating_funds,12,162.5
capital_improvement,12,162.6
industrial_and_commercial_dev,12,4.5
total_capital_funds,12,167.1
total_fund_equity,12,329.6
