category,fiscal_month,amount
general,1,409.9
grants_revenue,1,-117.0
community_development,1,-3.1
vehicle_rental_tax,1,7.3
hospital_assessment_fund,1,12.4
housing_trust_fund,1,18.6
other_funds,1,15.3
total_operating_funds,1,343.3
capital_improvement,1,146.2
industrial_and_commercial_dev,1,4.1
total_capital_funds,1,150.2
total_fund_equity,1,493.6
general,2,351.5
grants_revenue,2,-14.1
community_development,2,-6.4
vehicle_rental_tax,2,7.8
hospital_assessment_fund,2,12.1
housing_trust_fund,2,18.5
other_funds,2,11.4
total_operating_funds,2,380.7
capital_improvement,2,137.7
industrial_and_commercial_dev,2,4.1
total_capital_funds,2,141.8
total_fund_equity,2,522.5
general,3,333.4
grants_revenue,3,-64.8
community_development,3,-2.5
vehicle_rental_tax,3,2.4
hospital_assessment_fund,3,46.0
housing_trust_fund,3,18.8
other_funds,3,17.2
total_operating_funds,3,350.5
capital_improvement,3,124.6
industrial_and_commercial_dev,3,4.1
total_capital_funds,3,128.6
total_fund_equity,3,479.2
general,4,259.1
grants_revenue,4,-71.1
community_development,4,-0.1
vehicle_rental_tax,4,2.8
hospital_assessment_fund,4,12.7
housing_trust_fund,4,19.4
other_funds,4,14.5
total_operating_funds,4,237.4
capital_improvement,4,119.6
industrial_and_commercial_dev,4,4.1
total_capital_funds,4,123.7
total_fund_equity,4,361.1
general,5,298.2
grants_revenue,5,-74.0
community_development,5,-2.6
vehicle_rental_tax,5,5.6
hospital_assessment_fund,5,7.2
housing_trust_fund,5,15.9
other_funds,5,24.2
total_operating_funds,5,274.5
capital_improvement,5,112.1
industrial_and_commercial_dev,5,4.3
total_capital_funds,5,116.4
total_fund_equity,5,390.9
general,6,243.8
grants_revenue,6,-115.3
community_development,6,-0.9
vehicle_rental_tax,6,5.9
hospital_assessment_fund,6,12.3
housing_trust_fund,6,15.3
other_funds,6,27.8
total_operating_funds,6,188.9
capital_improvement,6,104.6
industrial_and_commercial_dev,6,3.9
total_capital_funds,6,108.5
total_fund_equity,6,297.4
general,7,273.3
grants_revenue,7,-106.1
community_development,7,-3.0
vehicle_rental_tax,7,6.3
hospital_assessment_fund,7,8.0
housing_trust_fund,7,15.1
other_funds,7,13.6
total_operating_funds,7,207.3
capital_improvement,7,97.1
industrial_and_commercial_dev,7,3.9
total_capital_funds,7,101.0
total_fund_equity,7,308.3
general,8,572.3
grants_revenue,8,-137.9
community_development,8,-3.5
vehicle_rental_tax,8,6.7
hospital_assessment_fund,8,7.6
housing_trust_fund,8,15.3
other_funds,8,20.2
total_operating_funds,8,480.6
capital_improvement,8,89.6
industrial_and_commercial_dev,8,3.9
total_capital_funds,8,93.5
total_fund_equity,8,574.1
general,9,290.9
grants_revenue,9,-74.1
community_development,9,-6.2
vehicle_rental_tax,9,5.6
hospital_assessment_fund,9,17.8
housing_trust_fund,9,15.0
other_funds,9,3.2
total_operating_funds,9,252.3
capital_improvement,9,82.1
industrial_and_commercial_dev,9,3.9
total_capital_funds,9,86.0
total_fund_equity,9,338.3
general,10,360.7
grants_revenue,10,-63.1
community_development,10,-2.5
vehicle_rental_tax,10,6.0
hospital_assessment_fund,10,8.7
housing_trust_fund,10,14.5
other_funds,10,14.6
total_operating_funds,10,339.0
capital_improvement,10,74.6
industrial_and_commercial_dev,10,3.8
total_capital_funds,10,78.4
total_fund_equity,10,417.4
general,11,333.0
grants_revenue,11,-96.1
community_development,11,-5.0
vehicle_rental_tax,11,5.4
hospital_assessment_fund,11,23.0
housing_trust_fund,11,14.3
other_funds,11,18.0
total_operating_funds,11,292.6
capital_improvement,11,67.1
industrial_and_commercial_dev,11,3.8
total_capital_funds,11,70.9
total_fund_equity,11,363.5
general,12,291.6
grants_revenue,12,-69.8
community_development,12,-6.8
vehicle_rental_tax,12,5.9
hospital_assessment_fund,12,18.1
housing_trust_fund,12,14.2
other_funds,12,33.0
total_operating_funds,12,286.2
capital_improvement,12,59.6
industrial_and_commercial_dev,12,3.7
total_capital_funds,12,63.3
total_fund_equity,12,349.6
