category,fiscal_month,amount
general,1,414.8
grants_revenue,1,-67.5
community_development,1,-6.0
vehicle_rental_tax,1,6.8
hospital_assessment_fund,1,11.8
housing_trust_fund,1,16.5
other_funds,1,7.0
total_operating_funds,1,383.5
capital_improvement,1,230.0
industrial_and_commercial_dev,1,3.6
total_capital_funds,1,233.7
total_fund_equity,1,617.1
general,2,378.2
grants_revenue,2,14.5
community_development,2,-4.4
vehicle_rental_tax,2,7.4
hospital_assessment_fund,2,10.3
housing_trust_fund,2,17.4
other_funds,2,11.9
total_operating_funds,2,435.3
capital_improvement,2,228.8
industrial_and_commercial_dev,2,3.6
total_capital_funds,2,232.5
total_fund_equity,2,667.8
general,3,433.3
grants_revenue,3,23.5
community_development,3,-4.1
vehicle_rental_tax,3,2.9
hospital_assessment_fund,3,9.9
housing_trust_fund,3,18.0
other_funds,3,33.1
total_operating_funds,3,516.6
capital_improvement,3,228.0
industrial_and_commercial_dev,3,3.9
total_capital_funds,3,232.0
total_fund_equity,3,748.5
general,4,324.4
grants_revenue,4,-17.9
community_development,4,-4.0
vehicle_rental_tax,4,3.3
hospital_assessment_fund,4,9.3
housing_trust_fund,4,18.0
other_funds,4,35.0
total_operating_funds,4,368.2
capital_improvement,4,212.7
industrial_and_commercial_dev,4,3.9
total_capital_funds,4,216.6
total_fund_equity,4,584.8
general,5,212.1
grants_revenue,5,-78.3
community_development,5,-3.8
vehicle_rental_tax,5,3.8
hospital_assessment_fund,5,9.0
housing_trust_fund,5,17.8
other_funds,5,16.4
total_operating_funds,5,177.1
capital_improvement,5,203.1
industrial_and_commercial_dev,5,3.9
total_capital_funds,5,207.1
total_fund_equity,5,384.2
general,6,268.9
grants_revenue,6,-116.1
community_development,6,-4.3
vehicle_rental_tax,6,4.2
hospital_assessment_fund,6,8.5
housing_trust_fund,6,18.1
other_funds,6,15.6
total_operating_funds,6,194.9
capital_improvement,6,196.7
industrial_and_commercial_dev,6,3.9
total_capital_funds,6,200.6
total_fund_equity,6,395.5
general,7,317.3
grants_revenue,7,-125.2
community_development,7,-5.9
vehicle_rental_tax,7,4.6
hospital_assessment_fund,7,8.4
housing_trust_fund,7,18.3
other_funds,7,15.4
total_operating_funds,7,232.8
capital_improvement,7,187.0
industrial_and_commercial_dev,7,3.9
total_capital_funds,7,190.9
total_fund_equity,7,423.7
general,8,499.2
grants_revenue,8,-120.5
community_development,8,-3.9
vehicle_rental_tax,8,5.0
hospital_assessment_fund,8,8.0
housing_trust_fund,8,18.3
other_funds,8,19.4
total_operating_funds,8,425.5
capital_improvement,8,178.9
industrial_and_commercial_dev,8,4.0
total_capital_funds,8,182.9
total_fund_equity,8,608.3
general,9,212.1
grants_revenue,9,-86.4
community_development,9,-7.9
vehicle_rental_tax,9,5.3
hospital_assessment_fund,9,7.6
housing_trust_fund,9,18.4
other_funds,9,7.6
total_operating_funds,9,156.7
capital_improvement,9,174.5
industrial_and_commercial_dev,9,4.0
total_capital_funds,9,178.5
total_fund_equity,9,335.2
general,10,360.4
grants_revenue,10,-91.4
community_development,10,-3.3
vehicle_rental_tax,10,5.7
hospital_assessment_fund,10,7.3
housing_trust_fund,10,17.0
other_funds,10,15.6
total_operating_funds,10,311.2
capital_improvement,10,168.0
industrial_and_commercial_dev,10,4.0
total_capital_funds,10,172.0
total_fund_equity,10,483.2
general,11,390.2
grants_revenue,11,-156.3
community_development,11,-1.6
vehicle_rental_tax,11,6.2
hospital_assessment_fund,11,5.4
housing_trust_fund,11,16.5
other_funds,11,27.0
total_operating_funds,11,287.4
capital_improvement,11,164.0
industrial_and_commercial_dev,11,4.0
total_capital_funds,11,167.9
total_fund_equity,11,455.3
general,12,448.9
grants_revenue,12,-94.3
community_development,12,-6.5
vehicle_rental_tax,12,6.7
hospital_assessment_fund,12,12.4
housing_trust_fund,12,17.7
other_funds,12,17.6
total_operating_funds,12,402.5
capital_improvement,12,157.3
industrial_and_commercial_dev,12,4.1
total_capital_funds,12,161.4
total_fund_equity,12,563.9
