category,fiscal_month,amount
general,1,308.6
grants_revenue,1,150.7
community_development,1,-20.6
vehicle_rental_tax,1,5.1
other_funds,1,7.0
total_operating_funds,1,450.8
capital_improvement,1,225.0
industrial_and_commercial_dev,1,3.6
total_capital_funds,1,228.6
total_fund_equity,1,679.4
general,2,366.7
grants_revenue,2,58.2
community_development,2,8.3
vehicle_rental_tax,2,5.5
other_funds,2,10.7
total_operating_funds,2,449.4
capital_improvement,2,218.8
industrial_and_commercial_dev,2,3.7
total_capital_funds,2,222.5
total_fund_equity,2,671.9
general,3,351.6
grants_revenue,3,26.6
community_development,3,12.5
vehicle_rental_tax,3,5.9
other_funds,3,14.3
total_operating_funds,3,410.9
capital_improvement,3,210.7
industrial_and_commercial_dev,3,3.7
total_capital_funds,3,214.4
total_fund_equity,3,625.3
general,4,365.1
grants_revenue,4,47.6
community_development,4,11.6
vehicle_rental_tax,4,3.9
other_funds,4,11.2
total_operating_funds,4,439.4
capital_improvement,4,202.0
industrial_and_commercial_dev,4,4.9
total_capital_funds,4,206.9
total_fund_equity,4,646.3
general,5,331.4
grants_revenue,5,47.7
community_development,5,10.8
vehicle_rental_tax,5,4.4
other_funds,5,11.2
total_operating_funds,5,405.5
capital_improvement,5,193.7
industrial_and_commercial_dev,5,3.9
total_capital_funds,5,197.6
total_fund_equity,5,603.1
general,6,285.1
grants_revenue,6,37.6
community_development,6,12.7
vehicle_rental_tax,6,4.8
other_funds,6,14.3
total_operating_funds,6,354.5
capital_improvement,6,187.3
industrial_and_commercial_dev,6,3.9
total_capital_funds,6,191.2
total_fund_equity,6,545.7
general,7,257.6
grants_revenue,7,100.0
community_development,7,3.0
vehicle_rental_tax,7,5.2
other_funds,7,11.0
total_operating_funds,7,376.8
capital_improvement,7,179.3
industrial_and_commercial_dev,7,3.4
total_capital_funds,7,182.7
total_fund_equity,7,559.5
general,8,402.5
grants_revenue,8,85.0
community_development,8,-3.0
vehicle_rental_tax,8,5.6
other_funds,8,11.0
total_operating_funds,8,501.1
capital_improvement,8,171.3
industrial_and_commercial_dev,8,4.0
total_capital_funds,8,175.3
total_fund_equity,8,676.4
general,9,413.7
grants_revenue,9,55.0
community_development,9,-3.0
vehicle_rental_tax,9,6.0
other_funds,9,11.0
total_operating_funds,9,482.7
capital_improvement,9,163.3
industrial_and_commercial_dev,9,4.0
total_capital_funds,9,167.3
total_fund_equity,9,650.0
general,10,545.3
grants_revenue,10,50.0
community_development,10,-3.0
vehicle_rental_tax,10,3.5
other_funds,10,11.0
total_operating_funds,10,606.8
capital_improvement,10,155.3
industrial_and_commercial_dev,10,4.0
total_capital_funds,10,159.3
total_fund_equity,10,766.1
general,11,306.8
grants_revenue,11,20.0
community_development,11,-3.0
vehicle_rental_tax,11,3.9
other_funds,11,9.0
total_operating_funds,11,336.7
capital_improvement,11,147.3
industrial_and_commercial_dev,11,4.0
total_capital_funds,11,151.3
total_fund_equity,11,488.0
general,12,274.2
grants_revenue,12,20.0
community_development,12,0.0
vehicle_rental_tax,12,4.3
other_funds,12,9.0
total_operating_funds,12,307.5
capital_improvement,12,139.3
industrial_and_commercial_dev,12,4.0
total_capital_funds,12,143.3
total_fund_equity,12,450.8
