category,fiscal_month,amount
general,1,-18.7
grants_revenue,1,123.7
community_development,1,-9.3
vehicle_rental_tax,1,6.3
hospital_assessment_fund,1,5.2
housing_trust_fund,1,11.2
other_funds,1,29.4
total_operating_funds,1,147.7
capital_improvement,1,201.0
industrial_and_commercial_dev,1,3.4
total_capital_funds,1,204.3
total_fund_equity,1,352.0
general,2,138.3
grants_revenue,2,136.9
community_development,2,-0.7
vehicle_rental_tax,2,6.9
hospital_assessment_fund,2,5.0
housing_trust_fund,2,11.6
other_funds,2,14.5
total_operating_funds,2,312.6
capital_improvement,2,193.2
industrial_and_commercial_dev,2,3.4
total_capital_funds,2,196.6
total_fund_equity,2,509.2
general,3,189.2
grants_revenue,3,61.2
community_development,3,0.3
vehicle_rental_tax,3,7.4
hospital_assessment_fund,3,6.6
housing_trust_fund,3,11.9
other_funds,3,19.7
total_operating_funds,3,296.3
capital_improvement,3,183.6
industrial_and_commercial_dev,3,3.4
total_capital_funds,3,186.9
total_fund_equity,3,483.2
general,4,112.7
grants_revenue,4,58.7
community_development,4,-0.1
vehicle_rental_tax,4,7.9
hospital_assessment_fund,4,6.2
housing_trust_fund,4,11.9
other_funds,4,16.6
total_operating_funds,4,213.9
capital_improvement,4,176.3
industrial_and_commercial_dev,4,3.7
total_capital_funds,4,180.0
total_fund_equity,4,393.9
general,5,117.2
grants_revenue,5,-3.4
community_development,5,2.2
vehicle_rental_tax,5,8.2
hospital_assessment_fund,5,5.9
housing_trust_fund,5,11.9
other_funds,5,18.2
total_operating_funds,5,160.3
capital_improvement,5,169.1
industrial_and_commercial_dev,5,3.7
total_capital_funds,5,172.8
total_fund_equity,5,333.1
general,6,245.7
grants_revenue,6,-67.3
community_development,6,1.0
vehicle_rental_tax,6,8.6
hospital_assessment_fund,6,7.7
housing_trust_fund,6,9.8
other_funds,6,57.3
total_operating_funds,6,262.7
capital_improvement,6,160.2
industrial_and_commercial_dev,6,3.7
total_capital_funds,6,163.8
total_fund_equity,6,426.6
general,7,321.5
grants_revenue,7,-88.0
community_development,7,4.4
vehicle_rental_tax,7,9.0
hospital_assessment_fund,7,7.4
housing_trust_fund,7,9.9
other_funds,7,12.7
total_operating_funds,7,277.0
capital_improvement,7,155.3
industrial_and_commercial_dev,7,3.7
total_capital_funds,7,159.0
total_fund_equity,7,436.0
general,8,620.2
grants_revenue,8,-112.7
community_development,8,3.1
vehicle_rental_tax,8,9.3
hospital_assessment_fund,8,7.3
housing_trust_fund,8,10.3
other_funds,8,60.9
total_operating_funds,8,598.5
capital_improvement,8,146.6
industrial_and_commercial_dev,8,3.7
total_capital_funds,8,150.3
total_fund_equity,8,748.7
general,9,317.5
grants_revenue,9,-79.7
community_development,9,-4.5
vehicle_rental_tax,9,9.7
hospital_assessment_fund,9,9.3
housing_trust_fund,9,10.3
other_funds,9,10.9
total_operating_funds,9,273.5
capital_improvement,9,127.1
industrial_and_commercial_dev,9,3.7
total_capital_funds,9,130.8
total_fund_equity,9,404.3
general,10,405.0
grants_revenue,10,-83.2
community_development,10,-0.8
vehicle_rental_tax,10,10.1
hospital_assessment_fund,10,8.8
housing_trust_fund,10,10.7
other_funds,10,14.8
total_operating_funds,10,365.2
capital_improvement,10,125.5
industrial_and_commercial_dev,10,3.7
total_capital_funds,10,129.2
total_fund_equity,10,494.4
general,11,326.1
grants_revenue,11,-17.8
community_development,11,-3.1
vehicle_rental_tax,11,5.5
hospital_assessment_fund,11,32.0
housing_trust_fund,11,11.1
other_funds,11,12.1
total_operating_funds,11,365.9
capital_improvement,11,116.8
industrial_and_commercial_dev,11,3.7
total_capital_funds,11,120.5
total_fund_equity,11,486.4
general,12,280.7
grants_revenue,12,-70.2
community_development,12,-5.7
vehicle_rental_tax,12,5.9
hospital_assessment_fund,12,10.1
housing_trust_fund,12,11.6
other_funds,12,26.6
total_operating_funds,12,259.1
capital_improvement,12,109.5
industrial_and_commercial_dev,12,3.8
total_capital_funds,12,113.3
total_fund_equity,12,372.4
