sector,num_accounts,net_income,gross_receipts,total,tax_year,parent_sector
Management and Technical Consulting,2027.0,6377264.0,1749798.0,8127062.0,2007,Professional Services
Advertising,355.0,1698215.0,548473.0,2246688.0,2007,Professional Services
Other Professional Services,1316.0,2120164.0,521808.0,2641972.0,2007,Professional Services
Business Support Services,3054.0,4581775.0,2785676.0,7367451.0,2007,
Professional Services,8918.0,83367384.0,11101216.0,94468600.0,2007,
Educational Services,692.0,2077067.0,521054.0,2598121.0,2007,
Health and Social Services,5392.0,15792548.0,5646491.0,21439039.0,2007,
Sports,24.0,1091098.0,651487.0,1742585.0,2007,
Hotels and Other Accommodations,164.0,1495879.0,1411789.0,2907668.0,2007,
"Restaurants, Bars, and Other Food Services",4451.0,6185705.0,3114443.0,9300148.0,2007,
Other Personal Services,5343.0,6178005.0,1639507.0,7817512.0,2007,
All Other Sectors,2264.0,7118337.0,2237197.0,9355534.0,2007,
Unclassified,11121.0,5760142.0,1085360.0,6845502.0,2007,
Legal Services,2834.0,56912846.0,5086502.0,61999348.0,2007,Professional Services
Information,824.0,10946170.0,3556627.0,14502797.0,2007,
Real Estate,28863.0,52003517.0,8341016.0,60344533.0,2007,
Retail Trade,8079.0,14668574.0,14924517.0,29593091.0,2007,
Construction,6509.0,15288028.0,9414070.0,24702098.0,2007,
Manufacturing,2257.0,28104406.0,6664423.0,34768829.0,2007,
Food and Beverage Products,332.0,1524538.0,1617117.0,3141655.0,2007,Manufacturing
"Chemicals, Pharmaceuticals & Petroleum",185.0,20612292.0,2137873.0,22750165.0,2007,Manufacturing
Other Manufacturing,1740.0,5967576.0,2909433.0,8877009.0,2007,Manufacturing
Wholesale Trade,2581.0,9299106.0,10153352.0,19452458.0,2007,
Insurance,625.0,3455818.0,4912372.0,8368190.0,2007,
Transportation and Storage,922.0,2095516.0,1111638.0,3207154.0,2007,
Broadcasting (TV and Radio),44.0,1975078.0,261796.0,2236874.0,2007,Information
Telecommunications,164.0,4531441.0,2393743.0,6925184.0,2007,Information
Other Information,407.0,1000261.0,408970.0,1409231.0,2007,Information
Banking and Related Activities,417.0,1555754.0,1184385.0,2740139.0,2007,
Financial Investment Services,488.0,15027937.0,5028188.0,20056125.0,2007,
Publishing,209.0,3439390.0,492118.0,3931508.0,2007,Information
Educational Services,625.0,1959918.0,559508.0,2519426.0,2006,
Architect and Engineering,817.0,2884459.0,1170489.0,4054948.0,2006,Professional Services
Computer Services,639.0,1376315.0,711151.0,2087466.0,2006,Professional Services
Management and Technical Consulting,1876.0,6365603.0,1740898.0,8106501.0,2006,Professional Services
Advertising,353.0,1859287.0,569078.0,2428365.0,2006,Professional Services
Other Professional Services,1203.0,1996959.0,487154.0,2484113.0,2006,Professional Services
Business Support Services,3018.0,4365471.0,3021556.0,7387027.0,2006,
"Restaurants, Bars, and Other Food Services",4521.0,6369373.0,3471160.0,9840533.0,2006,
Health and Social Services,5192.0,14309042.0,5814313.0,20123355.0,2006,
Sports,21.0,991436.0,643703.0,1635139.0,2006,
Hotels and Other Accommodations,177.0,1984737.0,1624825.0,3609562.0,2006,
Other Personal Services,5364.0,5393062.0,1787209.0,7180271.0,2006,
All Other Sectors,2112.0,4891527.0,2268719.0,7160246.0,2006,
Unclassified,10616.0,6731118.0,1130033.0,7861151.0,2006,
Legal Services,2809.0,51672437.0,5112219.0,56784656.0,2006,Professional Services
"Accounting, Tax and Payroll Services",822.0,10551203.0,1059057.0,11610260.0,2006,Professional Services
Professional Services,8519.0,76706263.0,10850046.0,87556309.0,2006,
Wholesale Trade,2568.0,9048088.0,10476642.0,19524730.0,2006,
Information,775.0,9847209.0,3481793.0,13329002.0,2006,
Real Estate,28245.0,74187425.0,8419110.0,82606535.0,2006,
Manufacturing,2230.0,23608000.0,6387272.0,29995272.0,2006,
Food and Beverage Products,321.0,1866197.0,1506321.0,3372518.0,2006,Manufacturing
"Chemicals, Pharmaceuticals & Petroleum",175.0,16008321.0,1872090.0,17880411.0,2006,Manufacturing
Other Manufacturing,1734.0,5733482.0,3008861.0,8742343.0,2006,Manufacturing
Retail Trade,8196.0,15022678.0,14648441.0,29671119.0,2006,
Transportation and Storage,881.0,1702742.0,1189739.0,2892481.0,2006,
Construction,6459.0,12261059.0,9696991.0,21958050.0,2006,
Publishing,213.0,4408273.0,625183.0,5033456.0,2006,Information
Broadcasting (TV and Radio),39.0,1906572.0,307168.0,2213740.0,2006,Information
Telecommunications,156.0,3010111.0,2246898.0,5257009.0,2006,Information
Other Information,367.0,522253.0,302544.0,824797.0,2006,Information
Banking and Related Activities,432.0,1583206.0,1293988.0,2877194.0,2006,
Financial Investment Services,476.0,16007157.0,5013131.0,21020288.0,2006,
Insurance,619.0,10325375.0,6795439.0,17120814.0,2006,
Business Support Services,2918.0,4452977.0,3108087.0,7561064.0,2005,
"Accounting, Tax and Payroll Services",834.0,10412976.0,1130864.0,11543840.0,2005,Professional Services
Architect and Engineering,800.0,2553989.0,1262695.0,3816684.0,2005,Professional Services
Computer Services,597.0,2594375.0,736953.0,3331328.0,2005,Professional Services
Management and Technical Consulting,1732.0,6508442.0,1868463.0,8376905.0,2005,Professional Services
Advertising,339.0,1342249.0,672178.0,2014427.0,2005,Professional Services
Other Professional Services,1118.0,1757689.0,455271.0,2212960.0,2005,Professional Services
Professional Services,8157.0,80630154.0,12174440.0,92804594.0,2005,
Unclassified,9923.0,6507450.0,1304671.0,7812121.0,2005,
Educational Services,579.0,1362473.0,575620.0,1938093.0,2005,
Health and Social Services,5153.0,12832522.0,6192614.0,19025136.0,2005,
Sports,20.0,1406578.0,492344.0,1898922.0,2005,
Hotels and Other Accommodations,175.0,1573548.0,1525603.0,3099151.0,2005,
"Restaurants, Bars, and Other Food Services",4408.0,4859942.0,3672928.0,8532870.0,2005,
Other Personal Services,5388.0,5487125.0,1899908.0,7387033.0,2005,
All Other Sectors,1992.0,2805030.0,2137214.0,4942244.0,2005,
Legal Services,2737.0,55460434.0,6048016.0,61508450.0,2005,Professional Services
Publishing,221.0,3409716.0,749595.0,4159311.0,2005,Information
Real Estate,26589.0,48435093.0,7934408.0,56369501.0,2005,
Retail Trade,8090.0,15168912.0,16531274.0,31700186.0,2005,
Insurance,616.0,10552812.0,7577911.0,18130723.0,2005,
Construction,6069.0,9942203.0,9891569.0,19833772.0,2005,
Manufacturing,2171.0,25586958.0,6637391.0,32224349.0,2005,
Food and Beverage Products,309.0,2611972.0,1702787.0,4314759.0,2005,Manufacturing
"Chemicals, Pharmaceuticals & Petroleum",166.0,17858927.0,1963296.0,19822223.0,2005,Manufacturing
Wholesale Trade,2522.0,8179950.0,10697893.0,18877843.0,2005,
Other Manufacturing,1696.0,5116059.0,2971308.0,8087367.0,2005,Manufacturing
Transportation and Storage,778.0,1703771.0,1132574.0,2836345.0,2005,
Information,740.0,8857830.0,3961900.0,12819730.0,2005,
Broadcasting (TV and Radio),44.0,1732303.0,749228.0,2481531.0,2005,Information
Telecommunications,149.0,3361777.0,2167501.0,5529278.0,2005,Information
Other Information,326.0,354034.0,295576.0,649610.0,2005,Information
Banking and Related Activities,407.0,2421170.0,1905342.0,4326512.0,2005,
Financial Investment Services,452.0,11806098.0,7584095.0,19390193.0,2005,
Business Support Services,3017.0,4456043.0,3139896.0,7595939.0,2004,
"Accounting, Tax and Payroll Services",861.0,8222073.0,1111298.0,9333371.0,2004,Professional Services
Architect and Engineering,777.0,2179139.0,1282754.0,3461893.0,2004,Professional Services
Computer Services,630.0,3192817.0,731093.0,3923910.0,2004,Professional Services
Management and Technical Consulting,1658.0,3852790.0,1831674.0,5684464.0,2004,Professional Services
Advertising,338.0,1629236.0,778578.0,2407814.0,2004,Professional Services
Other Professional Services,1068.0,1420039.0,443862.0,1863901.0,2004,Professional Services
All Other Sectors,1979.0,2719580.0,2190915.0,4910495.0,2004,
Educational Services,574.0,1367730.0,567281.0,1935011.0,2004,
Health and Social Services,5315.0,12233248.0,6714924.0,18948172.0,2004,
Sports,21.0,721044.0,833419.0,1554463.0,2004,
Hotels and Other Accommodations,189.0,1056256.0,1707457.0,2763713.0,2004,
"Restaurants, Bars, and Other Food Services",4493.0,5142052.0,3992581.0,9134633.0,2004,
Other Personal Services,5402.0,4890048.0,2030073.0,6920121.0,2004,
Professional Services,8100.0,74099020.0,12628036.0,86727056.0,2004,
Legal Services,2768.0,53602926.0,6448777.0,60051703.0,2004,Professional Services
Publishing,235.0,2908830.0,870556.0,3779386.0,2004,Information
Real Estate,26047.0,41058406.0,7987225.0,49045631.0,2004,
Retail Trade,8318.0,14043398.0,17338588.0,31381986.0,2004,
Construction,6002.0,8590717.0,9192929.0,17783646.0,2004,
Manufacturing,2213.0,13638208.0,6357514.0,19995722.0,2004,
Food and Beverage Products,298.0,1947502.0,1702856.0,3650358.0,2004,Manufacturing
"Chemicals, Pharmaceuticals & Petroleum",165.0,6480196.0,1832347.0,8312543.0,2004,Manufacturing
Other Manufacturing,1750.0,5210510.0,2822311.0,8032821.0,2004,Manufacturing
Wholesale Trade,2501.0,6755858.0,11604480.0,18360338.0,2004,
Transportation and Storage,790.0,1246558.0,1138826.0,2385384.0,2004,
Insurance,607.0,9875002.0,7785892.0,17660894.0,2004,
Information,743.0,6583627.0,4339493.0,10923120.0,2004,
Broadcasting (TV and Radio),44.0,1618271.0,809534.0,2427805.0,2004,Information
Telecommunications,154.0,1575120.0,2336978.0,3912098.0,2004,Information
Other Information,310.0,481406.0,322425.0,803831.0,2004,Information
Banking and Related Activities,414.0,3611514.0,2089083.0,5700597.0,2004,
Financial Investment Services,440.0,6384234.0,5351668.0,11735902.0,2004,
Unclassified,10135.0,5525802.0,1082535.0,6608337.0,2004,
