sector,num_accounts,net_income,gross_receipts,total,tax_year,parent_sector
Other Professional Services,742.0,2849632.0,1151702.0,4001334.0,2016,Professional Services
Sports,17.0,1610030.0,843043.0,2453073.0,2016,
Educational Services,222.0,938722.0,427054.0,1365776.0,2016,
Health and Social Services,2437.0,14731962.0,6814099.0,21546061.0,2016,
Hotels and Other Accommodations,103.0,6042034.0,1424657.0,7466691.0,2016,
"Restaurants, Bars, and Other Food Services",2718.0,8358526.0,4102792.0,12461318.0,2016,
Other Personal Services,1924.0,5033212.0,1589767.0,6622979.0,2016,
All Other Sectors,829.0,8264150.0,3649868.0,11914018.0,2016,
Professional Services,4138.0,100971576.0,14089677.0,115061253.0,2016,
Unclassified,1977.0,4401235.0,1788050.0,6189285.0,2016,
Real Estate,7060.0,51360195.0,7278571.0,58681179.0,2016,
Insurance,363.0,12904091.0,6401430.0,19305521.0,2016,
Retail Trade,4668.0,23326544.0,17093743.0,40420287.0,2016,
Financial Investment Services,222.0,4963114.0,8327160.0,13290274.0,2016,
Construction,3474.0,17629842.0,10975208.0,28605050.0,2016,
Manufacturing,1466.0,13022041.0,5960827.0,18982868.0,2016,
Food and Beverage Products,268.0,3489109.0,1342686.0,4831795.0,2016,Manufacturing
"Chemicals, Pharmaceuticals & Petroleum",141.0,1308843.0,1178764.0,2487607.0,2016,Manufacturing
Wholesale Trade,1902.0,12935252.0,12978212.0,25913464.0,2016,
Other Manufacturing,1057.0,8224089.0,3439377.0,11663466.0,2016,Manufacturing
Transportation and Storage,449.0,3179421.0,1927763.0,5107184.0,2016,
Information,466.0,12621762.0,3568566.0,16190328.0,2016,
Publishing,102.0,532968.0,413151.0,946119.0,2016,Information
Broadcasting (TV and Radio),20.0,1106784.0,350821.0,1457605.0,2016,Information
Telecommunications,109.0,9441005.0,1988020.0,11429025.0,2016,Information
Other Information,235.0,1541005.0,816574.0,2357579.0,2016,Information
Banking and Related Activities,172.0,1481713.0,1383776.0,2865489.0,2016,
Professional Services,4643.0,95014002.0,13525499.0,108539501.0,2015,
"Accounting, Tax and Payroll Services",279.0,15059537.0,1590334.0,16649871.0,2015,Professional Services
Architect and Engineering,539.0,3011824.0,1344215.0,4356039.0,2015,Professional Services
Computer Services,417.0,3691980.0,1702922.0,5394902.0,2015,Professional Services
Management and Technical Consulting,999.0,9415344.0,2468976.0,11884320.0,2015,Professional Services
Advertising,183.0,1837213.0,462146.0,2299359.0,2015,Professional Services
Other Professional Services,812.0,3263826.0,1171653.0,4435479.0,2015,Professional Services
Unclassified,2486.0,3955980.0,1483992.0,5439972.0,2015,
Educational Services,248.0,1089211.0,469831.0,1559042.0,2015,
Health and Social Services,2692.0,15634792.0,6604329.0,22239121.0,2015,
Sports,16.0,886906.0,767093.0,1653999.0,2015,
Hotels and Other Accommodations,110.0,3457613.0,1176875.0,4634488.0,2015,
"Restaurants, Bars, and Other Food Services",2988.0,7012097.0,3919945.0,10932042.0,2015,
Other Personal Services,2281.0,4785518.0,1543321.0,6328839.0,2015,
All Other Sectors,958.0,7938256.0,3398912.0,11337168.0,2015,
Legal Services,1414.0,58734278.0,4785253.0,63519531.0,2015,Professional Services
Business Support Services,1476.0,5119099.0,3223985.0,8343084.0,2015,
Real Estate,8275.0,50018238.0,7169900.0,57188138.0,2015,
Transportation and Storage,498.0,2986768.0,2534800.0,5521568.0,2015,
Construction,3754.0,15908370.0,10562679.0,26471049.0,2015,
Manufacturing,1601.0,12970651.0,6363189.0,19333840.0,2015,
Food and Beverage Products,291.0,4229621.0,1449163.0,5678784.0,2015,Manufacturing
"Chemicals, Pharmaceuticals & Petroleum",164.0,2774669.0,1377859.0,4152528.0,2015,Manufacturing
Other Manufacturing,1146.0,5966361.0,3536167.0,9502528.0,2015,Manufacturing
Wholesale Trade,2030.0,13571584.0,13019818.0,26591402.0,2015,
Retail Trade,5169.0,26235275.0,16608050.0,42843325.0,2015,
Insurance,391.0,10916948.0,5797902.0,16714850.0,2015,
Information,513.0,11981184.0,3678929.0,15660113.0,2015,
Broadcasting (TV and Radio),28.0,336085.0,361945.0,698030.0,2015,Information
Telecommunications,108.0,9693693.0,2059784.0,11753477.0,2015,Information
Other Information,265.0,1222811.0,865839.0,2088650.0,2015,Information
Banking and Related Activities,186.0,1509827.0,1212996.0,2722823.0,2015,
Financial Investment Services,252.0,7978334.0,11906835.0,19885169.0,2015,
Publishing,112.0,728595.0,391361.0,1119956.0,2015,Information
Educational Services,312.0,983349.0,492815.0,1476164.0,2014,
"Accounting, Tax and Payroll Services",340.0,14311872.0,1387966.0,15699838.0,2014,Professional Services
Architect and Engineering,614.0,3780083.0,1259305.0,5039388.0,2014,Professional Services
Computer Services,492.0,2661000.0,1270475.0,3931475.0,2014,Professional Services
Advertising,213.0,1669272.0,449710.0,2118982.0,2014,Professional Services
Other Professional Services,1022.0,5557287.0,1066218.0,6623505.0,2014,Professional Services
Business Support Services,1770.0,4840404.0,3169407.0,8009811.0,2014,
Hotels and Other Accommodations,110.0,2041081.0,1169386.0,3210467.0,2014,
Health and Social Services,3202.0,13773423.0,6571936.0,20345359.0,2014,
Sports,19.0,2213508.0,797993.0,3011501.0,2014,
Real Estate,10698.0,50783868.0,6991662.0,57775530.0,2014,
"Restaurants, Bars, and Other Food Services",3451.0,6442929.0,3801724.0,10244653.0,2014,
Other Personal Services,2758.0,4503663.0,1572132.0,6075795.0,2014,
All Other Sectors,1092.0,7814648.0,3262683.0,11077331.0,2014,
Unclassified,331448747.0,3290085309244748.0,1128831106128582.0,4418916415373330.0,2014,
Legal Services,1672.0,61115553.0,4930412.0,66045965.0,2014,Professional Services
Management and Technical Consulting,1229.0,10527879.0,2181546.0,12709425.0,2014,Professional Services
Professional Services,5582.0,99622946.0,12545632.0,112168578.0,2014,
Transportation and Storage,590.0,4508321.0,2571820.0,7080141.0,2014,
Insurance,428.0,7874489.0,5304951.0,13179440.0,2014,
Construction,4346.0,12204387.0,9518615.0,21723002.0,2014,
Manufacturing,1858.0,23030419.0,6338984.0,29369403.0,2014,
Food and Beverage Products,312.0,1588704.0,1381187.0,2969891.0,2014,Manufacturing
"Chemicals, Pharmaceuticals & Petroleum",195.0,12626723.0,1805744.0,14432467.0,2014,Manufacturing
Wholesale Trade,2266.0,13922540.0,13306004.0,27228544.0,2014,
Retail Trade,5818.0,22389683.0,15791532.0,38181215.0,2014,
Other Manufacturing,1351.0,8814992.0,3152053.0,11967045.0,2014,Manufacturing
Information,611.0,16285305.0,3569090.0,19854395.0,2014,
Publishing,134.0,2556563.0,357190.0,2913753.0,2014,Information
Broadcasting (TV and Radio),35.0,925940.0,417725.0,1343665.0,2014,Information
Telecommunications,130.0,11631336.0,2074937.0,13706273.0,2014,Information
Other Information,312.0,1171466.0,719238.0,1890704.0,2014,Information
Banking and Related Activities,225.0,2316774.0,1510701.0,3827475.0,2014,
Financial Investment Services,297.0,10402926.0,6712684.0,17115610.0,2014,
Business Support Services,3402.0,5352166.0,3195494.0,8547660.0,2013,
Legal Services,2805.0,58528211.0,4596409.0,63124620.0,2013,Professional Services
"Accounting, Tax and Payroll Services",803.0,12499819.0,1267734.0,13767553.0,2013,Professional Services
Architect and Engineering,1027.0,2550030.0,1151969.0,3701999.0,2013,Professional Services
Computer Services,792.0,2647791.0,1261137.0,3908928.0,2013,Professional Services
Management and Technical Consulting,2522.0,9025497.0,2225079.0,11250575.0,2013,Professional Services
Advertising,338.0,1676933.0,465252.0,2142185.0,2013,Professional Services
Other Professional Services,2269.0,3927600.0,962044.0,4889644.0,2013,Professional Services
Professional Services,10556.0,90855881.0,11929624.0,102785504.0,2013,
Educational Services,904.0,1355410.0,529814.0,1885224.0,2013,
Health and Social Services,5420.0,20643168.0,6737438.0,27380606.0,2013,
Sports,34.0,1848973.0,832883.0,2681856.0,2013,
Hotels and Other Accommodations,141.0,1466606.0,1127446.0,2594052.0,2013,
"Restaurants, Bars, and Other Food Services",4570.0,7210032.0,3943694.0,11153726.0,2013,
Other Personal Services,5485.0,6774190.0,1729347.0,8503537.0,2013,
All Other Sectors,3104.0,6274180.0,3204796.0,9478976.0,2013,
Unclassified,13846108130.0,7167615298499165.0,1320099103027973.0,,2013,
Real Estate,36191.0,47222328.0,7805016.0,55027343.0,2013,
Insurance,646.0,7490882.0,4521384.0,12012266.0,2013,
Retail Trade,8564.0,22563600.0,16337405.0,38901005.0,2013,
