sector,apr_2020,apr_2019,apr_2018,apr_2017,growth_yoy_2020,growth_yoy_2019,growth_yoy_2018,growth_3yr,net_change,parent_sector
Construction,5875250,6485708,6109831,5346248,-9.4,6.2,14.3,3.2,-610458,
Manufacturing,12192574,11457822,11055695,9441000,6.4,3.6,17.1,8.9,734751,
"Chemicals, Petroleum Refining",1775015,1591110,1711419,1819154,11.6,-7.0,-5.9,-0.8,183905,Manufacturing
Pharmaceuticals,3280528,3029528,2574119,2039861,8.3,17.7,26.2,17.2,251000,Manufacturing
Transportation Equipment,915596,891446,792501,826990,2.7,12.5,-4.2,3.5,24150,Manufacturing
Food & Beverage Products,1722771,1544177,1627883,1176351,11.6,-5.1,38.4,13.6,178594,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",1184628,1091154,1078183,756191,8.6,1.2,42.6,16.1,93474,Manufacturing
Metal Manufacturing,709156,778805,889894,743683,-8.9,-12.5,19.7,-1.6,-69649,Manufacturing
Miscellaneous Manufacturing,2604879,2531603,2381696,2078771,2.9,6.3,14.6,7.8,73277,Manufacturing
Public Utilities,1342810,1231842,1500638,1304759,9.0,-17.9,15.0,1.0,110968,
Transportation and Warehousing,6131251,6067607,5979246,5015378,1.0,1.5,19.2,6.9,63644,
Telecommunication,8874683,6894567,6554465,6090718,28.7,5.2,7.6,13.4,1980116,
"Publishing, Broadcasting, and Other Information",3447672,2956918,2903746,1862005,16.6,1.8,55.9,22.8,490754,
Wholesale Trade,4557190,4759796,4754063,3305553,-4.3,0.1,43.8,11.3,-202606,
Retail Trade,11253150,11077086,10237410,7937584,1.6,8.2,29.0,12.3,176064,
Banking & Credit Unions,5241608,4522290,3914007,3720015,15.9,15.5,5.2,12.1,719317,
Securities / Financial Investments,8192863,5747543,7242084,5390387,42.5,-20.6,34.4,15.0,2445320,
Insurance,6879099,6816991,7543549,5963506,0.9,-9.6,26.5,4.9,62108,
"Real Estate, Rental and Leasing",3336348,3713697,3544989,2547271,-10.2,4.8,39.2,9.4,-377348,
Health and Social Services,45751529,41379043,39185289,31524071,10.6,5.6,24.3,13.2,4372486,
Hospitals,22205809,19532211,19413092,16968040,13.7,0.6,14.4,9.4,2673598,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4302975,4456139,4455605,3415201,-3.4,0.0,30.5,8.0,-153164,Health and Social Services
Outpatient Care Centers and Other Health Services,7439949,7421389,6576589,4631960,0.3,12.8,42.0,17.1,18560,Health and Social Services
Nursing & Personal Care Facilities,4393212,4137041,3863944,3274006,6.2,7.1,18.0,10.3,256170,Health and Social Services
Social Services,7409585,5832262,4876059,3234864,27.0,19.6,50.7,31.8,1577323,Health and Social Services
Education,16664431,16580178,15342758,14226810,0.5,8.1,7.8,5.4,84253,
College and Universities,12396814,12514012,11453879,11016633,-0.9,9.3,4.0,4.0,-117198,Education
"Elementary, Secondary Schools",2835831,2693472,2580192,2168566,5.3,4.4,19.0,9.4,142359,Education
Other Educational Services,1431786,1372695,1308688,1041611,4.3,4.9,25.6,11.2,59091,Education
Professional Services,26061999,23320199,21538259,16053611,11.8,8.3,34.2,17.5,2741800,
Legal Services,6746218,6177734,5723474,4960127,9.2,7.9,15.4,10.8,568484,Professional Services
Management Consulting,5574341,4662263,4359725,2894797,19.6,6.9,50.6,24.4,912077,Professional Services
Engineering & Architectural Services,2742376,2494077,2490189,1866684,10.0,0.2,33.4,13.7,248299,Professional Services
Computer,2719119,2384590,2170729,1473489,14.0,9.9,47.3,22.7,334529,Professional Services
"Accounting, Auditing, Bookkeeping",2462673,2363600,2178746,1979120,4.2,8.5,10.1,7.6,99073,Professional Services
Advertising and Other Professional Services,5817273,5237935,4615395,2879394,11.1,13.5,60.3,26.4,579338,Professional Services
Hotels,880167,1042196,1015092,849572,-15.5,2.7,19.5,1.2,-162029,
Restaurants,4752680,5819613,5341006,4038318,-18.3,9.0,32.3,5.6,-1066932,
Sport Teams,3503481,2961985,2494253,861012,18.3,18.8,189.7,59.6,541495,
"Arts, Entertainment, and Other Recreation",1559780,1663992,1484565,1204188,-6.3,12.1,23.3,9.0,-104212,
Other Sectors,15901118,16693722,15155705,10858066,-4.7,10.1,39.6,13.6,-792605,
Membership Organizations,4298680,4182579,4245663,3139162,2.8,-1.5,35.2,11.0,116100,Other Sectors
Employment/Outsourcing Agencies,3353076,3340583,3382387,2365090,0.4,-1.2,43.0,12.3,12492,Other Sectors
Security and Investigation Services,875743,850797,914578,810686,2.9,-7.0,12.8,2.6,24946,Other Sectors
Services to Buildings,1088525,1195805,989385,831737,-9.0,20.9,19.0,9.4,-107280,Other Sectors
Miscellaneous Sectors,6285095,7123958,5623692,3711391,-11.8,26.7,51.5,19.2,-838863,Other Sectors
Government,15372076,18265922,15041918,22064939,-15.8,21.4,-31.8,-11.4,-2893846,
State Government (PA),1080146,1272811,1263428,1232870,-15.1,0.7,2.5,-4.3,-192665,Government
"City, School District, Local Quasi Govt.",10564212,12186181,9416036,8896916,-13.3,29.4,5.8,5.9,-1621969,Government
Federal Government,3459649,4538013,4090628,11731835,-23.8,10.9,-65.1,-33.4,-1078364,Government
Other Governments,268069,268917,271826,203319,-0.3,-1.1,33.7,9.7,-848,Government
Unclassified Accounts,498026,171525,208518,91405,190.4,-17.7,128.1,76.0,326502,
