sector,jan_2020,jan_2019,jan_2018,jan_2017,growth_yoy_2020,growth_yoy_2019,growth_yoy_2018,growth_3yr,net_change,parent_sector
Construction,8424693,7651773,7624971,6978081,10.1,0.4,9.3,6.5,772920,
Manufacturing,22290070,11233854,11801304,12773509,98.4,-4.8,-7.6,20.4,11056216,
"Chemicals, Petroleum Refining",1610669,1822574,1858114,2083792,-11.6,-1.9,-10.8,-8.2,-211905,Manufacturing
Pharmaceuticals,12850890,2126776,2382143,2811970,504.2,-10.7,-15.3,65.9,10724114,Manufacturing
Transportation Equipment,1070887,997954,955189,1113991,7.3,4.5,-14.3,-1.3,72933,Manufacturing
Food & Beverage Products,1972747,1636373,1824956,1885839,20.6,-10.3,-3.2,1.5,336374,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",989683,1107155,1056355,1085443,-10.6,4.8,-2.7,-3.0,-117472,Manufacturing
Metal Manufacturing,893619,923253,973459,1030041,-3.2,-5.2,-5.5,-4.6,-29634,Manufacturing
Miscellaneous Manufacturing,2901575,2619769,2751088,2762433,10.8,-4.8,-0.4,1.7,281805,Manufacturing
Public Utilities,1278502,1364287,1083826,1130999,-6.3,25.9,-4.2,4.2,-85785,
Transportation and Warehousing,7118859,6705337,6782159,5796421,6.2,-1.1,17.0,7.1,413522,
Telecommunication,4074574,4264624,4154555,4812616,-4.5,2.6,-13.7,-5.4,-190050,
"Publishing, Broadcasting, and Other Information",2937558,2920296,2583844,2570648,0.6,13.0,0.5,4.5,17262,
Wholesale Trade,5501724,5161634,5565317,5513540,6.6,-7.3,0.9,-0.1,340091,
Retail Trade,10956619,10385692,10273161,9773029,5.5,1.1,5.1,3.9,570927,
Banking & Credit Unions,3701725,3557957,3711824,4409726,4.0,-4.1,-15.8,-5.7,143767,
Securities / Financial Investments,5817914,6148374,6284422,5776492,-5.4,-2.2,8.8,0.2,-330460,
Insurance,5990059,5803074,5871025,5594693,3.2,-1.2,4.9,2.3,186985,
"Real Estate, Rental and Leasing",4134482,3486846,3724273,3427151,18.6,-6.4,8.7,6.5,647637,
Health and Social Services,48615640,45270734,42312719,38294071,7.4,7.0,10.5,8.3,3344906,
Hospitals,22154847,21387020,20100520,18673006,3.6,6.4,7.6,5.9,767827,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",6082746,6091366,6132607,5999918,-0.1,-0.7,2.2,0.5,-8620,Health and Social Services
Outpatient Care Centers and Other Health Services,7585495,7600136,6790985,6002451,-0.2,11.9,13.1,8.1,-14641,Health and Social Services
Nursing & Personal Care Facilities,5032922,4200728,4114474,3708596,19.8,2.1,10.9,10.7,832194,Health and Social Services
Social Services,7759631,5991484,5174133,3910100,29.5,15.8,32.3,25.7,1768146,Health and Social Services
Education,15732467,14964947,14806107,14312213,5.1,1.1,3.5,3.2,767520,
College and Universities,11224920,10791896,10429106,10205423,4.0,3.5,2.2,3.2,433024,Education
"Elementary, Secondary Schools",2942457,2815091,2957740,2781781,4.5,-4.8,6.3,1.9,127366,Education
Other Educational Services,1565090,1357960,1419261,1325009,15.3,-4.3,7.1,5.7,207130,Education
Professional Services,38181523,34965672,34254550,31766850,9.2,2.1,7.8,6.3,3215851,
Legal Services,17276375,16560064,16801939,14791896,4.3,-1.4,13.6,5.3,716311,Professional Services
Management Consulting,6240950,5438769,5360008,5303741,14.7,1.5,1.1,5.6,802181,Professional Services
Engineering & Architectural Services,3452415,2918430,2818354,2718263,18.3,3.6,3.7,8.3,533985,Professional Services
Computer,2711813,2233880,2156341,2142095,21.4,3.6,0.7,8.2,477933,Professional Services
"Accounting, Auditing, Bookkeeping",2226468,2572736,2525298,2268609,-13.5,1.9,11.3,-0.6,-346268,Professional Services
Advertising and Other Professional Services,6273503,5241794,4592609,4542246,19.7,14.1,1.1,11.4,1031709,Professional Services
Hotels,1183790,1105781,1137259,975036,7.1,-2.8,16.6,6.7,78009,
Restaurants,6429025,6143970,5366974,5034688,4.6,14.5,6.6,8.5,285055,
Sport Teams,2281709,2201578,3003604,2312983,3.6,-26.7,29.9,-0.5,80131,
"Arts, Entertainment, and Other Recreation",1854425,1648889,1600961,1490118,12.5,3.0,7.4,7.6,205536,
Other Sectors,18429622,17020073,16553688,15365303,8.3,2.8,7.7,6.2,1409549,
Membership Organizations,4976936,4520535,4431863,4415618,10.1,2.0,0.4,4.1,456401,Other Sectors
Employment/Outsourcing Agencies,3919358,3618571,3391279,2983372,8.3,6.7,13.7,9.5,300787,Other Sectors
Security and Investigation Services,942195,854687,919187,749847,10.2,-7.0,22.6,7.9,87508,Other Sectors
Services to Buildings,1337677,1234587,1349065,1328640,8.4,-8.5,1.5,0.2,103089,Other Sectors
Miscellaneous Sectors,7253456,6791692,6462294,5887826,6.8,5.1,9.8,7.2,461764,Other Sectors
Government,29554355,29077335,28214088,24527430,1.6,3.1,15.0,6.4,477019,
State Government (PA),1079934,1037105,1193291,1164675,4.1,-13.1,2.5,-2.5,42828,Government
"City, School District, Local Quasi Govt.",12100595,14846014,11850008,9080349,-18.5,25.3,30.5,10.0,-2745419,Government
Federal Government,16057908,12887944,14880360,13995210,24.6,-13.4,6.3,4.7,3169965,Government
Other Governments,315918,306272,290429,287196,3.1,5.5,1.1,3.2,9646,Government
Unclassified Accounts,489915,174311,210016,158865,181.1,-17.0,32.2,45.6,315603,
