sector,sep_2020,sep_2019,sep_2018,sep_2017,growth_yoy_2020,growth_yoy_2019,growth_yoy_2018,growth_3yr,net_change,parent_sector
Construction,5227670,5446459,5360354,5301772,-4.0,1.6,1.1,-0.5,-218789,
Manufacturing,7668352,8583323,8671523,7847574,-10.7,-1.0,10.5,-0.8,-914970,
"Chemicals, Petroleum Refining",855095,1232657,1785521,1543815,-30.6,-31.0,15.7,-17.9,-377562,Manufacturing
Pharmaceuticals,1798045,1966446,1612311,1378142,-8.6,22.0,17.0,9.3,-168401,Manufacturing
Transportation Equipment,890181,689395,708241,784496,29.1,-2.7,-9.7,4.3,200786,Manufacturing
Food & Beverage Products,1389300,1315626,1220063,1138068,5.6,7.8,7.2,6.9,73675,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",595365,619001,704340,658367,-3.8,-12.1,7.0,-3.3,-23637,Manufacturing
Metal Manufacturing,601150,935736,915713,727435,-35.8,2.2,25.9,-6.2,-334586,Manufacturing
Miscellaneous Manufacturing,1539217,1824461,1725334,1617253,-15.6,5.7,6.7,-1.6,-285245,Manufacturing
Public Utilities,948714,1148639,1079064,1038871,-17.4,6.4,3.9,-3.0,-199925,
Transportation and Warehousing,5425500,6227267,5277723,4587885,-12.9,18.0,15.0,5.7,-801767,
Telecommunication,3580740,3698712,3284690,3021711,-3.2,12.6,8.7,5.8,-117972,
"Publishing, Broadcasting, and Other Information",1812878,2006155,1803150,1788694,-9.6,11.3,0.8,0.4,-193278,
Wholesale Trade,2557883,3155596,3201802,2935065,-18.9,-1.4,9.1,-4.5,-597713,
Retail Trade,7651385,7347727,7210998,6417205,4.1,1.9,12.4,6.0,303658,
Banking & Credit Unions,2819965,2679011,2589493,2615429,5.3,3.5,-1.0,2.5,140954,
Securities / Financial Investments,3207500,3802786,3574935,4296943,-15.7,6.4,-16.8,-9.3,-595286,
Insurance,3419417,3980429,4549111,4229372,-14.1,-12.5,7.6,-6.8,-561012,
"Real Estate, Rental and Leasing",1731771,2157773,2064453,2101308,-19.7,4.5,-1.8,-6.2,-426001,
Health and Social Services,35507372,34456815,32513309,31175917,3.0,6.0,4.3,4.4,1050557,
Hospitals,18427006,17958279,17113929,17305036,2.6,4.9,-1.1,2.1,468727,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3362787,3607305,3431047,3310917,-6.8,5.1,3.6,0.5,-244518,Health and Social Services
Outpatient Care Centers and Other Health Services,5920848,5352030,4997383,4297431,10.6,7.1,16.3,11.3,568819,Health and Social Services
Nursing & Personal Care Facilities,3003684,3184448,3149407,3095434,-5.7,1.1,1.7,-1.0,-180764,Health and Social Services
Social Services,4793047,4354754,3821542,3167099,10.1,14.0,20.7,14.8,438293,Health and Social Services
Education,13488040,16651539,15798744,15008517,-19.0,5.4,5.3,-3.5,-3163499,
College and Universities,10231824,13448487,12715266,12282797,-23.9,5.8,3.5,-5.9,-3216662,Education
"Elementary, Secondary Schools",2363546,2251940,2154417,1865970,5.0,4.5,15.5,8.2,111606,Education
Other Educational Services,892670,951112,929061,859749,-6.1,2.4,8.1,1.3,-58442,Education
Professional Services,14595245,17315848,16135083,15299148,-15.7,7.3,5.5,-1.6,-2720604,
Legal Services,3903486,5164297,5124109,5524780,-24.4,0.8,-7.3,-10.9,-1260812,Professional Services
Management Consulting,2702068,3261267,3021109,2451889,-17.1,7.9,23.2,3.3,-559199,Professional Services
Engineering & Architectural Services,2112524,1974126,1810856,1593097,7.0,9.0,13.7,9.9,138398,Professional Services
Computer,1475959,1590284,1504089,1381115,-7.2,5.7,8.9,2.2,-114325,Professional Services
"Accounting, Auditing, Bookkeeping",1764911,2198582,2018057,2091011,-19.7,8.9,-3.5,-5.5,-433671,Professional Services
Advertising and Other Professional Services,2636297,3127293,2656863,2257255,-15.7,17.7,17.7,5.3,-490996,Professional Services
Hotels,362912,931054,904420,790404,-61.0,2.9,14.4,-22.9,-568141,
Restaurants,2354802,4203204,3945680,3508943,-44.0,6.5,12.4,-12.4,-1848402,
Sport Teams,3075425,2907066,2427439,2137540,5.8,19.8,13.6,12.9,168359,
"Arts, Entertainment, and Other Recreation",979057,1357438,1204242,1119326,-27.9,12.7,7.6,-4.4,-378381,
Other Sectors,9169244,10995063,10504098,9440308,-16.6,4.7,11.3,-1.0,-1825819,
Membership Organizations,2842946,3078645,2982706,2715134,-7.7,3.2,9.9,1.5,-235699,Other Sectors
Employment/Outsourcing Agencies,2033351,2378627,2353549,2209511,-14.5,1.1,6.5,-2.7,-345275,Other Sectors
Security and Investigation Services,781965,922425,839308,800954,-15.2,9.9,4.8,-0.8,-140461,Other Sectors
Services to Buildings,799996,881724,814822,851642,-9.3,8.2,-4.3,-2.1,-81728,Other Sectors
Miscellaneous Sectors,2710986,3733642,3513714,2863068,-27.4,6.3,22.7,-1.8,-1022656,Other Sectors
Government,30216287,26462155,25279195,23972223,14.2,4.7,5.5,8.0,3754131,
State Government (PA),1037336,1269608,1247008,1005217,-18.3,1.8,24.1,1.1,-232273,Government
"City, School District, Local Quasi Govt.",13017435,11048224,11528610,10597325,17.8,-4.2,8.8,7.1,1969210,Government
Federal Government,15980012,13964313,12347184,12217836,14.4,13.1,1.1,9.4,2015699,Government
Other Governments,181504,180009,156393,151844,0.8,15.1,3.0,6.1,1495,Government
Unclassified Accounts,234048,92156,68052,65631,154.0,35.4,3.7,52.8,141892,
