sector,jul_2017,jul_2016,jul_2015,jul_2014,growth_yoy_2017,growth_yoy_2016,growth_yoy_2015,growth_3yr,net_change,parent_sector
Construction,6676882,5189862,6014218,5113513,28.7,-13.7,17.6,9.3,1487020,
Manufacturing,9709926,7554153,9715383,9728699,28.5,-22.2,-0.1,-0.1,2155773,
"Chemicals, Petroleum Refining",1422574,1321373,1567871,1729045,7.7,-15.7,-9.3,-6.3,101200,Manufacturing
Pharmaceuticals,1962410,1336090,1847766,1862539,46.9,-27.7,-0.8,1.8,626320,Manufacturing
Transportation Equipment,820162,840987,1043274,1126563,-2.5,-19.4,-7.4,-10.0,-20824,Manufacturing
Food & Beverage Products,1442479,1081602,1534142,1290802,33.4,-29.5,18.9,3.8,360877,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",912673,618547,849729,918037,47.6,-27.2,-7.4,-0.2,294126,Manufacturing
Metal Manufacturing,783876,646978,739231,685521,21.2,-12.5,7.8,4.6,136898,Manufacturing
Miscellaneous Manufacturing,2365752,1708576,2133369,2116192,38.5,-19.9,0.8,3.8,657176,Manufacturing
Public Utilities,1152658,1018586,951126,939847,13.2,7.1,1.2,7.0,134071,
Transportation and Warehousing,5374488,4493922,5853056,5397370,19.6,-23.2,8.4,-0.1,880566,
Telecommunication,3178987,3202561,3841180,3020474,-0.7,-16.6,27.2,1.7,-23574,
"Publishing, Broadcasting, and Other Information",2307572,1615806,2270677,2199171,42.8,-28.8,3.3,1.6,691766,
Wholesale Trade,4537366,3023018,3892536,3621557,50.1,-22.3,7.5,7.8,1514348,
Retail Trade,8743820,6573976,8172328,7815299,33.0,-19.6,4.6,3.8,2169844,
Banking & Credit Unions,3061640,2338706,3217325,2789522,30.9,-27.3,15.3,3.2,722935,
Securities / Financial Investments,3642025,2664068,3714301,2973277,36.7,-28.3,24.9,7.0,977957,
Insurance,4587555,4469102,6918552,7095570,2.7,-35.4,-2.5,-13.5,118453,
"Real Estate, Rental and Leasing",2792775,1833417,2394112,2398080,52.3,-23.4,-0.2,5.2,959358,
Health and Social Services,34655455,29103897,33641667,30941022,19.1,-13.5,8.7,3.9,5551559,
Hospitals,16585268,15571487,17333976,16166458,6.5,-10.2,7.2,0.9,1013780,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4425190,3491579,4206829,4466232,26.7,-17.0,-5.8,-0.3,933611,Health and Social Services
Outpatient Care Centers and Other Health Services,6110175,4264319,5373339,4388230,43.3,-20.6,22.4,11.7,1845856,Health and Social Services
Nursing & Personal Care Facilities,3467558,3071750,3491664,3136757,12.9,-12.0,11.3,3.4,395807,Health and Social Services
Social Services,4067265,2704761,3235859,2783344,50.4,-16.4,16.3,13.5,1362504,Health and Social Services
Education,15723515,14215174,15069288,14051976,10.6,-5.7,7.2,3.8,1508341,
College and Universities,11907540,11175750,11339450,10787882,6.5,-1.4,5.1,3.3,731790,Education
"Elementary, Secondary Schools",2644106,2112954,2551228,2178324,25.1,-17.2,17.1,6.7,531152,Education
Other Educational Services,1171869,926471,1178611,1085770,26.5,-21.4,8.6,2.6,245398,Education
Professional Services,19888953,14534831,18073449,16746329,36.8,-19.6,7.9,5.9,5354123,
Legal Services,5968980,4959767,5957841,5714954,20.3,-16.8,4.3,1.5,1009212,Professional Services
Management Consulting,3898864,2858299,3705648,3626345,36.4,-22.9,2.2,2.4,1040565,Professional Services
Engineering & Architectural Services,2264580,1715139,2078580,1847617,32.0,-17.5,12.5,7.0,549441,Professional Services
Computer,1959187,1228735,1732864,1475066,59.4,-29.1,17.5,9.9,730452,Professional Services
"Accounting, Auditing, Bookkeeping",2053159,1733613,1761032,1487052,18.4,-1.6,18.4,11.4,319546,Professional Services
Advertising and Other Professional Services,3744184,2039277,2837483,2595294,83.6,-28.1,9.3,13.0,1704907,Professional Services
Hotels,1001380,878316,895009,1015466,14.0,-1.9,-11.9,-0.5,123064,
Restaurants,5535556,4039832,5495795,4521711,37.0,-26.5,21.5,7.0,1495724,
Sport Teams,1397160,1774672,1659516,1759506,-21.3,6.9,-5.7,-7.4,-377512,
"Arts, Entertainment, and Other Recreation",1362662,1099818,1273639,1168278,23.9,-13.6,9.0,5.3,262844,
Other Sectors,15632933,10128697,12321302,11171906,54.3,-17.8,10.3,11.9,5504236,
Membership Organizations,4168449,2953924,3423548,3150885,41.1,-13.7,8.7,9.8,1214525,Other Sectors
Employment/Outsourcing Agencies,3686243,2019580,2577317,2298626,82.5,-21.6,12.1,17.1,1666663,Other Sectors
Security and Investigation Services,847556,837493,711256,680147,1.2,17.7,4.6,7.6,10062,Other Sectors
Services to Buildings,1378737,932514,1219315,1151835,47.9,-23.5,5.9,6.2,446223,Other Sectors
Miscellaneous Sectors,5551948,3385185,4389865,3890413,64.0,-22.9,12.8,12.6,2166763,Other Sectors
Government,26138424,22015431,15500981,16872219,18.7,42.0,-8.1,15.7,4122993,
State Government (PA),1171633,926013,949216,931302,26.5,-2.4,1.9,8.0,245619,Government
"City, School District, Local Quasi Govt.",10690023,9848444,9630410,11304202,8.5,2.3,-14.8,-1.8,841579,Government
Federal Government,14036907,11081873,4679363,4453755,26.7,136.8,5.1,46.6,2955034,Government
Other Governments,239862,159100,241992,182960,50.8,-34.3,32.3,9.4,80761,Government
Unclassified Accounts,403362,117050,214339,328677,244.6,-45.4,-34.8,7.1,286312,
