sector,sep_2019,sep_2018,sep_2017,sep_2016,growth_yoy_2019,growth_yoy_2018,growth_yoy_2017,growth_3yr,net_change,parent_sector
Construction,5483597,5356527,5301772,4714745,2.4,1.0,12.5,5.2,127070,
Manufacturing,8576104,8662438,7847574,7540857,-1.0,10.4,4.1,4.4,-86334,
"Chemicals, Petroleum Refining",1232246,1784636,1543815,1274048,-31.0,15.6,21.2,-1.1,-552390,Manufacturing
Pharmaceuticals,1964708,1610895,1378142,1611021,22.0,16.9,-14.5,6.8,353812,Manufacturing
Transportation Equipment,689349,708241,784496,852054,-2.7,-9.7,-7.9,-6.8,-18892,Manufacturing
Food & Beverage Products,1315626,1220063,1138068,1118730,7.8,7.2,1.7,5.6,95562,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",617154,699858,658367,571029,-11.8,6.3,15.3,2.6,-82704,Manufacturing
Metal Manufacturing,934844,915201,727435,621578,2.1,25.8,17.0,14.6,19644,Manufacturing
Miscellaneous Manufacturing,1822178,1723543,1617253,1492397,5.7,6.6,8.4,6.9,98635,Manufacturing
Public Utilities,1148639,1079064,1038871,1111206,6.4,3.9,-6.5,1.1,69575,
Transportation and Warehousing,6212343,5267005,4587885,4479332,17.9,14.8,2.4,11.5,945339,
Telecommunication,3697208,3284690,3021711,2694466,12.6,8.7,12.1,11.1,412518,
"Publishing, Broadcasting, and Other Information",2018385,1812963,1788694,1536868,11.3,1.4,16.4,9.5,205423,
Wholesale Trade,3206298,3237203,2962892,2791781,-1.0,9.3,6.1,4.7,-30905,
Retail Trade,7299103,7154328,6389377,6204961,2.0,12.0,3.0,5.6,144776,
Banking & Credit Unions,2679011,2589732,2615429,2492194,3.4,-1.0,4.9,2.4,89279,
Securities / Financial Investments,3802318,3574691,4296943,3713439,6.4,-16.8,15.7,0.8,227628,
Insurance,3979579,4548267,4229372,4150633,-12.5,7.5,1.9,-1.4,-568689,
"Real Estate, Rental and Leasing",2156685,2059105,2101308,1990578,4.7,-2.0,5.6,2.7,97579,
Health and Social Services,34355432,32528145,31102877,28362856,5.6,4.6,9.7,6.6,1827287,
Hospitals,17957679,17113883,17305036,15938791,4.9,-1.1,8.6,4.1,843796,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3522085,3363464,3237878,3020838,4.7,3.9,7.2,5.3,158621,Health and Social Services
Outpatient Care Centers and Other Health Services,5337521,4991638,4297431,4016050,6.9,16.2,7.0,9.9,345883,Health and Social Services
Nursing & Personal Care Facilities,3178551,3150474,3095434,2785979,0.9,1.8,11.1,4.5,28078,Health and Social Services
Social Services,4359595,3908685,3167099,2601199,11.5,23.4,21.8,18.8,450910,Health and Social Services
Education,16629366,15701201,15008517,15051254,5.9,4.6,-0.3,3.4,928165,
College and Universities,13448487,12715266,12282797,12395375,5.8,3.5,-0.9,2.8,733221,Education
"Elementary, Secondary Schools",2236206,2057967,1865970,1791199,8.7,10.3,4.2,7.7,178239,Education
Other Educational Services,944673,927968,859749,864679,1.8,7.9,-0.6,3.0,16705,Education
Professional Services,17380021,16150522,15372187,13840909,7.6,5.1,11.1,7.9,1229499,
Legal Services,5163567,5121218,5524780,4441021,0.8,-7.3,24.4,5.2,42349,Professional Services
Management Consulting,3332190,3058430,2524929,2488188,9.0,21.1,1.5,10.2,273760,Professional Services
Engineering & Architectural Services,1973841,1810677,1593097,1458313,9.0,13.7,9.2,10.6,163164,Professional Services
Computer,1586350,1499266,1381115,1236425,5.8,8.6,11.7,8.7,87084,Professional Services
"Accounting, Auditing, Bookkeeping",2198898,2018457,2091011,2036538,8.9,-3.5,2.7,2.6,180441,Professional Services
Advertising and Other Professional Services,3125173,2642472,2257255,2180425,18.3,17.1,3.5,12.7,482701,Professional Services
Hotels,931054,903835,790404,856108,3.0,14.4,-7.7,2.8,27219,
Restaurants,4200016,3941045,3508943,3301436,6.6,12.3,6.3,8.4,258971,
Sport Teams,2910513,2428809,2137540,2451536,19.8,13.6,-12.8,5.9,481705,
"Arts, Entertainment, and Other Recreation",1354015,1202440,1119326,1048035,12.6,7.4,6.8,8.9,151575,
Other Sectors,10962514,10524218,9440308,8778152,4.2,11.5,7.5,7.7,438295,
Membership Organizations,3053157,2994797,2715134,2668835,1.9,10.3,1.7,4.6,58360,Other Sectors
Employment/Outsourcing Agencies,2374898,2353565,2209511,1881918,0.9,6.5,17.4,8.1,21333,Other Sectors
Security and Investigation Services,923545,839308,800954,662870,10.0,4.8,20.8,11.7,84237,Other Sectors
Services to Buildings,881412,814589,851642,824890,8.2,-4.4,3.2,2.2,66823,Other Sectors
Miscellaneous Sectors,3729501,3521959,2863068,2739639,5.9,23.0,4.5,10.8,207542,Other Sectors
Government,26461888,25279195,23972223,25422836,4.7,5.5,-5.7,1.3,1182693,
State Government (PA),1269608,1247008,1005217,962218,1.8,24.1,4.5,9.7,22601,Government
"City, School District, Local Quasi Govt.",11048224,11528610,10597325,9365129,-4.2,8.8,13.2,5.7,-480386,Government
Federal Government,13964660,12347184,12217836,14955524,13.1,1.1,-18.3,-2.3,1617475,Government
Other Governments,179396,156393,151844,139965,14.7,3.0,8.5,8.6,23003,Government
Unclassified Accounts,141117,147693,65631,51662,-4.5,125.0,27.0,39.8,-6575,
