sector,feb_2020,feb_2019,feb_2018,feb_2017,growth_yoy_2020,growth_yoy_2019,growth_yoy_2018,growth_3yr,net_change,parent_sector
Construction,5377184,5257573,4947999,5038160,2.3,6.3,-1.8,2.2,119611,
Manufacturing,9466518,10158303,8217127,7596416,-6.8,23.6,8.2,7.6,-691785,
"Chemicals, Petroleum Refining",1612521,3010251,1577599,1739339,-46.4,90.8,-9.3,-2.5,-1397730,Manufacturing
Pharmaceuticals,2463915,2020394,1777722,1274572,22.0,13.7,39.5,24.6,443520,Manufacturing
Transportation Equipment,728507,784875,834250,747761,-7.2,-5.9,11.6,-0.9,-56367,Manufacturing
Food & Beverage Products,1402368,1184841,1196435,1149869,18.4,-1.0,4.0,6.8,217527,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",637309,697876,608077,601823,-8.7,14.8,1.0,1.9,-60567,Manufacturing
Metal Manufacturing,661236,629402,626019,633703,5.1,0.5,-1.2,1.4,31834,Manufacturing
Miscellaneous Manufacturing,1960662,1830664,1597025,1449350,7.1,14.6,10.2,10.6,129998,Manufacturing
Public Utilities,1848858,1696873,1652296,1585670,9.0,2.7,4.2,5.3,151985,
Transportation and Warehousing,5716341,5184252,4798858,4763395,10.3,8.0,0.7,6.3,532090,
Telecommunication,4283009,3886050,3434017,4005882,10.2,13.2,-14.3,2.3,396959,
"Publishing, Broadcasting, and Other Information",2268748,2024480,1701151,1543037,12.1,19.0,10.2,13.7,244268,
Wholesale Trade,3336929,2917996,2947005,3211797,14.4,-1.0,-8.2,1.3,418932,
Retail Trade,7532583,7204089,6574752,6429433,4.6,9.6,2.3,5.4,328494,
Banking & Credit Unions,4051837,3019811,3375601,3690528,34.2,-10.5,-8.5,3.2,1032026,
Securities / Financial Investments,5710467,4520503,4797636,6176281,26.3,-5.8,-22.3,-2.6,1189964,
Insurance,5138218,4619708,5010935,3801142,11.2,-7.8,31.8,10.6,518509,
"Real Estate, Rental and Leasing",4268552,2174978,2133171,1802243,96.3,2.0,18.4,33.3,2093575,
Health and Social Services,35694147,33426586,29888463,28179820,6.8,11.8,6.1,8.2,2267562,
Hospitals,18630790,17740522,15575463,14860484,5.0,13.9,4.8,7.8,890268,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3466278,3374904,3472314,3236151,2.7,-2.8,7.3,2.3,91375,Health and Social Services
Outpatient Care Centers and Other Health Services,5438314,4858631,4619069,4452570,11.9,5.2,3.7,6.9,579684,Health and Social Services
Nursing & Personal Care Facilities,3402898,3316061,2875564,2714057,2.6,15.3,6.0,7.8,86837,Health and Social Services
Social Services,4755866,4136469,3346052,2916559,15.0,23.6,14.7,17.7,619397,Health and Social Services
Education,15661883,15067951,14180878,13847589,3.9,6.3,2.4,4.2,593932,
College and Universities,12184171,11851580,11232881,10934941,2.8,5.5,2.7,3.7,332591,Education
"Elementary, Secondary Schools",2412880,2242361,2038695,2012880,7.6,10.0,1.3,6.2,170519,Education
Other Educational Services,1064832,974010,909302,899768,9.3,7.1,1.1,5.8,90823,Education
Professional Services,19571382,16959923,15638458,15541633,15.4,8.5,0.6,8.0,2611459,
Legal Services,6649794,6061546,5329457,5161045,9.7,13.7,3.3,8.8,588248,Professional Services
Management Consulting,3686693,2864134,3002585,3137489,28.7,-4.6,-4.3,5.5,822558,Professional Services
Engineering & Architectural Services,2057241,1762586,1653145,1555490,16.7,6.6,6.3,9.8,294655,Professional Services
Computer,1632785,1486167,1292095,1448188,9.9,15.0,-10.8,4.1,146618,Professional Services
"Accounting, Auditing, Bookkeeping",2391991,1878268,1871210,1792298,27.4,0.4,4.4,10.1,513723,Professional Services
Advertising and Other Professional Services,3152879,2907221,2489966,2447122,8.4,16.8,1.8,8.8,245658,Professional Services
Hotels,909709,804811,783602,755760,13.0,2.7,3.7,6.4,104898,
Restaurants,4491152,4554611,3938092,5089598,-1.4,15.7,-22.6,-4.1,-63459,
Sport Teams,1424149,1417926,2059701,1103359,0.4,-31.2,86.7,8.9,6223,
"Arts, Entertainment, and Other Recreation",1356800,1513275,1136940,1061522,-10.3,33.1,7.1,8.5,-156474,
Other Sectors,12346602,11077804,10268372,10316934,11.5,7.9,-0.5,6.2,1268798,
Membership Organizations,3268482,3012207,2747908,2707282,8.5,9.6,1.5,6.5,256275,Other Sectors
Employment/Outsourcing Agencies,2844899,2571722,2412864,2954635,10.6,6.6,-18.3,-1.3,273177,Other Sectors
Security and Investigation Services,957661,805087,689726,658481,19.0,16.7,4.7,13.3,152575,Other Sectors
Services to Buildings,838616,766917,759473,716638,9.3,1.0,6.0,5.4,71700,Other Sectors
Miscellaneous Sectors,4436943,3921871,3658401,3279898,13.1,7.2,11.5,10.6,515073,Other Sectors
Government,15222112,15913711,13472978,13759426,-4.3,18.1,-2.1,3.4,-691599,
State Government (PA),1331488,1070127,989241,1008320,24.4,8.2,-1.9,9.7,261361,Government
"City, School District, Local Quasi Govt.",10583968,9788458,9362700,9274041,8.1,4.5,1.0,4.5,795509,Government
Federal Government,3087594,4869675,2971596,3333018,-36.6,63.9,-10.8,-2.5,-1782081,Government
Other Governments,219062,185451,149440,144047,18.1,24.1,3.7,15.0,33611,Government
Unclassified Accounts,341159,124102,139255,109805,174.9,-10.9,26.8,45.9,217057,
