sector,feb_2015,feb_2014,feb_2013,feb_2012,growth_yoy_2015,growth_yoy_2014,growth_yoy_2013,growth_3yr,net_change,parent_sector
Construction,4946535,3751439,3719735,3061129,31.9,0.9,21.5,17.3,1195097,
Manufacturing,9248444,8445113,7503859,8016614,9.5,12.5,-6.4,4.9,803331,
"Chemicals, Petroleum Refining",2286775,1815586,1573228,1582532,26.0,15.4,-0.6,13.1,471188,Manufacturing
Pharmaceuticals,1442758,1504147,1238587,1452429,-4.1,21.4,-14.7,-0.2,-61388,Manufacturing
Transportation Equipment,759728,758858,759610,886580,0.1,-0.1,-14.3,-5.0,870,Manufacturing
Food & Beverage Products,1154573,1101315,954827,1123603,4.8,15.3,-15.0,0.9,53258,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",746088,742637,667391,742698,0.5,11.3,-10.1,0.2,3451,Manufacturing
Metal Manufacturing,720336,674785,603946,608456,6.8,11.7,-0.7,5.8,45551,Manufacturing
Miscellaneous Manufacturing,2138186,1847784,1706270,1620315,15.7,8.3,5.3,9.7,290402,Manufacturing
Public Utilities,1294304,1298663,1720088,1636405,-0.3,-24.5,5.1,-7.5,-4359,
Transportation and Warehousing,5271197,4411672,3690298,4509142,19.5,19.5,-18.2,5.3,859525,
Telecommunication,2758050,2569051,2407240,3143652,7.4,6.7,-23.4,-4.3,188999,
"Publishing, Broadcasting, and Other Information",1943027,1795385,1640502,2838984,8.2,9.4,-42.2,-11.9,147642,
Wholesale Trade,3357168,2896156,2488994,2412858,15.9,16.4,3.2,11.6,461012,
Retail Trade,7194559,6264691,5742113,5654248,14.8,9.1,1.6,8.4,929867,
Banking & Credit Unions,3412299,3141711,2886114,4377178,8.6,8.9,-34.1,-8.0,270588,
Securities / Financial Investments,5051711,4761809,4293539,3622969,6.1,10.9,18.5,11.7,289901,
Insurance,4116625,4161132,4158941,4469350,-1.1,0.1,-6.9,-2.7,-44507,
"Real Estate, Rental and Leasing",2096739,1857623,1656531,1705768,12.9,12.1,-2.9,7.1,239116,
Health and Social Services,29000891,26463894,24699099,25830831,9.6,7.1,-4.4,3.9,2536997,
Hospitals,13694607,14479411,13901849,14865474,-5.4,4.2,-6.5,-2.7,-784804,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3873369,3044098,2751605,3106113,27.2,10.6,-11.4,7.6,829272,Health and Social Services
Outpatient Care Centers and Other Health Services,5756928,3823331,3277293,3303940,50.6,16.7,-0.8,20.3,1933597,Health and Social Services
Nursing & Personal Care Facilities,2989934,2827143,2678570,2449278,5.8,5.5,9.4,6.9,162791,Health and Social Services
Social Services,2686053,2289912,2089782,2106026,17.3,9.6,-0.8,8.4,396140,Health and Social Services
Education,13844691,12612326,11888856,11423189,9.8,6.1,4.1,6.6,1232364,
College and Universities,10504535,9653934,9287560,9041377,8.8,3.9,2.7,5.1,850601,Education
"Elementary, Secondary Schools",2275712,2032420,1764939,1651876,12.0,15.2,6.8,11.3,243292,Education
Other Educational Services,1064444,925972,836357,729937,15.0,10.7,14.6,13.4,138472,Education
Professional Services,16463650,13282676,12271490,12289450,23.9,8.2,-0.1,10.2,3180975,
Legal Services,5901427,4862582,4759669,5060960,21.4,2.2,-6.0,5.3,1038845,Professional Services
Management Consulting,3555693,2607779,2336652,2315578,36.3,11.6,0.9,15.4,947914,Professional Services
Engineering & Architectural Services,1658965,1420413,1265201,1216168,16.8,12.3,4.0,10.9,238552,Professional Services
Computer,1330506,1201266,1050770,989099,10.8,14.3,6.2,10.4,129240,Professional Services
"Accounting, Auditing, Bookkeeping",1689749,1467948,1328903,1258055,15.1,10.5,5.6,10.3,221801,Professional Services
Advertising and Other Professional Services,2327310,1722687,1530296,1449590,35.1,12.6,5.6,17.1,604623,Professional Services
Hotels,848624,835752,805783,756620,1.5,3.7,6.5,3.9,12872,
Restaurants,4036484,3571237,3213710,1331160,13.0,11.1,141.4,44.7,465247,
Sport Teams,882794,895501,737436,1012526,-1.4,21.4,-27.2,-4.5,-12708,
"Arts, Entertainment, and Other Recreation",1180965,961893,813384,743885,22.8,18.3,9.3,16.7,219073,
Other Sectors,11468913,9211551,8417738,7724469,24.5,9.4,9.0,14.1,2257362,
Membership Organizations,2989465,2540040,2379204,2328762,17.7,6.8,2.2,8.7,449425,Other Sectors
Employment/Outsourcing Agencies,2557733,1960890,1818202,1636110,30.4,7.8,11.1,16.1,596843,Other Sectors
Security and Investigation Services,810972,822760,694926,583008,-1.4,18.4,19.2,11.6,-11788,Other Sectors
Services to Buildings,1092497,1011323,827906,738028,8.0,22.2,12.2,14.0,81174,Other Sectors
Miscellaneous Sectors,4018245,2876537,2697500,2438561,39.7,6.6,10.6,18.1,1141708,Other Sectors
Government,15939246,13245876,13152159,14391079,20.3,0.7,-8.6,3.5,2693370,
State Government (PA),1118224,1068477,962004,895355,4.7,11.1,7.4,7.7,49747,Government
"City, School District, Local Quasi Govt.",8935865,8828754,8795460,10647922,1.2,0.4,-17.4,-5.7,107111,Government
Federal Government,5723186,3177945,3240153,2692125,80.1,-1.9,20.4,28.6,2545241,Government
Other Governments,161971,170701,154543,155678,-5.1,10.5,-0.7,1.3,-8730,Government
Unclassified Accounts,668118,267484,194488,209138,149.8,37.5,-7.0,47.3,400635,
