sector,jul_2015,jul_2014,jul_2013,jul_2012,growth_yoy_2015,growth_yoy_2014,growth_yoy_2013,growth_3yr,net_change,parent_sector
Construction,6024304,5061824,4560329,4171321,19.0,11.0,9.3,13.0,962480,
Manufacturing,9699627,9723905,9487130,9235910,-0.2,2.5,2.7,1.6,-24279,
"Chemicals, Petroleum Refining",1568343,1727138,1762960,1066977,-9.2,-2.0,65.2,13.7,-158795,Manufacturing
Pharmaceuticals,1841011,1620582,1430335,2509725,13.6,13.3,-43.0,-9.8,220429,Manufacturing
Transportation Equipment,1042888,1125891,917209,790821,-7.4,22.8,16.0,9.7,-83003,Manufacturing
Food & Beverage Products,1533467,1289909,1293264,1238448,18.9,-0.3,4.4,7.4,243558,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",861230,873683,1050774,826086,-1.4,-16.9,27.2,1.4,-12454,Manufacturing
Metal Manufacturing,728505,728561,686365,767881,0.0,6.1,-10.6,-1.7,-56,Manufacturing
Miscellaneous Manufacturing,2124183,2358141,2346225,2035971,-9.9,0.5,15.2,1.4,-233958,Manufacturing
Public Utilities,942362,938694,912193,856564,0.4,2.9,6.5,3.2,3667,
Transportation and Warehousing,5830988,5384960,5228620,4192763,8.3,3.0,24.7,11.6,446028,
Telecommunication,3836348,3020474,2707852,1994961,27.0,11.5,35.7,24.4,815874,
"Publishing, Broadcasting, and Other Information",2321795,2197315,2114074,2277452,5.7,3.9,-7.2,0.6,124481,
Wholesale Trade,3909534,3610766,3524308,3375880,8.3,2.5,4.4,5.0,298768,
Retail Trade,8140193,7742145,7440345,6962119,5.1,4.1,6.9,5.3,398048,
Banking & Credit Unions,3237542,2787342,2890593,2621296,16.2,-3.6,10.3,7.3,450200,
Securities / Financial Investments,3718638,2970096,3396357,3066908,25.2,-12.6,10.7,6.6,748542,
Insurance,6723797,6702288,4570352,4289341,0.3,46.6,6.6,16.2,21509,
"Real Estate, Rental and Leasing",2392886,2389850,2068742,2182734,0.1,15.5,-5.2,3.1,3037,
Health and Social Services,33631342,31701026,30726168,26915542,6.1,3.2,14.2,7.7,1930317,
Hospitals,17215590,16539735,16724593,13403435,4.1,-1.1,24.8,8.7,675855,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4177171,4463971,4488649,4075565,-6.4,-0.5,10.1,0.8,-286800,Health and Social Services
Outpatient Care Centers and Other Health Services,5536919,4782806,3999720,3813381,15.8,19.6,4.9,13.2,754113,Health and Social Services
Nursing & Personal Care Facilities,3484328,3134665,2940899,2976763,11.2,6.6,-1.2,5.4,349663,Health and Social Services
Social Services,3217334,2779849,2572306,2646399,15.7,8.1,-2.8,6.7,437485,Health and Social Services
Education,15059096,13675295,12920032,12264198,10.1,5.8,5.3,7.1,1383801,
College and Universities,11338376,10415677,9904478,9293316,8.9,5.2,6.6,6.9,922699,Education
"Elementary, Secondary Schools",2534112,2177194,1996966,1966359,16.4,9.0,1.6,8.8,356918,Education
Other Educational Services,1186608,1082425,1018587,1004523,9.6,6.3,1.4,5.7,104183,Education
Professional Services,17979888,16666820,15687896,14916112,7.9,6.2,5.2,6.4,1313068,
Legal Services,5951299,5707397,5921811,5346578,4.3,-3.6,10.8,3.6,243902,Professional Services
Management Consulting,3686853,3617990,3022226,3026465,1.9,19.7,-0.1,6.8,68863,Professional Services
Engineering & Architectural Services,2067991,1845070,1721229,1619823,12.1,7.2,6.3,8.5,222922,Professional Services
Computer,1711100,1475710,1284542,1261269,16.0,14.9,1.8,10.7,235389,Professional Services
"Accounting, Auditing, Bookkeeping",1761874,1482254,1402095,1468611,18.9,5.7,-4.5,6.3,279620,Professional Services
Advertising and Other Professional Services,2800770,2538398,2335993,2193367,10.3,8.7,6.5,8.5,262372,Professional Services
Hotels,894549,1012912,991180,997653,-11.7,2.2,-0.6,-3.6,-118363,
Restaurants,5461295,4514470,3949887,3862559,21.0,14.3,2.3,12.2,946825,
Sport Teams,1620050,1759506,1397250,1251848,-7.9,25.9,11.6,9.0,-139456,
"Arts, Entertainment, and Other Recreation",1276212,1164303,1042779,992461,9.6,11.7,5.1,8.7,111909,
Other Sectors,12353383,11231892,10508113,10260898,10.0,6.9,2.4,6.4,1121491,
Membership Organizations,3418276,3138587,2942054,3036124,8.9,6.7,-3.1,4.0,279689,Other Sectors
Employment/Outsourcing Agencies,2562739,2295635,2255495,1961281,11.6,1.8,15.0,9.3,267104,Other Sectors
Security and Investigation Services,706901,680122,634472,694871,3.9,7.2,-8.7,0.6,26779,Other Sectors
Services to Buildings,1186027,1149571,1089122,1019363,3.2,5.6,6.8,5.2,36456,Other Sectors
Miscellaneous Sectors,4479440,3967977,3586970,3549258,12.9,10.6,1.1,8.1,511463,Other Sectors
Government,15506388,16871073,15696722,15214337,-8.1,7.5,3.2,0.6,-1364685,
State Government (PA),949216,931302,912188,1108000,1.9,2.1,-17.7,-5.0,17913,Government
"City, School District, Local Quasi Govt.",9630410,11303055,10072660,9538556,-14.8,12.2,5.6,0.3,-1672645,Government
Federal Government,4685815,4453755,4539070,4380429,5.2,-1.9,3.6,2.3,232059,Government
Other Governments,240948,182960,172804,187352,31.7,5.9,-7.8,8.7,57988,Government
Unclassified Accounts,444838,541614,398853,315918,-17.9,35.8,26.3,12.1,-96776,
