sector,dec_2019,dec_2018,dec_2017,dec_2016,growth_yoy_2019,growth_yoy_2018,growth_yoy_2017,growth_3yr,net_change,parent_sector
Construction,5276767,5212032,4829910,4718851,1.2,7.9,2.4,3.8,64735,
Manufacturing,8352141,8912461,8314913,6629718,-6.3,7.2,25.4,8.0,-560320,
"Chemicals, Petroleum Refining",1046535,1584734,1581205,1119789,-34.0,0.2,41.2,-2.2,-538199,Manufacturing
Pharmaceuticals,1725884,1596309,1427486,1043640,8.1,11.8,36.8,18.3,129574,Manufacturing
Transportation Equipment,773090,706624,867008,647811,9.4,-18.5,33.8,6.1,66466,Manufacturing
Food & Beverage Products,1405700,1407967,1296329,1034329,-0.2,8.6,25.3,10.8,-2267,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",754878,742900,657931,577575,1.6,12.9,13.9,9.3,11978,Manufacturing
Metal Manufacturing,672825,737800,680833,591762,-8.8,8.4,15.1,4.4,-64976,Manufacturing
Miscellaneous Manufacturing,1973229,2136126,1804122,1614813,-7.6,18.4,11.7,6.9,-162897,Manufacturing
Public Utilities,1091333,1118426,1088320,890837,-2.4,2.8,22.2,7.0,-27093,
Transportation and Warehousing,6123560,5890022,5308773,4710910,4.0,10.9,12.7,9.1,233539,
Telecommunication,3629787,3325249,3394262,1615764,9.2,-2.0,110.1,31.0,304538,
"Publishing, Broadcasting, and Other Information",2305258,2050299,1765684,1518327,12.4,16.1,16.3,14.9,254959,
Wholesale Trade,3239852,3380487,3343549,2919976,-4.2,1.1,14.5,3.5,-140636,
Retail Trade,7704017,7442007,6575590,5772018,3.5,13.2,13.9,10.1,262010,
Banking & Credit Unions,3476341,3151623,2933003,2133149,10.3,7.5,37.5,17.7,324718,
Securities / Financial Investments,4700633,4591988,4472846,3487987,2.4,2.7,28.2,10.5,108646,
Insurance,4587885,4658840,4240386,3272671,-1.5,9.9,29.6,11.9,-70955,
"Real Estate, Rental and Leasing",2388028,2039268,1888272,1626597,17.1,8.0,16.1,13.7,348760,
Health and Social Services,33142851,32249857,29682226,26713610,2.8,8.7,11.1,7.5,892995,
Hospitals,16541238,15726699,15548585,14603698,5.2,1.1,6.5,4.2,814539,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3585534,3524342,3314806,3040143,1.7,6.3,9.0,5.7,61192,Health and Social Services
Outpatient Care Centers and Other Health Services,5548893,5653759,4702617,3834398,-1.9,20.2,22.6,13.1,-104866,Health and Social Services
Nursing & Personal Care Facilities,2967370,3015399,2839617,2587844,-1.6,6.2,9.7,4.7,-48029,Health and Social Services
Social Services,4499816,4329658,3276603,2647528,3.9,32.1,23.8,19.3,170159,Health and Social Services
Education,19075741,17671038,16604140,13396148,7.9,6.4,23.9,12.5,1404703,
College and Universities,15059180,14012086,13603710,10468316,7.5,3.0,30.0,12.9,1047094,Education
"Elementary, Secondary Schools",2825733,2583221,2040481,2035863,9.4,26.6,0.2,11.5,242512,Education
Other Educational Services,1190829,1075732,959949,891969,10.7,12.1,7.6,10.1,115097,Education
Professional Services,20631658,19434715,16627011,15377509,6.2,16.9,8.1,10.3,1196943,
Legal Services,6834369,7224276,5849920,5089350,-5.4,23.5,14.9,10.3,-389906,Professional Services
Management Consulting,4368802,3681335,3452734,3121436,18.7,6.6,10.6,11.9,687468,Professional Services
Engineering & Architectural Services,2755976,2259804,1981205,1787787,22.0,14.1,10.8,15.5,496172,Professional Services
Computer,1625513,1645980,1440228,1332833,-1.2,14.3,8.1,6.8,-20468,Professional Services
"Accounting, Auditing, Bookkeeping",2094340,1721759,1572143,1605712,21.6,9.5,-2.1,9.3,372581,Professional Services
Advertising and Other Professional Services,2952657,2901561,2330781,2440391,1.8,24.5,-4.5,6.6,51096,Professional Services
Hotels,922483,961540,823269,740283,-4.1,16.8,11.2,7.6,-39058,
Restaurants,4457647,4201868,4186423,3515663,6.1,0.4,19.1,8.2,255779,
Sport Teams,2276428,2155683,2156992,1415564,5.6,-0.1,52.4,17.2,120745,
"Arts, Entertainment, and Other Recreation",1474145,1257501,1128249,997647,17.2,11.5,13.1,13.9,216645,
Other Sectors,11328839,11295988,9860001,9191614,0.3,14.6,7.3,7.2,32850,
Membership Organizations,2964601,3000354,2821598,2802029,-1.2,6.3,0.7,1.9,-35753,Other Sectors
Employment/Outsourcing Agencies,2963274,2960668,2500258,2274248,0.1,18.4,9.9,9.2,2607,Other Sectors
Security and Investigation Services,846555,848426,767187,709728,-0.2,10.6,8.1,6.1,-1871,Other Sectors
Services to Buildings,839562,828680,857531,794974,1.3,-3.4,7.9,1.8,10882,Other Sectors
Miscellaneous Sectors,3714846,3657860,2913428,2610635,1.6,25.6,11.6,12.5,56986,Other Sectors
Government,17009688,17448045,14979056,15095056,-2.5,16.5,-0.8,4.1,-438357,
State Government (PA),1271245,1204572,997409,980222,5.5,20.8,1.8,9.1,66673,Government
"City, School District, Local Quasi Govt.",11079342,11120927,9432759,9102456,-0.4,17.9,3.6,6.8,-41585,Government
Federal Government,4490499,4923983,4397304,4877923,-8.8,12.0,-9.9,-2.7,-433485,Government
Other Governments,168603,198563,151584,134456,-15.1,31.0,12.7,7.8,-29960,Government
Unclassified Accounts,170836,128972,103484,55090,32.5,24.6,87.8,45.8,41863,
