sector,jan_to_mar_2023,jan_to_mar_2022,jan_to_mar_2021,jan_to_mar_2020,growth_yoy_2023,growth_yoy_2022,growth_yoy_2021,growth_3yr,net_change,parent_sector
Construction,18668400,18317212,17389220,18701562,1.9,5.3,-7.0,-0.1,351187,
Manufacturing,37322485,35316613,31283454,45213348,5.7,12.9,-30.8,-6.2,2005872,
"Chemicals, Petroleum Refining",5586669,5598389,4825594,6514929,-0.2,16.0,-25.9,-5.0,-11720,Manufacturing
Pharmaceuticals,11203202,9889091,8400146,20188122,13.3,17.7,-58.4,-17.8,1314110,Manufacturing
Transportation Equipment,3034391,3089931,2733637,2593404,-1.8,13.0,5.4,5.4,-55541,Manufacturing
Food & Beverage Products,5133093,4567164,4694097,4536082,12.4,-2.7,3.5,4.2,565928,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",2796898,2775175,2533307,2374128,0.8,9.5,6.7,5.6,21722,Manufacturing
Metal Manufacturing,2274061,1915684,1687833,2188519,18.7,13.5,-22.9,1.3,358377,Manufacturing
Miscellaneous Manufacturing,7294171,7481178,6408840,6818165,-2.5,16.7,-6.0,2.3,-187007,Manufacturing
Public Utilities,5310918,4696708,4855898,5268169,13.1,-3.3,-7.8,0.3,614210,
Transportation and Warehousing,20093352,18855433,16086039,18350107,6.6,17.2,-12.3,3.1,1237919,
Telecommunication,21123935,23842244,11887814,19481819,-11.4,100.6,-39.0,2.7,-2718309,
"Publishing, Broadcasting, and Other Information",8309199,7832144,7028162,7524156,6.1,11.4,-6.6,3.4,477055,
Wholesale Trade,13280888,13023580,11649194,11985708,2.0,11.8,-2.8,3.5,257307,
Retail Trade,31811833,33067646,27347905,25698432,-3.8,20.9,6.4,7.4,-1255813,
Banking & Credit Unions,12140118,13095409,13022608,12445025,-7.3,0.6,4.6,-0.8,-955291,
Securities / Financial Investments,22741645,20292933,18852157,17694789,12.1,7.6,6.5,8.7,2448712,
Insurance,21571485,18770193,15980661,24822294,14.9,17.5,-35.6,-4.6,2801292,
"Real Estate, Rental and Leasing",9256224,9845840,8041729,11592145,-6.0,22.4,-30.6,-7.2,-589616,
Health and Social Services,130158801,124947034,116826702,115764206,4.2,7.0,0.9,4.0,5211767,
Hospitals,61806361,60508525,56489497,56893067,2.1,7.1,-0.7,2.8,1297837,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",13808721,13841167,13325233,12774322,-0.2,3.9,4.3,2.6,-32446,Health and Social Services
Outpatient Care Centers and Other Health Services,20105893,19913903,18953121,18018437,1.0,5.1,5.2,3.7,191990,Health and Social Services
Nursing & Personal Care Facilities,11264408,11085730,10568789,11312197,1.6,4.9,-6.6,-0.1,178678,Health and Social Services
Social Services,23173419,19597709,17490062,16766183,18.2,12.1,4.3,11.4,3575709,Health and Social Services
Education,50859998,48716940,39734692,47356827,4.4,22.6,-16.1,2.4,2143057,
College and Universities,38080825,36410885,28802962,35904587,4.6,26.4,-19.8,2.0,1669940,Education
"Elementary, Secondary Schools",9111615,8717695,7684777,7827176,4.5,13.4,-1.8,5.2,393920,Education
Other Educational Services,3667558,3588360,3246953,3625065,2.2,10.5,-10.4,0.4,79197,Education
Professional Services,85564862,81696556,65418498,77023341,4.7,24.9,-15.1,3.6,3868306,
Legal Services,28842337,24986065,21159271,29308886,15.4,18.1,-27.8,-0.5,3856272,Professional Services
Management Consulting,15239008,15822686,12487006,14114401,-3.7,26.7,-11.5,2.6,-583678,Professional Services
Engineering & Architectural Services,8561330,7650448,7637298,7809812,11.9,0.2,-2.2,3.1,910883,Professional Services
Computer,7029790,6348061,5643873,6119030,10.7,12.5,-7.8,4.7,681729,Professional Services
"Accounting, Auditing, Bookkeeping",8003972,11009746,5811205,6789650,-27.3,89.5,-14.4,5.6,-3005774,Professional Services
Advertising and Other Professional Services,17888425,15879550,12679846,12881563,12.7,25.2,-1.6,11.6,2008874,Professional Services
Hotels,3331122,2638539,1292271,3016802,26.2,104.2,-57.2,3.4,692583,
Restaurants,15610279,14045653,8661741,14657156,11.1,62.2,-40.9,2.1,1564627,
Sport Teams,6517955,5345031,3784628,5154821,21.9,41.2,-26.6,8.1,1172924,
"Arts, Entertainment, and Other Recreation",4657813,4087872,2603211,4655509,13.9,57.0,-44.1,0.0,569942,
Other Sectors,48355150,43917147,36001391,40939054,10.1,22.0,-12.1,5.7,4438002,
Membership Organizations,11870596,11150751,9736888,11123327,6.5,14.5,-12.5,2.2,719845,Other Sectors
Employment/Outsourcing Agencies,12975474,10994598,8109321,9411808,18.0,35.6,-13.8,11.3,1980876,Other Sectors
Security and Investigation Services,3174227,2884787,2547948,2669679,10.0,13.2,-4.6,5.9,289440,Other Sectors
Services to Buildings,3397658,3141757,2943383,2943377,8.1,6.7,0.0,4.9,255901,Other Sectors
Miscellaneous Sectors,16937195,15745255,12663851,14790863,7.6,24.3,-14.4,4.6,1191940,Other Sectors
Government,61423222,57805562,60029559,61725431,6.3,-3.7,-2.7,-0.2,3617661,
State Government (PA),3566367,3532666,3432111,3480379,1.0,2.9,-1.4,0.8,33701,Government
"City, School District, Local Quasi Govt.",33310091,33126869,33698685,35512485,0.6,-1.7,-5.1,-2.1,183222,Government
Federal Government,23699590,20452424,22268731,22051889,15.9,-8.2,1.0,2.4,3247166,Government
Other Governments,847174,693603,630033,680678,22.1,10.1,-7.4,7.6,153571,Government
Unclassified Accounts,578777,513256,271507,165794,12.8,89.0,63.8,51.7,65520,
