sector,jul_2014,jul_2013,jul_2012,jul_2011,growth_yoy_2014,growth_yoy_2013,growth_yoy_2012,growth_3yr,net_change,parent_sector
Construction,5064565,4560329,4171321,3207164,11.1,9.3,30.1,16.5,504236,
Manufacturing,9698887,9487130,9235910,7218266,2.2,2.7,28.0,10.3,211757,
"Chemicals, Petroleum Refining",1702885,1762960,1066977,1315253,-3.4,65.2,-18.9,9.0,-60075,Manufacturing
Pharmaceuticals,1620582,1430335,2509725,1182175,13.3,-43.0,112.3,11.1,190247,Manufacturing
Transportation Equipment,1125891,917209,790821,759803,22.8,16.0,4.1,14.0,208682,Manufacturing
Food & Beverage Products,1289461,1293264,1238448,1030193,-0.3,4.4,20.2,7.8,-3803,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",873366,1050774,826086,628555,-16.9,27.2,31.4,11.6,-177407,Manufacturing
Metal Manufacturing,728561,686365,767881,627899,6.1,-10.6,22.3,5.1,42196,Manufacturing
Miscellaneous Manufacturing,2358141,2346225,2035971,1674388,0.5,15.2,21.6,12.1,11916,Manufacturing
Public Utilities,938694,912193,856564,863329,2.9,6.5,-0.8,2.8,26501,
Transportation and Warehousing,5384960,5228620,4192763,3562865,3.0,24.7,17.7,14.8,156340,
Telecommunication,3027619,2714129,2000245,1894263,11.6,35.7,5.6,16.9,313489,
"Publishing, Broadcasting, and Other Information",2197638,2114074,2277452,1579510,4.0,-7.2,44.2,11.6,83564,
Wholesale Trade,3657990,3551474,3394325,2530237,3.0,4.6,34.2,13.1,106516,
Retail Trade,7731412,7424157,6952269,5111963,4.1,6.8,36.0,14.8,307255,
Banking & Credit Unions,2747785,2890593,2621296,2632299,-4.9,10.3,-0.4,1.4,-142808,
Securities / Financial Investments,2970096,3396357,3066908,2464267,-12.6,10.7,24.5,6.4,-426261,
Insurance,5949130,4570352,4289341,3647451,30.2,6.6,17.6,17.7,1378778,
"Real Estate, Rental and Leasing",2590996,2192844,2306167,1624498,18.2,-4.9,42.0,16.8,398153,
Health and Social Services,31695881,30726168,26915542,24681039,3.2,14.2,9.1,8.7,969713,
Hospitals,16561019,16724593,13403435,14034521,-1.0,24.8,-4.5,5.7,-163574,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4443713,4488649,4075565,2838761,-1.0,10.1,43.6,16.1,-44937,Health and Social Services
Outpatient Care Centers and Other Health Services,4782772,3999720,3813381,3082544,19.6,4.9,23.7,15.8,783052,Health and Social Services
Nursing & Personal Care Facilities,3134665,2940899,2976763,2422437,6.6,-1.2,22.9,9.0,193765,Health and Social Services
Social Services,2773712,2572306,2646399,2302777,7.8,-2.8,14.9,6.4,201406,Health and Social Services
Education,13637341,12890171,12234533,11350180,5.8,5.4,7.8,6.3,747169,
College and Universities,10415677,9904478,9293316,8975479,5.2,6.6,3.5,5.1,511199,Education
"Elementary, Secondary Schools",2143505,1967106,1936694,1636704,9.0,1.6,18.3,9.4,176399,Education
Other Educational Services,1078159,1018587,1004523,737998,5.8,1.4,36.1,13.5,59572,Education
Professional Services,16642875,15699252,14928777,10893061,6.0,5.2,37.0,15.2,943623,
Legal Services,5697867,5921811,5346578,4304678,-3.8,10.8,24.2,9.8,-223944,Professional Services
Management Consulting,3650214,3039858,3044414,2005157,20.1,-0.1,51.8,22.1,610356,Professional Services
Engineering & Architectural Services,1808244,1721229,1619823,1289726,5.1,6.3,25.6,11.9,87014,Professional Services
Computer,1464561,1278265,1255985,867431,14.6,1.8,44.8,19.1,186296,Professional Services
"Accounting, Auditing, Bookkeeping",1482856,1402095,1468611,1164257,5.8,-4.5,26.1,8.4,80761,Professional Services
Advertising and Other Professional Services,2539133,2335993,2193367,1261812,8.7,6.5,73.8,26.2,203140,Professional Services
Hotels,1009623,991180,997653,705992,1.9,-0.6,41.3,12.7,18443,
Restaurants,4482440,3920889,3835030,2721699,14.3,2.2,40.9,18.1,561551,
Sport Teams,1759506,1397250,1251848,1167958,25.9,11.6,7.2,14.6,362257,
"Arts, Entertainment, and Other Recreation",997454,918678,869027,728814,8.6,5.7,19.2,11.0,78776,
Other Sectors,12021798,10538361,10291548,7632014,14.1,2.4,34.8,16.4,1483437,
Membership Organizations,3171070,2971914,3065790,2461902,6.7,-3.1,24.5,8.8,199155,Other Sectors
Employment/Outsourcing Agencies,2295635,2255495,1961281,1518082,1.8,15.0,29.2,14.8,40139,Other Sectors
Security and Investigation Services,680122,634472,694871,479240,7.2,-8.7,45.0,12.4,45651,Other Sectors
Services to Buildings,1149571,1089122,1019363,805620,5.6,6.8,26.5,12.6,60449,Other Sectors
Miscellaneous Sectors,4725400,3587357,3550244,2367170,31.7,1.0,50.0,25.9,1138043,Other Sectors
Government,16871073,15696722,15214337,18062792,7.5,3.2,-15.8,-2.2,1174351,
State Government (PA),931302,912188,1108000,928453,2.1,-17.7,19.3,0.1,19115,Government
"City, School District, Local Quasi Govt.",11303055,10072660,9538556,10499064,12.2,5.6,-9.1,2.5,1230395,Government
Federal Government,4453755,4539070,4380429,6451801,-1.9,3.6,-32.1,-11.6,-85314,Government
Other Governments,182960,172804,187352,183474,5.9,-7.8,2.1,-0.1,10156,Government
Unclassified Accounts,560953,398853,315918,156236,40.6,26.3,102.2,53.1,162100,
