sector,mar_2017,mar_2016,mar_2015,mar_2014,growth_yoy_2017,growth_yoy_2016,growth_yoy_2015,growth_3yr,net_change,parent_sector
Construction,4986163,4818595,3538989,3477419,3.5,36.2,1.8,12.8,167567,
Manufacturing,13228541,13738117,12057347,11750947,-3.7,13.9,2.6,4.0,-509575,
"Chemicals, Petroleum Refining",3381932,3725802,2140417,2190279,-9.2,74.1,-2.3,15.6,-343869,Manufacturing
Pharmaceuticals,4031997,4204700,4843270,4660200,-4.1,-13.2,3.9,-4.7,-172703,Manufacturing
Transportation Equipment,934038,935392,881478,787134,-0.1,6.1,12.0,5.9,-1354,Manufacturing
Food & Beverage Products,1327585,1308666,1116790,1133332,1.4,17.2,-1.5,5.4,18919,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",747494,688864,667032,642818,8.5,3.3,3.8,5.2,58630,Manufacturing
Metal Manufacturing,1039908,1003489,754958,739177,3.6,32.9,2.1,12.1,36419,Manufacturing
Miscellaneous Manufacturing,1765588,1871205,1653402,1598008,-5.6,13.2,3.5,3.4,-105617,Manufacturing
Public Utilities,1985929,2071493,1658092,1771590,-4.1,24.9,-6.4,3.9,-85565,
Transportation and Warehousing,5471114,5700418,4719378,4519560,-4.0,20.8,4.4,6.6,-229304,
Telecommunication,8300227,7407486,5693243,6027573,12.1,30.1,-5.5,11.3,892741,
"Publishing, Broadcasting, and Other Information",1921225,2165422,2022033,1975297,-11.3,7.1,2.4,-0.9,-244196,
Wholesale Trade,3151087,3126246,2500754,2407192,0.8,25.0,3.9,9.4,24840,
Retail Trade,6860458,6810141,5950388,5290400,0.7,14.4,12.5,9.0,50317,
Banking & Credit Unions,4870152,4370013,4115906,3803319,11.4,6.2,8.2,8.6,500139,
Securities / Financial Investments,6502525,5906529,6670925,6288351,10.1,-11.5,6.1,1.1,595996,
Insurance,11216320,11193830,9981207,10250661,0.2,12.1,-2.6,3.0,22491,
"Real Estate, Rental and Leasing",2438420,2348129,2502802,2148713,3.8,-6.2,16.5,4.3,90291,
Health and Social Services,30128885,29459301,24271125,22943933,2.3,21.4,5.8,9.5,669584,
Hospitals,15634062,15880133,13324175,12709094,-1.5,19.2,4.8,7.1,-246071,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3408579,2923643,2691580,2614476,16.6,8.6,2.9,9.2,484936,Health and Social Services
Outpatient Care Centers and Other Health Services,4864673,4760301,3587375,3237967,2.2,32.7,10.8,14.5,104371,Health and Social Services
Nursing & Personal Care Facilities,3050745,3033895,2389165,2418357,0.6,27.0,-1.2,8.1,16850,Health and Social Services
Social Services,3170827,2861329,2278830,1964039,10.8,25.6,16.0,17.3,309498,Health and Social Services
Education,14709784,14378324,13306040,12764595,2.3,8.1,4.2,4.8,331460,
College and Universities,11623156,11250841,10507349,10007775,3.3,7.1,5.0,5.1,372315,Education
"Elementary, Secondary Schools",2126080,2115751,1929572,1931464,0.5,9.6,-0.1,3.3,10328,Education
Other Educational Services,960548,1011731,869119,825357,-5.1,16.4,5.3,5.2,-51183,Education
Professional Services,17822925,16355429,13725734,12544556,9.0,19.2,9.4,12.4,1467496,
Legal Services,6090364,5555915,4409012,4289746,9.6,26.0,2.8,12.4,534448,Professional Services
Management Consulting,3699495,3453944,3085906,2706148,7.1,11.9,14.0,11.0,245551,Professional Services
Engineering & Architectural Services,1792101,1762885,1633655,1330977,1.7,7.9,22.7,10.4,29216,Professional Services
Computer,1705591,1579117,1351953,1347504,8.0,16.8,0.3,8.2,126475,Professional Services
"Accounting, Auditing, Bookkeeping",1704624,1794681,1448722,1279541,-5.0,23.9,13.2,10.0,-90057,Professional Services
Advertising and Other Professional Services,2830750,2208887,1796486,1590639,28.2,23.0,12.9,21.2,621863,Professional Services
Hotels,983370,1027774,900474,853235,-4.3,14.1,5.5,4.8,-44403,
Restaurants,3808697,3850137,2945813,2839747,-1.1,30.7,3.7,10.3,-41440,
Sport Teams,1664621,1815615,1946270,1230472,-8.3,-6.7,58.2,10.6,-150994,
"Arts, Entertainment, and Other Recreation",1261759,1123937,917842,1073138,12.3,22.5,-14.5,5.5,137822,
Other Sectors,9830676,9430307,8082844,7842603,4.2,16.7,3.1,7.8,400369,
Membership Organizations,2708868,2517441,2341432,2273861,7.6,7.5,3.0,6.0,191427,Other Sectors
Employment/Outsourcing Agencies,2426341,2320853,2025443,1720666,4.5,14.6,17.7,12.1,105488,Other Sectors
Security and Investigation Services,704093,643571,600487,545765,9.4,7.2,10.0,8.9,60522,Other Sectors
Services to Buildings,745869,959026,793790,782400,-22.2,20.8,1.5,-1.6,-213156,Other Sectors
Miscellaneous Sectors,3245505,2989416,2321692,2519912,8.6,28.8,-7.9,8.8,256089,Other Sectors
Government,15828136,22079144,22252644,13590428,-28.3,-0.8,63.7,5.2,-6251008,
State Government (PA),1049706,993587,986020,921030,5.6,0.8,7.1,4.5,56118,Government
"City, School District, Local Quasi Govt.",11008019,10747292,8715902,8501645,2.4,23.3,2.5,9.0,260727,Government
Federal Government,3611122,10142980,12411610,4026547,-64.4,-18.3,208.2,-3.6,-6531858,Government
Other Governments,159290,195285,139112,141205,-18.4,40.4,-1.5,4.1,-35996,Government
Unclassified Accounts,246647,85191,64157,110389,189.5,32.8,-41.9,30.7,161456,
