sector,jul_to_sep_2021,jul_to_sep_2020,jul_to_sep_2019,jul_to_sep_2018,growth_yoy_2021,growth_yoy_2020,growth_yoy_2019,growth_3yr,net_change,parent_sector
Construction,17491949,17152448,18740847,18109016,2.0,-8.5,3.5,-1.1,339501,
Manufacturing,25148985,25782695,27919739,27277635,-2.5,-7.7,2.4,-2.7,-633711,
"Chemicals, Petroleum Refining",3015430,3234512,4773362,4780677,-6.8,-32.2,-0.2,-14.2,-219082,Manufacturing
Pharmaceuticals,4960449,5846840,5727468,5043649,-15.2,2.1,13.6,-0.6,-886391,Manufacturing
Transportation Equipment,2379322,2653226,2411723,2250449,-10.3,10.0,7.2,1.9,-273905,Manufacturing
Food & Beverage Products,4415454,4303512,4212545,4090366,2.6,2.2,3.0,2.6,111941,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",2467920,2364895,2299758,2391939,4.4,2.8,-3.9,1.0,103025,Manufacturing
Metal Manufacturing,1887510,1987392,2509267,2663439,-5.0,-20.8,-5.8,-10.8,-99882,Manufacturing
Miscellaneous Manufacturing,6022900,5392318,5985615,6057115,11.7,-9.9,-1.2,-0.2,630582,Manufacturing
Public Utilities,2253715,3546752,3561139,3233041,-36.5,-0.4,10.1,-11.3,-1293037,
Transportation and Warehousing,17396823,16648300,18499494,17049357,4.5,-10.0,8.5,0.7,748523,
Telecommunication,6182013,9227194,12255115,10412124,-33.0,-24.7,17.7,-16.0,-3045181,
"Publishing, Broadcasting, and Other Information",6414879,6745894,6848152,6337370,-4.9,-1.5,8.1,0.4,-331015,
Wholesale Trade,9979705,9282226,10474500,10897899,7.5,-11.4,-3.9,-2.9,697479,
Retail Trade,27113108,24187239,23843757,23256887,12.1,1.4,2.5,5.2,2925869,
Banking & Credit Unions,7420070,8371889,8396341,8522188,-11.4,-0.3,-1.5,-4.5,-951819,
Securities / Financial Investments,8900964,10146153,11828196,11282182,-12.3,-14.2,4.8,-7.6,-1245188,
Insurance,9024286,11110187,14309542,14389674,-18.8,-22.4,-0.6,-14.4,-2085901,
"Real Estate, Rental and Leasing",6633348,6479851,7282354,7183141,2.4,-11.0,1.4,-2.6,153497,
Health and Social Services,111879137,117113461,113732174,106399660,-4.5,3.0,6.9,1.7,-5234325,
Hospitals,54835253,60004239,58130370,54180109,-8.6,3.2,7.3,0.4,-5168986,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",12174062,11055309,12196014,11963134,10.1,-9.4,1.9,0.6,1118753,Health and Social Services
Outpatient Care Centers and Other Health Services,17427328,18409476,17668591,17041679,-5.3,4.2,3.7,0.7,-982148,Health and Social Services
Nursing & Personal Care Facilities,10404993,10614033,10482033,10110205,-2.0,1.3,3.7,1.0,-209041,Health and Social Services
Social Services,17037501,17030404,15255167,13104535,0.0,11.6,16.4,9.1,7097,Health and Social Services
Education,42332751,39512255,49613314,47671443,7.1,-20.4,4.1,-3.9,2820496,
College and Universities,31939084,29046630,39096093,37362063,10.0,-25.7,4.6,-5.1,2892454,Education
"Elementary, Secondary Schools",7219245,7411031,7220852,7093184,-2.6,2.6,1.8,0.6,-191786,Education
Other Educational Services,3174423,3054594,3296369,3216196,3.9,-7.3,2.5,-0.4,119829,Education
Professional Services,50579951,50944339,57906422,54186731,-0.7,-12.0,6.9,-2.3,-364388,
Legal Services,12098434,13044735,17007058,16774486,-7.3,-23.3,1.4,-10.3,-946301,Professional Services
Management Consulting,9838518,10031877,11324011,10238776,-1.9,-11.4,10.6,-1.3,-193359,Professional Services
Engineering & Architectural Services,5711854,6530020,6635920,6335999,-12.5,-1.6,4.7,-3.4,-818166,Professional Services
Computer,5346884,5280372,5374683,5099188,1.3,-1.8,5.4,1.6,66512,Professional Services
"Accounting, Auditing, Bookkeeping",5495695,5629733,6403783,5964042,-2.4,-12.1,7.4,-2.7,-134039,Professional Services
Advertising and Other Professional Services,12088567,10427602,11160966,9774240,15.9,-6.6,14.2,7.3,1660965,Professional Services
Hotels,2164013,1040017,3125951,2957559,108.1,-66.7,5.7,-9.9,1123996,
Restaurants,12008634,7985160,14311251,13720513,50.4,-44.2,4.3,-4.3,4023474,
Sport Teams,6549683,6452134,7200728,5267933,1.5,-10.4,36.7,7.5,97548,
"Arts, Entertainment, and Other Recreation",3254154,2514969,3998274,3811151,29.4,-37.1,4.9,-5.1,739185,
Other Sectors,35714183,32651768,37549718,36585786,9.4,-13.0,2.6,-0.8,3062415,
Membership Organizations,9422643,9913248,10218937,10126008,-4.9,-3.0,0.9,-2.4,-490605,Other Sectors
Employment/Outsourcing Agencies,7803735,6780787,8436427,8285418,15.1,-19.6,1.8,-2.0,1022948,Other Sectors
Security and Investigation Services,2587348,2521727,2513821,2422754,2.6,0.3,3.8,2.2,65621,Other Sectors
Services to Buildings,3044786,2828732,3034300,2898707,7.6,-6.8,4.7,1.7,216054,Other Sectors
Miscellaneous Sectors,12855671,10607273,13346233,12852899,21.2,-20.5,3.8,0.0,2248397,Other Sectors
Government,56728002,75248868,68553622,67495323,-24.6,9.8,1.6,-5.6,-18520867,
State Government (PA),3273213,3345712,3771708,3476360,-2.2,-11.3,8.5,-2.0,-72499,Government
"City, School District, Local Quasi Govt.",33166971,35657257,34559561,33300178,-7.0,3.2,3.8,-0.1,-2490286,Government
Federal Government,19666262,35562201,29551792,30097541,-44.7,20.3,-1.8,-13.2,-15895940,Government
Other Governments,621556,683698,670560,621244,-9.1,2.0,7.9,0.0,-62142,Government
Unclassified Accounts,2238130,500208,415788,346979,347.4,20.3,19.8,86.1,1737922,
