sector,apr_to_jun_2021,apr_to_jun_2020,apr_to_jun_2019,apr_to_jun_2018,growth_yoy_2021,growth_yoy_2020,growth_yoy_2019,growth_3yr,net_change,parent_sector
Construction,17448887,13356916,17387897,16498451,30.6,-23.2,5.4,1.9,4091971,
Manufacturing,25947378,26949230,29355286,28466473,-3.7,-8.2,3.1,-3.0,-1001852,
"Chemicals, Petroleum Refining",2928750,3325898,4624375,5333518,-11.9,-28.1,-13.3,-18.1,-397148,Manufacturing
Pharmaceuticals,5672819,7376064,6953321,5776107,-23.1,6.1,20.4,-0.6,-1703245,Manufacturing
Transportation Equipment,2346030,2158520,2489295,2413924,8.7,-13.3,3.1,-0.9,187510,Manufacturing
Food & Beverage Products,4514003,4226001,4172457,4257821,6.8,1.3,-2.0,2.0,288002,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",2324410,2351256,2617504,2387889,-1.1,-10.2,9.6,-0.9,-26846,Manufacturing
Metal Manufacturing,1800364,1801625,2146668,2310520,-0.1,-16.1,-7.1,-8.0,-1261,Manufacturing
Miscellaneous Manufacturing,6361002,5709866,6351666,5986693,11.4,-10.1,6.1,2.0,651136,Manufacturing
Public Utilities,3350637,3267952,3416044,3544673,2.5,-4.3,-3.6,-1.9,82685,
Transportation and Warehousing,16340752,15412155,17807368,16865690,6.0,-13.5,5.6,-1.0,928597,
Telecommunication,6109602,14646182,16272135,14728071,-58.3,-10.0,10.5,-25.4,-8536580,
"Publishing, Broadcasting, and Other Information",6081490,7310369,7056749,6739390,-16.8,3.6,4.7,-3.4,-1228879,
Wholesale Trade,10550686,9760964,10962194,10817035,8.1,-11.0,1.3,-0.8,789722,
Retail Trade,26960577,24474089,27093541,24356087,10.2,-9.7,11.2,3.4,2486488,
Banking & Credit Unions,7852492,11006985,10321937,9909458,-28.7,6.6,4.2,-7.5,-3154493,
Securities / Financial Investments,10621581,16872271,15088547,16619256,-37.0,11.8,-9.2,-13.9,-6250689,
Insurance,10877902,14591815,17400527,15622378,-25.5,-16.1,11.4,-11.4,-3713913,
"Real Estate, Rental and Leasing",6632459,6776900,7964441,7464720,-2.1,-14.9,6.7,-3.9,-144442,
Health and Social Services,107541332,108220177,108633308,102489758,-0.6,-0.4,6.0,1.6,-678845,
Hospitals,51722527,53719210,53482394,52228996,-3.7,0.4,2.4,-0.3,-1996684,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",11589015,9519746,12056602,11746515,21.7,-21.0,2.6,-0.4,2069269,Health and Social Services
Outpatient Care Centers and Other Health Services,17441195,17857963,18462968,16678036,-2.3,-3.3,10.7,1.5,-416768,Health and Social Services
Nursing & Personal Care Facilities,10088212,10850529,10307418,9735873,-7.0,5.3,5.9,1.2,-762318,Health and Social Services
Social Services,16700384,16272728,14323926,12100339,2.6,13.6,18.4,11.3,427656,Health and Social Services
Education,38996491,44766574,48483957,47922355,-12.9,-7.7,1.2,-6.6,-5770083,
College and Universities,28691239,33690687,37276800,37683594,-14.8,-9.6,-1.1,-8.7,-4999448,Education
"Elementary, Secondary Schools",7217679,7782378,7692807,7054220,-7.3,1.2,9.1,0.8,-564700,Education
Other Educational Services,3087574,3293509,3514349,3184540,-6.3,-6.3,10.4,-1.0,-205935,Education
Professional Services,49298212,55897856,58015092,53478854,-11.8,-3.6,8.5,-2.7,-6599644,
Legal Services,10575614,14845101,17611232,16565016,-28.8,-15.7,6.3,-13.9,-4269487,Professional Services
Management Consulting,10274559,10978814,10927614,9971577,-6.4,0.5,9.6,1.0,-704255,Professional Services
Engineering & Architectural Services,5456791,6591489,6650696,6339750,-17.2,-0.9,4.9,-4.9,-1134698,Professional Services
Computer,5634525,5871193,5565180,5106021,-4.0,5.5,9.0,3.3,-236669,Professional Services
"Accounting, Auditing, Bookkeeping",5289095,6276966,6460128,5809016,-15.7,-2.8,11.2,-3.1,-987871,Professional Services
Advertising and Other Professional Services,12067629,11334293,10800243,9687474,6.5,4.9,11.5,7.6,733336,Professional Services
Hotels,1804008,1331761,3181988,2869196,35.5,-58.1,10.9,-14.3,472247,
Restaurants,9113005,8664957,14399871,13809277,5.2,-39.8,4.3,-12.9,448048,
Sport Teams,6191504,4837866,6340864,5028558,28.0,-23.7,26.1,7.2,1353638,
"Arts, Entertainment, and Other Recreation",2875740,2903905,4121652,3746822,-1.0,-29.5,10.0,-8.4,-28165,
Other Sectors,33861400,33761919,39023011,35566690,0.3,-13.5,9.7,-1.6,99481,
Membership Organizations,8525167,9757219,10060629,9784120,-12.6,-3.0,2.8,-4.5,-1232052,Other Sectors
Employment/Outsourcing Agencies,7432369,7477545,8626901,8239917,-0.6,-13.3,4.7,-3.4,-45176,Other Sectors
Security and Investigation Services,2613957,2370668,2483285,2450579,10.3,-4.5,1.3,2.2,243290,Other Sectors
Services to Buildings,2906556,2581740,2900513,2635209,12.6,-11.0,10.1,3.3,324816,Other Sectors
Miscellaneous Sectors,12383351,11574747,14951683,12456864,7.0,-22.6,20.0,-0.2,808604,Other Sectors
Government,66178600,47390655,47955506,47277820,39.6,-1.2,1.4,11.9,18787945,
State Government (PA),3227497,3346986,3573820,3351949,-3.6,-6.3,6.6,-1.3,-119489,Government
"City, School District, Local Quasi Govt.",31152473,29834277,32223703,30847111,4.4,-7.4,4.5,0.3,1318196,Government
Federal Government,31262136,13562764,11528243,12429525,130.5,17.6,-7.3,36.0,17699371,Government
Other Governments,536495,646628,629740,649235,-17.0,2.7,-3.0,-6.2,-110133,Government
Unclassified Accounts,2371476,269952,328576,294996,778.5,-17.8,11.4,100.3,2101524,
