sector,sep_2018,sep_2017,sep_2016,sep_2015,growth_yoy_2018,growth_yoy_2017,growth_yoy_2016,growth_3yr,net_change,parent_sector
Construction,5356372,5268874,4714745,4645137,1.7,11.8,1.5,4.9,87498,
Manufacturing,8661347,7840906,7540857,7837579,10.5,4.0,-3.8,3.4,820441,
"Chemicals, Petroleum Refining",1784636,1543668,1274048,1361328,15.6,21.2,-6.4,9.4,240969,Manufacturing
Pharmaceuticals,1610486,1377959,1611021,1620184,16.9,-14.5,-0.6,-0.2,232527,Manufacturing
Transportation Equipment,708241,783085,852054,909325,-9.6,-8.1,-6.3,-8.0,-74844,Manufacturing
Food & Beverage Products,1167817,1169482,1118730,1178687,-0.1,4.5,-5.1,-0.3,-1665,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",699166,653850,571029,611944,6.9,14.5,-6.7,4.5,45316,Manufacturing
Metal Manufacturing,915201,727435,621578,585133,25.8,17.0,6.2,16.1,187766,Manufacturing
Miscellaneous Manufacturing,1775800,1585427,1492397,1570979,12.0,6.2,-5.0,4.2,190373,Manufacturing
Public Utilities,1079064,1038871,1111206,1086911,3.9,-6.5,2.2,-0.2,40193,
Transportation and Warehousing,5270495,4589999,4479332,4910857,14.8,2.5,-8.8,2.4,680495,
Telecommunication,3284690,3021555,2694466,2518229,8.7,12.1,7.0,9.3,263135,
"Publishing, Broadcasting, and Other Information",1808684,1796604,1536868,1728188,0.7,16.9,-11.1,1.5,12080,
Wholesale Trade,3234676,2957187,2791781,2792615,9.4,5.9,0.0,5.0,277489,
Retail Trade,7139497,6403378,6204961,6003183,11.5,3.2,3.4,5.9,736119,
Banking & Credit Unions,2589125,2615184,2492194,2402871,-1.0,4.9,3.7,2.5,-26059,
Securities / Financial Investments,3572072,4290339,3713439,3368338,-16.7,15.5,10.2,2.0,-718267,
Insurance,4546939,4227111,4150633,4370925,7.6,1.8,-5.0,1.3,319828,
"Real Estate, Rental and Leasing",2057844,2098425,1990578,1824380,-1.9,5.4,9.1,4.1,-40581,
Health and Social Services,32482482,31097625,28362856,27729924,4.5,9.6,2.3,5.4,1384857,
Hospitals,17114260,17304993,15938791,16059122,-1.1,8.6,-0.7,2.1,-190733,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3361545,3234322,3020838,3004832,3.9,7.1,0.5,3.8,127223,Health and Social Services
Outpatient Care Centers and Other Health Services,5085705,4382172,4016050,3593592,16.1,9.1,11.8,12.3,703532,Health and Social Services
Nursing & Personal Care Facilities,3298265,3166382,2785979,2669897,4.2,13.7,4.3,7.3,131883,Health and Social Services
Social Services,3622707,3009756,2601199,2402481,20.4,15.7,8.3,14.7,612951,Health and Social Services
Education,15701573,15008264,15051254,14351787,4.6,-0.3,4.9,3.0,693309,
College and Universities,12753496,12326355,12395375,11521045,3.5,-0.6,7.6,3.4,427141,Education
"Elementary, Secondary Schools",2031739,1834505,1791199,2027681,10.8,2.4,-11.7,0.1,197234,Education
Other Educational Services,916337,847404,864679,803061,8.1,-2.0,7.7,4.5,68934,Education
Professional Services,16174164,15366308,13840909,13881754,5.3,11.0,-0.3,5.2,807856,
Legal Services,5117911,5523622,4441021,4484898,-7.3,24.4,-1.0,4.5,-405711,Professional Services
Management Consulting,3091086,2524077,2488188,3047082,22.5,1.4,-18.3,0.5,567009,Professional Services
Engineering & Architectural Services,1805692,1592468,1458313,1451674,13.4,9.2,0.5,7.5,213224,Professional Services
Computer,1498947,1376061,1236425,1133985,8.9,11.3,9.0,9.7,122887,Professional Services
"Accounting, Auditing, Bookkeeping",2018457,2091738,2036538,1752211,-3.5,2.7,16.2,4.8,-73281,Professional Services
Advertising and Other Professional Services,2642071,2258342,2180425,2011904,17.0,3.6,8.4,9.5,383729,Professional Services
Hotels,903835,790404,856108,838447,14.4,-7.7,2.1,2.5,113431,
Restaurants,3951814,3499795,3301436,3221594,12.9,6.0,2.5,7.0,452019,
Sport Teams,2428809,2157046,2451536,2277836,12.6,-12.0,7.6,2.2,271763,
"Arts, Entertainment, and Other Recreation",1203980,1099323,1048035,1010018,9.5,4.9,3.8,6.0,104657,
Other Sectors,10495004,9422759,8778152,8502437,11.4,7.3,3.2,7.3,1072245,
Membership Organizations,2993868,2714866,2668835,2582507,10.3,1.7,3.3,5.1,279002,Other Sectors
Employment/Outsourcing Agencies,2353226,2197780,1881918,2050498,7.1,16.8,-8.2,4.7,155446,Other Sectors
Security and Investigation Services,820873,801275,662870,628012,2.4,20.9,5.6,9.3,19598,Other Sectors
Services to Buildings,814713,850000,824890,839821,-4.2,3.0,-1.8,-1.0,-35287,Other Sectors
Miscellaneous Sectors,3512324,2858838,2739639,2401599,22.9,4.4,14.1,13.5,653486,Other Sectors
Government,25279781,23972619,25422836,16532824,5.5,-5.7,53.8,15.2,1307162,
State Government (PA),1247008,1005217,962218,943367,24.1,4.5,2.0,9.7,241790,Government
"City, School District, Local Quasi Govt.",11528610,10597325,9365129,11390347,8.8,13.2,-17.8,0.4,931284,Government
Federal Government,12347782,12218232,14955524,4032730,1.1,-18.3,270.9,45.2,129550,Government
Other Governments,156381,151844,139965,166380,3.0,8.5,-15.9,-2.0,4537,Government
Unclassified Accounts,173718,97438,51662,53062,78.3,88.6,-2.6,48.5,76281,
