sector,jan_2019,jan_2018,jan_2017,jan_2016,growth_yoy_2019,growth_yoy_2018,growth_yoy_2017,growth_3yr,net_change,parent_sector
Construction,7649816,7625812,6960344,5810577,0.3,9.6,19.8,9.6,24005,
Manufacturing,11223024,11792023,12774204,10669758,-4.8,-7.7,19.7,1.7,-568999,
"Chemicals, Petroleum Refining",1821789,1858114,2083657,1932797,-2.0,-10.8,7.8,-2.0,-36325,Manufacturing
Pharmaceuticals,2120304,2382143,2811790,2175009,-11.0,-15.3,29.3,-0.8,-261839,Manufacturing
Transportation Equipment,997954,955189,1113991,1003419,4.5,-14.3,11.0,-0.2,42766,Manufacturing
Food & Beverage Products,1638861,1789452,1931904,1495399,-8.4,-7.4,29.2,3.1,-150591,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",1101940,1048331,1085327,796790,5.1,-3.4,36.2,11.4,53609,Manufacturing
Metal Manufacturing,922671,969819,1030041,800648,-4.9,-5.8,28.7,4.8,-47148,Manufacturing
Miscellaneous Manufacturing,2619506,2788976,2717494,2465697,-6.1,2.6,10.2,2.0,-169470,Manufacturing
Public Utilities,1361851,1083091,1130302,999052,25.7,-4.2,13.1,10.9,278759,
Transportation and Warehousing,6703828,6785109,5796263,5088848,-1.2,17.1,13.9,9.6,-81281,
Telecommunication,4266808,4154555,4812616,4201218,2.7,-13.7,14.6,0.5,112253,
"Publishing, Broadcasting, and Other Information",2916335,2580894,2574766,2208510,13.0,0.2,16.6,9.7,335441,
Wholesale Trade,5198270,5602466,5563798,4631214,-7.2,0.7,20.1,3.9,-404196,
Retail Trade,10148296,10734653,9752026,8456888,-5.5,10.1,15.3,6.3,-586357,
Banking & Credit Unions,3556301,3711375,4409562,3773813,-4.2,-15.8,16.8,-2.0,-155074,
Securities / Financial Investments,6145203,6284198,5774550,5442124,-2.2,8.8,6.1,4.1,-138994,
Insurance,5786417,5870991,5594693,5449272,-1.4,4.9,2.7,2.0,-84574,
"Real Estate, Rental and Leasing",3471819,3727696,3427810,2619291,-6.9,8.7,30.9,9.8,-255877,
Health and Social Services,45206009,42258423,38242385,33036166,7.0,10.5,15.8,11.0,2947586,
Hospitals,21373018,20100520,18673006,17103765,6.3,7.6,9.2,7.7,1272498,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",6074239,6078553,5949811,4926392,-0.1,2.2,20.8,7.2,-4313,Health and Social Services
Outpatient Care Centers and Other Health Services,7586066,6791317,6098269,4870223,11.7,11.4,25.2,15.9,794749,Health and Social Services
Nursing & Personal Care Facilities,4469961,4240966,3752887,3163753,5.4,13.0,18.6,12.2,228995,Health and Social Services
Social Services,5702726,5047068,3768412,2972033,13.0,33.9,26.8,24.3,655658,Health and Social Services
Education,14954916,14794531,14298495,10624661,1.1,3.5,34.6,12.1,160385,
College and Universities,10831723,10466631,10241353,7247425,3.5,2.2,41.3,14.3,365092,Education
"Elementary, Secondary Schools",2788689,2932438,2754309,2264722,-4.9,6.5,21.6,7.2,-143749,Education
Other Educational Services,1334503,1395462,1302834,1112514,-4.4,7.1,17.1,6.3,-60958,Education
Professional Services,35093589,34315474,31817472,26286247,2.3,7.9,21.0,10.1,778116,
Legal Services,16553532,16801841,14789733,13443342,-1.5,13.6,10.0,7.2,-248309,Professional Services
Management Consulting,5603012,5420728,5350454,4442701,3.4,1.3,20.4,8.0,182285,Professional Services
Engineering & Architectural Services,2911579,2818303,2728620,2071371,3.3,3.3,31.7,12.0,93275,Professional Services
Computer,2226752,2156341,2136060,1427597,3.3,0.9,49.6,16.0,70411,Professional Services
"Accounting, Auditing, Bookkeeping",2570705,2525298,2269166,1872059,1.8,11.3,21.2,11.2,45407,Professional Services
Advertising and Other Professional Services,5228010,4592963,4543438,3029177,13.8,1.1,50.0,20.0,635047,Professional Services
Hotels,1104817,1137814,974516,793916,-2.9,16.8,22.7,11.6,-32997,
Restaurants,6139184,5367669,5035085,4801132,14.4,6.6,4.9,8.5,771516,
Sport Teams,2202109,3003646,2312983,1145609,-26.7,29.9,101.9,24.3,-801537,
"Arts, Entertainment, and Other Recreation",1646665,1600470,1488975,1266049,2.9,7.5,17.6,9.2,46194,
Other Sectors,17009952,16560518,15337647,11558556,2.7,8.0,32.7,13.7,449434,
Membership Organizations,4529192,4431724,4404878,3173686,2.2,0.6,38.8,12.6,97468,Other Sectors
Employment/Outsourcing Agencies,3610534,3391279,2961430,2658583,6.5,14.5,11.4,10.7,219255,Other Sectors
Security and Investigation Services,855191,919187,749847,981669,-7.0,22.6,-23.6,-4.5,-63996,Other Sectors
Services to Buildings,1227486,1345519,1324225,1022036,-8.8,1.6,29.6,6.3,-118034,Other Sectors
Miscellaneous Sectors,6787549,6472808,5897268,3722581,4.9,9.8,58.4,22.2,314741,Other Sectors
Government,29078805,28214725,24527430,22966203,3.1,15.0,6.8,8.2,864081,
State Government (PA),1037105,1193291,1164675,1104406,-13.1,2.5,5.5,-2.1,-156186,Government
"City, School District, Local Quasi Govt.",14846014,11850008,9080349,8705618,25.3,30.5,4.3,19.5,2996006,Government
Federal Government,12889708,14880996,13995210,12987583,-13.4,6.3,7.8,-0.3,-1991289,Government
Other Governments,305978,290429,287196,168596,5.4,1.1,70.3,22.0,15549,Government
Unclassified Accounts,386436,200125,185903,96424,93.1,7.7,92.8,58.8,186311,
