sector,sep_2017,sep_2016,sep_2015,sep_2014,growth_yoy_2017,growth_yoy_2016,growth_yoy_2015,growth_3yr,net_change,parent_sector
Construction,5264928,4714668,4645137,3947042,11.7,1.5,17.7,10.1,550260,
Manufacturing,7836539,7543493,7837579,7801268,3.9,-3.8,0.5,0.2,293045,
"Chemicals, Petroleum Refining",1543668,1274048,1361328,1392335,21.2,-6.4,-2.2,3.5,269620,Manufacturing
Pharmaceuticals,1377959,1611021,1620184,1644821,-14.5,-0.6,-1.5,-5.7,-233063,Manufacturing
Transportation Equipment,782962,852054,909325,761730,-8.1,-6.3,19.4,0.9,-69092,Manufacturing
Food & Beverage Products,1168562,1118730,1178687,1075400,4.5,-5.1,9.6,2.8,49832,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",651374,571029,611944,686367,14.1,-6.7,-10.8,-1.7,80345,Manufacturing
Metal Manufacturing,727433,621578,585133,568482,17.0,6.2,2.9,8.6,105855,Manufacturing
Miscellaneous Manufacturing,1584582,1495034,1570979,1672134,6.0,-4.8,-6.0,-1.8,89548,Manufacturing
Public Utilities,1037010,1110289,1086911,840205,-6.6,2.2,29.4,7.3,-73279,
Transportation and Warehousing,4566726,4461035,4891950,4065244,2.4,-8.8,20.3,4.0,105691,
Telecommunication,3021555,2692172,2518229,2383889,12.2,6.9,5.6,8.2,329384,
"Publishing, Broadcasting, and Other Information",1799516,1627882,1728188,1552114,10.5,-5.8,11.3,5.1,171634,
Wholesale Trade,2950239,2788215,2792615,2838021,5.8,-0.2,-1.6,1.3,162024,
Retail Trade,6392142,6203283,6003183,6473749,3.0,3.3,-7.3,-0.4,188859,
Banking & Credit Unions,2613736,2491895,2402871,2555767,4.9,3.7,-6.0,0.8,121842,
Securities / Financial Investments,4302699,3724083,3368338,2837589,15.5,10.6,18.7,14.9,578616,
Insurance,4226171,4150267,4370925,3716610,1.8,-5.0,17.6,4.4,75904,
"Real Estate, Rental and Leasing",2085430,1986259,1839188,1879932,5.0,8.0,-2.2,3.5,99171,
Health and Social Services,31102518,28347966,27715116,25458215,9.7,2.3,8.9,6.9,2754552,
Hospitals,17304993,15938791,16059122,14142105,8.6,-0.7,13.6,7.0,1366202,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3241663,3021673,3004832,2911233,7.3,0.6,3.2,3.6,219990,Health and Social Services
Outpatient Care Centers and Other Health Services,4382498,4016043,3593592,3391392,9.1,11.8,6.0,8.9,366455,Health and Social Services
Nursing & Personal Care Facilities,3166382,2785979,2669897,2762182,13.7,4.3,-3.3,4.7,380403,Health and Social Services
Social Services,3006981,2585479,2387674,2251303,16.3,8.3,6.1,10.1,421502,Health and Social Services
Education,14988046,15040763,14351787,14099982,-0.4,4.8,1.8,2.1,-52717,
College and Universities,12325069,12392717,11521045,11190757,-0.5,7.6,3.0,3.3,-67648,Education
"Elementary, Secondary Schools",1829239,1790819,2027681,2012710,2.1,-11.7,0.7,-3.1,38420,Education
Other Educational Services,833738,857227,803061,896516,-2.7,6.7,-10.4,-2.4,-23489,Education
Professional Services,15378736,13774412,13881754,12853774,11.6,-0.8,8.0,6.2,1604325,
Legal Services,5523498,4440885,4484898,4346332,24.4,-1.0,3.2,8.3,1082613,Professional Services
Management Consulting,2529521,2651736,3201724,2811302,-4.6,-17.2,13.9,-3.5,-122214,Professional Services
Engineering & Architectural Services,1597839,1462169,1451674,1399311,9.3,0.7,3.7,4.5,135670,Professional Services
Computer,1380228,1245858,1133985,1129412,10.8,9.9,0.4,6.9,134369,Professional Services
"Accounting, Auditing, Bookkeeping",2089622,2036538,1752211,1589070,2.6,16.2,10.3,9.6,53084,Professional Services
Advertising and Other Professional Services,2258029,1937226,1857262,1578348,16.6,4.3,17.7,12.7,320803,Professional Services
Hotels,788383,852511,838447,845269,-7.5,1.7,-0.8,-2.3,-64128,
Restaurants,3509215,3300864,3221594,2920582,6.3,2.5,10.3,6.3,208351,
Sport Teams,2157046,2451536,2277836,1738000,-12.0,7.6,31.1,7.5,-294490,
"Arts, Entertainment, and Other Recreation",1098755,1047065,1010018,909002,4.9,3.7,11.1,6.5,51690,
Other Sectors,9420792,8795665,8521344,8472439,7.1,3.2,0.6,3.6,625128,
Membership Organizations,2710480,2667115,2582507,2521069,1.6,3.3,2.4,2.4,43365,Other Sectors
Employment/Outsourcing Agencies,2224810,1883084,2069405,1848873,18.1,-9.0,11.9,6.4,341726,Other Sectors
Security and Investigation Services,790631,653959,628012,654610,20.9,4.1,-4.1,6.5,136672,Other Sectors
Services to Buildings,841549,824435,839821,895807,2.1,-1.8,-6.2,-2.1,17114,Other Sectors
Miscellaneous Sectors,2853322,2767072,2401599,2552080,3.1,15.2,-5.9,3.8,86251,Other Sectors
Government,23974201,25424540,16532824,14786227,-5.7,53.8,11.8,17.5,-1450339,
State Government (PA),1005217,962218,943367,1071926,4.5,2.0,-12.0,-2.1,42999,Government
"City, School District, Local Quasi Govt.",10599399,9367085,11390347,9559113,13.2,-17.8,19.2,3.5,1232314,Government
Federal Government,12218232,14955524,4032730,4015391,-18.3,270.9,0.4,44.9,-2737292,Government
Other Governments,151352,139713,166380,139796,8.3,-16.0,19.0,2.7,11639,Government
Unclassified Accounts,150772,52090,53062,103706,189.4,-1.8,-48.8,13.3,98682,
