sector,may_2015,may_2014,may_2013,may_2012,growth_yoy_2015,growth_yoy_2014,growth_yoy_2013,growth_3yr,net_change,parent_sector
Construction,4482840,4180378,3729945,3427569,7.2,12.1,8.8,9.4,302463,
Manufacturing,8095409,7863539,7954630,7882624,2.9,-1.1,0.9,0.9,231870,
"Chemicals, Petroleum Refining",1600796,1288774,1425868,1351557,24.2,-9.6,5.5,5.8,312022,Manufacturing
Pharmaceuticals,1326346,1729696,1414990,1540263,-23.3,22.2,-8.1,-4.9,-403350,Manufacturing
Transportation Equipment,848365,823234,1004276,852834,3.1,-18.0,17.8,-0.2,25132,Manufacturing
Food & Beverage Products,1308769,1048941,1139030,1223542,24.8,-7.9,-6.9,2.3,259828,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",627248,690981,699655,702515,-9.2,-1.2,-0.4,-3.7,-63734,Manufacturing
Metal Manufacturing,608494,689746,628721,609441,-11.8,9.7,3.2,-0.1,-81251,Manufacturing
Miscellaneous Manufacturing,1775391,1592167,1642092,1602471,11.5,-3.0,2.5,3.5,183224,Manufacturing
Public Utilities,980615,887809,1022799,970544,10.5,-13.2,5.4,0.3,92807,
Transportation and Warehousing,4348413,3970090,4285218,4092324,9.5,-7.4,4.7,2.0,378323,
Telecommunication,2894060,2595872,2594845,2563410,11.5,0.0,1.2,4.1,298188,
"Publishing, Broadcasting, and Other Information",1826980,1606615,1810903,1840050,13.7,-11.3,-1.6,-0.2,220365,
Wholesale Trade,2843023,2637125,2837790,2736002,7.8,-7.1,3.7,1.3,205898,
Retail Trade,6412459,6098584,6168138,5968505,5.1,-1.1,3.3,2.4,313875,
Banking & Credit Unions,2486547,2395095,2438868,2436690,3.8,-1.8,0.1,0.7,91452,
Securities / Financial Investments,3230472,4315325,4128212,3510428,-25.1,4.5,17.6,-2.7,-1084852,
Insurance,3733952,3701567,3994733,3874937,0.9,-7.3,3.1,-1.2,32385,
"Real Estate, Rental and Leasing",1700231,1672200,1582433,1593993,1.7,5.7,-0.7,2.2,28031,
Health and Social Services,25963670,26459588,26935596,25571942,-1.9,-1.8,5.3,0.5,-495918,
Hospitals,14004707,14220867,14141260,14288597,-1.5,0.6,-1.0,-0.7,-216159,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",2987903,2901782,3257342,2995737,3.0,-10.9,8.7,-0.1,86121,Health and Social Services
Outpatient Care Centers and Other Health Services,3863707,4532215,4774440,3453572,-14.8,-5.1,38.2,3.8,-668508,Health and Social Services
Nursing & Personal Care Facilities,2762873,2604369,2639468,2589736,6.1,-1.3,1.9,2.2,158504,Health and Social Services
Social Services,2344480,2200356,2123086,2244300,6.6,3.6,-5.4,1.5,144124,Health and Social Services
Education,12917332,12368828,12136169,11986861,4.4,1.9,1.2,2.5,548504,
College and Universities,10342705,9526194,9375210,9223452,8.6,1.6,1.6,3.9,816512,Education
"Elementary, Secondary Schools",1667104,1968638,1892584,1894371,-15.3,4.0,-0.1,-4.2,-301534,Education
Other Educational Services,907523,873997,868374,869038,3.8,0.6,-0.1,1.5,33526,Education
Professional Services,13496353,12425687,12710751,12164788,8.6,-2.2,4.5,3.5,1070666,
Legal Services,4448445,4432556,4955081,4762420,0.4,-10.5,4.0,-2.2,15890,Professional Services
Management Consulting,2684462,2252310,2280736,2218831,19.2,-1.2,2.8,6.6,432152,Professional Services
Engineering & Architectural Services,1511310,1338384,1387108,1284575,12.9,-3.5,8.0,5.6,172926,Professional Services
Computer,1266563,1081652,1131345,969146,17.1,-4.4,16.7,9.3,184912,Professional Services
"Accounting, Auditing, Bookkeeping",1753209,1624187,1405902,1337716,7.9,15.5,5.1,9.4,129022,Professional Services
Advertising and Other Professional Services,1832363,1696598,1550580,1592101,8.0,9.4,-2.6,4.8,135765,Professional Services
Hotels,825861,852026,1031819,805169,-3.1,-17.4,28.1,0.8,-26164,
Restaurants,3471502,3670402,3714199,3516380,-5.4,-1.2,5.6,-0.4,-198900,
Sport Teams,1373290,1009603,1452376,1564666,36.0,-30.5,-7.2,-4.3,363687,
"Arts, Entertainment, and Other Recreation",992535,896093,878796,978687,10.8,2.0,-10.2,0.5,96442,
Other Sectors,9405203,8917662,8856703,8393752,5.5,0.7,5.5,3.9,487541,
Membership Organizations,2650712,2504584,2492592,2418556,5.8,0.5,3.1,3.1,146129,Other Sectors
Employment/Outsourcing Agencies,2198316,1973397,1832754,1874701,11.4,7.7,-2.2,5.5,224919,Other Sectors
Security and Investigation Services,593620,575779,655571,595499,3.1,-12.2,10.1,-0.1,17841,Other Sectors
Services to Buildings,831094,887311,900396,874275,-6.3,-1.5,3.0,-1.7,-56217,Other Sectors
Miscellaneous Sectors,3131461,2976592,2975390,2630721,5.2,0.0,13.1,6.0,154870,Other Sectors
Government,14127470,12475694,15003860,16551437,13.2,-16.9,-9.4,-5.1,1651776,
State Government (PA),978539,928348,911733,914697,5.4,1.8,-0.3,2.3,50191,Government
"City, School District, Local Quasi Govt.",9486273,8542809,11072621,10971836,11.0,-22.8,0.9,-4.7,943464,Government
Federal Government,3349157,2843908,2828955,4466927,17.8,0.5,-36.7,-9.2,505249,Government
Other Governments,313501,160629,190551,197976,95.2,-15.7,-3.8,16.6,152872,Government
Unclassified Accounts,327212,290636,224376,213717,12.6,29.5,5.0,15.3,36576,
