sector,jul_2019,jul_2018,jul_2017,jul_2016,growth_yoy_2019,growth_yoy_2018,growth_yoy_2017,growth_3yr,net_change,parent_sector
Construction,7540469,6986414,6747071,5190714,7.9,3.5,30.0,13.3,554055,
Manufacturing,11111958,9732933,9740932,7552357,14.2,-0.1,29.0,13.7,1379025,
"Chemicals, Petroleum Refining",2223857,1258863,1424506,1321373,76.7,-11.6,7.8,18.9,964994,Manufacturing
Pharmaceuticals,2090101,1883934,1965806,1336878,10.9,-4.2,47.0,16.1,206167,Manufacturing
Transportation Equipment,961541,730833,820205,840987,31.6,-10.9,-2.5,4.6,230708,Manufacturing
Food & Beverage Products,1656437,1500826,1383702,1081602,10.4,8.5,27.9,15.3,155611,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",988230,1024837,923722,618547,-3.6,10.9,49.3,16.9,-36607,Manufacturing
Metal Manufacturing,785227,842746,787629,646978,-6.8,7.0,21.7,6.7,-57519,Manufacturing
Miscellaneous Manufacturing,2406567,2490894,2435361,1705992,-3.4,2.3,42.8,12.2,-84328,Manufacturing
Public Utilities,1262565,1063464,1154922,1018837,18.7,-7.9,13.4,7.4,199101,
Transportation and Warehousing,7046971,5973874,5390121,4505045,18.0,10.8,19.6,16.1,1073097,
Telecommunication,4619491,3387734,3178650,3202561,36.4,6.6,-0.7,13.0,1231757,
"Publishing, Broadcasting, and Other Information",2786741,2618466,2175466,1522918,6.4,20.4,42.8,22.3,168275,
Wholesale Trade,4425393,4432172,4549427,3027149,-0.2,-2.6,50.3,13.5,-6780,
Retail Trade,9532374,8877798,8757122,6583591,7.4,1.4,33.0,13.1,654577,
Banking & Credit Unions,3113328,3055740,3085484,2338982,1.9,-1.0,31.9,10.0,57588,
Securities / Financial Investments,4312865,3874611,3642726,2657633,11.3,6.4,37.1,17.5,438254,
Insurance,5581144,4813200,4593627,4469303,16.0,4.8,2.8,7.7,767945,
"Real Estate, Rental and Leasing",2981130,2838108,2821500,1829740,5.0,0.6,54.2,17.7,143022,
Health and Social Services,44994072,38412089,34819170,29126133,17.1,10.3,19.5,15.6,6581983,
Hospitals,21941453,18260874,16589929,15571487,20.2,10.1,6.5,12.1,3680579,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4833465,4458129,4448502,3490938,8.4,0.2,27.4,11.5,375337,Health and Social Services
Outpatient Care Centers and Other Health Services,7327090,6985978,5872469,4272866,4.9,19.0,37.4,19.7,341112,Health and Social Services
Nursing & Personal Care Facilities,4208035,3679903,3647864,3071750,14.4,0.9,18.8,11.1,528132,Health and Social Services
Social Services,6684029,5027205,4260406,2719092,33.0,18.0,56.7,35.0,1656824,Health and Social Services
Education,17137547,16177354,15756906,14232512,5.9,2.7,10.7,6.4,960193,
College and Universities,12876043,12002270,11883976,11175750,7.3,1.0,6.3,4.8,873773,Education
"Elementary, Secondary Schools",2901002,2832242,2679712,2121452,2.4,5.7,26.3,11.0,68760,Education
Other Educational Services,1360503,1342842,1193218,935310,1.3,12.5,27.6,13.3,17660,Education
Professional Services,23968826,20926710,20081646,14596352,14.5,4.2,37.6,18.0,3042116,
Legal Services,6840022,5944458,5978475,4959577,15.1,-0.6,20.5,11.3,895565,Professional Services
Management Consulting,4941717,4126743,3908282,2698257,19.7,5.6,44.8,22.3,814974,Professional Services
Engineering & Architectural Services,2565614,2385958,2265579,1710559,7.5,5.3,32.4,14.5,179656,Professional Services
Computer,2294575,2065043,1975561,1219487,11.1,4.5,62.0,23.5,229532,Professional Services
"Accounting, Auditing, Bookkeeping",2199441,2042851,2058792,1733613,7.7,-0.8,18.8,8.3,156590,Professional Services
Advertising and Other Professional Services,5127456,4361657,3894956,2274859,17.6,12.0,71.2,31.1,765799,Professional Services
Hotels,1293744,1031716,1009481,878316,25.4,2.2,14.9,13.8,262028,
Restaurants,6184941,5585236,5569198,4047716,10.7,0.3,37.6,15.2,599705,
Sport Teams,2398210,1632483,1397333,1774672,46.9,16.8,-21.3,10.6,765727,
"Arts, Entertainment, and Other Recreation",1667177,1471658,1379040,1102857,13.3,6.7,25.0,14.8,195519,
Other Sectors,16085905,15342778,15665562,10107687,4.8,-2.1,55.0,16.8,743127,
Membership Organizations,4283744,4246846,4189956,2945961,0.9,1.4,42.2,13.3,36897,Other Sectors
Employment/Outsourcing Agencies,3391190,3214364,3709974,2040293,5.5,-13.4,81.8,18.5,176826,Other Sectors
Security and Investigation Services,850474,828442,859574,845355,2.7,-3.6,1.7,0.2,22031,Other Sectors
Services to Buildings,1307194,1209077,1389564,940023,8.1,-13.0,47.8,11.6,98116,Other Sectors
Miscellaneous Sectors,6253304,5844048,5516494,3336055,7.0,5.9,65.4,23.3,409256,Other Sectors
Government,26740520,26059196,26136837,22014862,2.6,-0.3,18.7,6.7,681324,
State Government (PA),1456852,1185890,1171633,926013,22.8,1.2,26.5,16.3,270962,Government
"City, School District, Local Quasi Govt.",13430376,10894759,10683964,9845054,23.3,2.0,8.5,10.9,2535617,Government
Federal Government,11562592,13706675,14036369,11081873,-15.6,-2.3,26.7,1.4,-2144082,Government
Other Governments,290700,271873,244871,161922,6.9,11.0,51.2,21.5,18827,Government
Unclassified Accounts,524634,286150,255185,111492,83.3,12.1,128.9,67.6,238484,
