sector,apr_2019,apr_2018,apr_2017,apr_2016,growth_yoy_2019,growth_yoy_2018,growth_yoy_2017,growth_3yr,net_change,parent_sector
Construction,6500375,6107638,5323729,5078880,6.4,14.7,4.8,8.6,392736,
Manufacturing,11399733,11054047,9401644,9062776,3.1,17.6,3.7,7.9,345686,
"Chemicals, Petroleum Refining",1590402,1710919,1810455,1878766,-7.0,-5.5,-3.6,-5.4,-120518,Manufacturing
Pharmaceuticals,3007453,2573945,2038194,2021686,16.8,26.3,0.8,14.2,433507,Manufacturing
Transportation Equipment,882591,792319,826846,912007,11.4,-4.2,-9.3,-1.1,90272,Manufacturing
Food & Beverage Products,1536935,1574415,1189358,1090100,-2.4,32.4,9.1,12.1,-37481,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",1079331,1078166,753006,684345,0.1,43.2,10.0,16.4,1164,Manufacturing
Metal Manufacturing,773385,889894,743384,653051,-13.1,19.7,13.8,5.8,-116509,Manufacturing
Miscellaneous Manufacturing,2529638,2434387,2040402,1822822,3.9,19.3,11.9,11.5,95251,Manufacturing
Public Utilities,1229598,1498893,1304759,1230872,-18.0,14.9,6.0,0.0,-269295,
Transportation and Warehousing,6055773,5981786,5036730,4722134,1.2,18.8,6.7,8.6,73987,
Telecommunication,6894567,6555876,6090373,5431707,5.2,7.6,12.1,8.3,338692,
"Publishing, Broadcasting, and Other Information",2950228,2901227,1840369,1795704,1.7,57.6,2.5,18.0,49000,
Wholesale Trade,5058182,5090934,3399927,2904504,-0.6,49.7,17.1,20.3,-32752,
Retail Trade,10549623,10019196,7840449,7240893,5.3,27.8,8.3,13.4,530427,
Banking & Credit Unions,4520550,3913520,3719841,3850473,15.5,5.2,-3.4,5.5,607030,
Securities / Financial Investments,5743458,7242084,5387655,5633251,-20.7,34.4,-4.4,0.6,-1498626,
Insurance,6784547,7530607,5962486,5531218,-9.9,26.3,7.8,7.0,-746060,
"Real Estate, Rental and Leasing",3671991,3529584,2543951,2149408,4.0,38.7,18.4,19.5,142407,
Health and Social Services,41118525,39126906,31232209,28394513,5.1,25.3,10.0,13.1,1991619,
Hospitals,19423158,19413092,16705287,15777590,0.1,16.2,5.9,7.2,10066,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4348860,4398318,3384907,3041881,-1.1,29.9,11.3,12.7,-49458,Health and Social Services
Outpatient Care Centers and Other Health Services,7399035,6576812,4704270,3965533,12.5,39.8,18.6,23.1,822222,Health and Social Services
Nursing & Personal Care Facilities,4372763,3981540,3324321,3042126,9.8,19.8,9.3,12.9,391223,Health and Social Services
Social Services,5574709,4757143,3113424,2567383,17.2,52.8,21.3,29.5,817566,Health and Social Services
Education,15900075,15343183,14222566,15697796,3.6,7.9,-9.4,0.4,556892,
College and Universities,11851690,11486707,11050166,12711220,3.2,4.0,-13.1,-2.3,364983,Education
"Elementary, Secondary Schools",2680149,2554770,2138550,1994336,4.9,19.5,7.2,10.4,125380,Education
Other Educational Services,1368237,1301706,1033850,992240,5.1,25.9,4.2,11.3,66530,Education
Professional Services,23422527,21646227,16092012,14634755,8.2,34.5,10.0,17.0,1776300,
Legal Services,6159654,5718173,4958257,4429317,7.7,15.3,11.9,11.6,441481,Professional Services
Management Consulting,4831357,4436351,2942549,2718932,8.9,50.8,8.2,21.1,395006,Professional Services
Engineering & Architectural Services,2488979,2490189,1866535,1892243,0.0,33.4,-1.4,9.6,-1211,Professional Services
Computer,2344720,2171585,1472394,1294433,8.0,47.5,13.7,21.9,173136,Professional Services
"Accounting, Auditing, Bookkeeping",2362209,2178243,1978534,1808814,8.4,10.1,9.4,9.3,183965,Professional Services
Advertising and Other Professional Services,5235609,4651686,2873743,2491017,12.6,61.9,15.4,28.1,583922,Professional Services
Hotels,1041515,1013808,850086,777747,2.7,19.3,9.3,10.2,27707,
Restaurants,5799101,5333035,4006203,3768207,8.7,33.1,6.3,15.5,466065,
Sport Teams,2961985,2494253,861012,993556,18.8,189.7,-13.3,43.9,467733,
"Arts, Entertainment, and Other Recreation",1660481,1483677,1203610,1038985,11.9,23.3,15.8,16.9,176804,
Other Sectors,16657660,15124385,10850675,9554018,10.1,39.4,13.6,20.4,1533274,
Membership Organizations,4179922,4245663,3142127,2844109,-1.5,35.1,10.5,13.7,-65741,Other Sectors
Employment/Outsourcing Agencies,3323316,3382367,2358612,2201475,-1.7,43.4,7.1,14.7,-59051,Other Sectors
Security and Investigation Services,852896,882685,810600,658720,-3.4,8.9,23.1,9.0,-29790,Other Sectors
Services to Buildings,1194153,987462,829516,869853,20.9,19.0,-4.6,11.1,206691,Other Sectors
Miscellaneous Sectors,7107374,5626208,3709818,2979861,26.3,51.7,24.5,33.6,1481166,Other Sectors
Government,18268957,15042959,22065580,12555489,21.4,-31.8,75.7,13.3,3225998,
State Government (PA),1272811,1263428,1232870,959534,0.7,2.5,28.5,9.9,9383,Government
"City, School District, Local Quasi Govt.",12187361,9416036,8896916,8728273,29.4,5.8,1.9,11.8,2771325,Government
Federal Government,4540584,4091669,11732476,2737416,11.0,-65.1,328.6,18.4,448916,Government
Other Governments,268200,271826,203319,130266,-1.3,33.7,56.1,27.2,-3626,Government
Unclassified Accounts,418034,206878,115304,88341,102.1,79.4,30.5,67.9,211156,
