sector,jan_2018,jan_2017,jan_2016,jan_2015,growth_yoy_2018,growth_yoy_2017,growth_yoy_2016,growth_3yr,net_change,parent_sector
Construction,7612884,6959965,5810478,4911657,9.4,19.8,18.3,15.7,652919,
Manufacturing,11740443,12753481,10671922,10956513,-7.9,19.5,-2.6,2.3,-1013037,
"Chemicals, Petroleum Refining",1857728,2083657,1932797,1790364,-10.8,7.8,8.0,1.2,-225929,Manufacturing
Pharmaceuticals,2380899,2811104,2175002,2350946,-15.3,29.2,-7.5,0.4,-430205,Manufacturing
Transportation Equipment,954982,1113991,1003419,1002616,-14.3,11.0,0.1,-1.6,-159009,Manufacturing
Food & Beverage Products,1770671,1931904,1495399,1478412,-8.3,29.2,1.1,6.2,-161232,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",1037217,1065786,795648,882903,-2.7,34.0,-9.9,5.5,-28568,Manufacturing
Metal Manufacturing,968326,1030041,800648,847474,-6.0,28.7,-5.5,4.5,-61714,Manufacturing
Miscellaneous Manufacturing,2770619,2716998,2469010,2603799,2.0,10.0,-5.2,2.1,53621,Manufacturing
Public Utilities,1081732,1128774,998019,1082557,-4.2,13.1,-7.8,0.0,-47042,
Transportation and Warehousing,6750388,5787280,5096481,4879202,16.6,13.6,4.5,11.4,963109,
Telecommunication,4154976,4811624,4201182,3706531,-13.6,14.5,13.3,3.9,-656648,
"Publishing, Broadcasting, and Other Information",2708577,2704378,2263866,2424315,0.2,19.5,-6.6,3.8,4199,
Wholesale Trade,5601453,5576272,4625056,4679560,0.5,20.6,-1.2,6.2,25181,
Retail Trade,10694851,9707820,8458189,8327500,10.2,14.8,1.6,8.7,987030,
Banking & Credit Unions,3702481,4409562,3773785,3586265,-16.0,16.8,5.2,1.1,-707081,
Securities / Financial Investments,6274744,5773848,5447617,5641789,8.7,6.0,-3.4,3.6,500895,
Insurance,5867949,5594310,5448976,4690603,4.9,2.7,16.2,7.8,273639,
"Real Estate, Rental and Leasing",3706119,3412590,2604141,2589339,8.6,31.0,0.6,12.7,293529,
Health and Social Services,42247609,38246921,33032818,32937390,10.5,15.8,0.3,8.7,4000688,
Hospitals,20102664,18673006,17103765,17312911,7.7,9.2,-1.2,5.1,1429657,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",6063082,5955026,4927521,4991816,1.8,20.9,-1.3,6.7,108056,Health and Social Services
Outpatient Care Centers and Other Health Services,6886875,6255862,4865895,4591734,10.1,28.6,6.0,14.5,631013,Health and Social Services
Nursing & Personal Care Facilities,4241555,3596393,3163753,3075189,17.9,13.7,2.9,11.3,645162,Health and Social Services
Social Services,4953434,3766635,2971884,2965741,31.5,26.7,0.2,18.6,1186800,Health and Social Services
Education,14764446,14274160,10598916,11897556,3.4,34.7,-10.9,7.5,490285,
College and Universities,10465435,10241353,7247425,8814234,2.2,41.3,-17.8,5.9,224082,Education
"Elementary, Secondary Schools",2925551,2743669,2259562,2081904,6.6,21.4,8.5,12.0,181883,Education
Other Educational Services,1373460,1289139,1091930,1001419,6.5,18.1,9.0,11.1,84321,Education
Professional Services,34175651,31689485,26263927,26683039,7.8,20.7,-1.6,8.6,2486166,
Legal Services,16799813,14790324,13443511,13982469,13.6,10.0,-3.9,6.3,2009489,Professional Services
Management Consulting,5414343,5349487,4452647,4287668,1.2,20.1,3.8,8.1,64857,Professional Services
Engineering & Architectural Services,2820279,2732138,2076124,2354114,3.2,31.6,-11.8,6.2,88141,Professional Services
Computer,2158459,2150163,1439971,1552380,0.4,49.3,-7.2,11.6,8297,Professional Services
"Accounting, Auditing, Bookkeeping",2518304,2272488,1872059,1689576,10.8,21.4,10.8,14.2,245816,Professional Services
Advertising and Other Professional Services,4464453,4394886,2979616,2816832,1.6,47.5,5.8,16.6,69567,Professional Services
Hotels,1131823,973708,793916,926827,16.2,22.6,-14.3,6.9,158116,
Restaurants,5363420,5026105,4796047,4031171,6.7,4.8,19.0,10.0,337315,
Sport Teams,3004298,2312983,1145609,1509792,29.9,101.9,-24.1,25.8,691316,
"Arts, Entertainment, and Other Recreation",1594549,1488424,1265585,1116057,7.1,17.6,13.4,12.6,106125,
Other Sectors,16514441,15356176,11558424,11232485,7.5,32.9,2.9,13.7,1158266,
Membership Organizations,4433604,4423255,3178513,3216386,0.2,39.2,-1.2,11.3,10350,Other Sectors
Employment/Outsourcing Agencies,3359221,2954287,2622448,2477677,13.7,12.7,5.8,10.7,404934,Other Sectors
Security and Investigation Services,910849,749147,974447,671823,21.6,-23.1,45.0,10.7,161702,Other Sectors
Services to Buildings,1336040,1320019,1016485,1092309,1.2,29.9,-6.9,6.9,16021,Other Sectors
Miscellaneous Sectors,6474726,5909468,3766532,3774290,9.6,56.9,-0.2,19.7,565259,Other Sectors
Government,28214049,24527430,22966585,12119218,15.0,6.8,89.5,32.5,3686619,
State Government (PA),1193291,1164675,1104406,930442,2.5,5.5,18.7,8.6,28615,Government
"City, School District, Local Quasi Govt.",11850008,9080349,8708598,8631637,30.5,4.3,0.9,11.1,2769659,Government
Federal Government,14880996,13995210,12987583,2351718,6.3,7.8,452.3,85.0,885786,Government
Other Governments,289754,287196,165998,205422,0.9,73.0,-19.2,12.1,2558,Government
Unclassified Accounts,528897,221473,99102,115457,138.8,123.5,-14.2,66.1,307423,
