sector,apr_2015,apr_2014,apr_2013,apr_2012,growth_yoy_2015,growth_yoy_2014,growth_yoy_2013,growth_3yr,net_change,parent_sector
Construction,4955063,4215929,4285817,3523121,17.5,-1.6,21.6,12.0,739135,
Manufacturing,11483254,10968840,9357612,9318827,4.7,17.2,0.4,7.2,514414,
"Chemicals, Petroleum Refining",2388136,2278382,1386616,1316702,4.8,64.3,5.3,22.0,109754,Manufacturing
Pharmaceuticals,2823693,2164874,1958726,1873839,30.4,10.5,4.5,14.6,658818,Manufacturing
Transportation Equipment,953231,1010836,779293,787752,-5.7,29.7,-1.1,6.6,-57605,Manufacturing
Food & Beverage Products,1387664,1375403,1113572,1378542,0.9,23.5,-19.2,0.2,12261,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",838368,872898,751067,819469,-4.0,16.2,-8.3,0.8,-34530,Manufacturing
Metal Manufacturing,1009567,878481,875139,910107,14.9,0.4,-3.8,3.5,131086,Manufacturing
Miscellaneous Manufacturing,2082595,2387964,2493199,2232415,-12.8,-4.2,11.7,-2.3,-305369,Manufacturing
Public Utilities,1430481,1440418,1112867,1065990,-0.7,29.4,4.4,10.3,-9937,
Transportation and Warehousing,5273503,5061832,4471244,4135301,4.2,13.2,8.1,8.4,211671,
Telecommunication,6107489,6632500,5448275,4060665,-7.9,21.7,34.2,14.6,-525011,
"Publishing, Broadcasting, and Other Information",2475151,2625175,2150873,2445190,-5.7,22.1,-12.0,0.4,-150023,
Wholesale Trade,4252289,4628095,3825435,3702144,-8.1,21.0,3.3,4.7,-375807,
Retail Trade,8791139,7641635,7744796,7273089,15.0,-1.3,6.5,6.5,1149504,
Banking & Credit Unions,4485125,4139294,4027199,3750945,8.4,2.8,7.4,6.1,345832,
Securities / Financial Investments,5986878,4965389,5727969,4853887,20.6,-13.3,18.0,7.2,1021489,
Insurance,7023835,6042356,4988153,4992458,16.2,21.1,-0.1,12.1,981479,
"Real Estate, Rental and Leasing",2793437,2931816,2656911,2421590,-4.7,10.3,9.7,4.9,-138379,
Health and Social Services,32418684,29845360,26377720,26145788,8.6,13.1,0.9,7.4,2573324,
Hospitals,17003680,15833132,13511988,13145600,7.4,17.2,2.8,9.0,1170548,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4131963,3978427,3755045,3777207,3.9,5.9,-0.6,3.0,153535,Health and Social Services
Outpatient Care Centers and Other Health Services,5337768,4495072,3826551,3669617,18.7,17.5,4.3,13.3,842695,Health and Social Services
Nursing & Personal Care Facilities,3006637,2930304,2755132,2870578,2.6,6.4,-4.0,1.6,76333,Health and Social Services
Social Services,2938637,2608425,2529005,2682787,12.7,3.1,-5.7,3.1,330213,Health and Social Services
Education,13908942,13024757,12435175,13755716,6.8,4.7,-9.6,0.4,884185,
College and Universities,10418725,9749000,9206793,10567181,6.9,5.9,-12.9,-0.5,669725,Education
"Elementary, Secondary Schools",2373997,2222130,2135219,2030725,6.8,4.1,5.1,5.3,151867,Education
Other Educational Services,1116219,1053627,1093164,1157810,5.9,-3.6,-5.6,-1.2,62592,Education
Professional Services,17309082,16380466,15154458,14566000,5.7,8.1,4.0,5.9,928615,
Legal Services,5617658,5396117,4904944,5020464,4.1,10.0,-2.3,3.8,221542,Professional Services
Management Consulting,3561565,3468437,3083484,3024386,2.7,12.5,2.0,5.6,93128,Professional Services
Engineering & Architectural Services,1868971,1703186,1709122,1620757,9.7,-0.3,5.5,4.9,165785,Professional Services
Computer,1683210,1600557,1536962,1507528,5.2,4.1,2.0,3.7,82652,Professional Services
"Accounting, Auditing, Bookkeeping",1679552,1549352,1464389,1312988,8.4,5.8,11.5,8.6,130201,Professional Services
Advertising and Other Professional Services,2898126,2662818,2455557,2079877,8.8,8.4,18.1,11.7,235308,Professional Services
Hotels,947662,968948,864915,879326,-2.2,12.0,-1.6,2.5,-21286,
Restaurants,4540552,3785609,3805568,3715412,19.9,-0.5,2.4,6.9,754943,
Sport Teams,1269852,1928163,1968363,2044734,-34.1,-2.0,-3.7,-14.7,-658310,
"Arts, Entertainment, and Other Recreation",1198270,1143970,1063256,1190783,4.7,7.6,-10.7,0.2,54300,
Other Sectors,12882901,10414033,10681756,10026051,23.7,-2.5,6.5,8.7,2468868,
Membership Organizations,3226622,3161720,2957416,2938516,2.1,6.9,0.6,3.2,64902,Other Sectors
Employment/Outsourcing Agencies,2591147,2145783,2270737,1945989,20.8,-5.5,16.7,10.0,445364,Other Sectors
Security and Investigation Services,703160,627065,662207,750659,12.1,-5.3,-11.8,-2.2,76095,Other Sectors
Services to Buildings,1001889,1016969,1013071,1116529,-1.5,0.4,-9.3,-3.5,-15081,Other Sectors
Miscellaneous Sectors,5360083,3462495,3778327,3274357,54.8,-8.4,15.4,17.9,1897588,Other Sectors
Government,14803362,26366742,22834440,20951309,-43.9,15.5,9.0,-10.9,-11563381,
State Government (PA),974107,917626,1073808,1057265,6.2,-14.5,1.6,-2.7,56481,Government
"City, School District, Local Quasi Govt.",10651871,12691022,9086017,8769727,-16.1,39.7,3.6,6.7,-2039152,Government
Federal Government,2956591,12589888,12485425,10933003,-76.5,0.8,14.2,-35.3,-9633296,Government
Other Governments,220793,168206,189189,191314,31.3,-11.1,-1.1,4.9,52586,Government
Unclassified Accounts,807233,456500,306789,283146,76.8,48.8,8.4,41.8,350732,
