sector,mar_2016,mar_2015,mar_2014,mar_2013,growth_yoy_2016,growth_yoy_2015,growth_yoy_2014,growth_3yr,net_change,parent_sector
Construction,4790371,3541758,3477419,3238865,35.3,1.9,7.4,13.9,1248613,
Manufacturing,13856095,12037007,11750947,10445870,15.1,2.4,12.5,9.9,1819088,
"Chemicals, Petroleum Refining",3725802,2141238,2190279,2721305,74.0,-2.2,-19.5,11.0,1584564,Manufacturing
Pharmaceuticals,4197576,4839358,4660200,3043297,-13.3,3.8,53.1,11.3,-641783,Manufacturing
Transportation Equipment,935381,881478,787134,785314,6.1,12.0,0.2,6.0,53903,Manufacturing
Food & Beverage Products,1306447,1115216,1133332,1039503,17.1,-1.6,9.0,7.9,191231,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",829640,668593,642818,631056,24.1,4.0,1.9,9.5,161047,Manufacturing
Metal Manufacturing,1003489,749738,739177,657130,33.8,1.4,12.5,15.2,253751,Manufacturing
Miscellaneous Manufacturing,1857762,1641386,1598008,1568264,13.2,2.7,1.9,5.8,216376,Manufacturing
Public Utilities,2557171,1658002,1771590,1394501,54.2,-6.4,27.0,22.4,899169,
Transportation and Warehousing,5647004,4718618,4519560,4285498,19.7,4.4,5.5,9.6,928385,
Telecommunication,7405502,5693243,6027573,5315134,30.1,-5.5,13.4,11.7,1712259,
"Publishing, Broadcasting, and Other Information",2157784,2020494,1975297,1911507,6.8,2.3,3.3,4.1,137290,
Wholesale Trade,3123363,2505592,2407192,2406323,24.7,4.1,0.0,9.1,617770,
Retail Trade,6761324,5929686,5290400,5123198,14.0,12.1,3.3,9.7,831638,
Banking & Credit Unions,4368934,4116009,3803319,3735972,6.1,8.2,1.8,5.4,252925,
Securities / Financial Investments,5901033,6666944,6288351,4071895,-11.5,6.0,54.4,13.2,-765911,
Insurance,11189794,9979340,10250661,9694657,12.1,-2.6,5.7,4.9,1210453,
"Real Estate, Rental and Leasing",2344368,2500619,2148713,1844802,-6.2,16.4,16.5,8.3,-156251,
Health and Social Services,29418479,24286309,22943933,23485315,21.1,5.9,-2.3,7.8,5132171,
Hospitals,15875356,13323800,12709094,13615512,19.2,4.8,-6.7,5.3,2551556,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",2910771,2689430,2614476,2625283,8.2,2.9,-0.4,3.5,221341,Health and Social Services
Outpatient Care Centers and Other Health Services,4748662,3587375,3237967,3075736,32.4,10.8,5.3,15.6,1161286,Health and Social Services
Nursing & Personal Care Facilities,3026563,2406983,2418357,2359883,25.7,-0.5,2.5,8.6,619580,Health and Social Services
Social Services,2857128,2278720,1964039,1808902,25.4,16.0,8.6,16.5,578407,Health and Social Services
Education,14378519,13304610,12764595,11714605,8.1,4.2,9.0,7.1,1073909,
College and Universities,11250841,10507349,10007775,9220756,7.1,5.0,8.5,6.9,743492,Education
"Elementary, Secondary Schools",2115644,1929572,1931464,1685933,9.6,-0.1,14.6,7.9,186072,Education
Other Educational Services,1012034,867688,825357,807916,16.6,5.1,2.2,7.8,144346,Education
Professional Services,16234790,13685624,12544556,11714644,18.6,9.1,7.1,11.5,2549167,
Legal Services,5554674,4408111,4289746,4146403,26.0,2.8,3.5,10.2,1146563,Professional Services
Management Consulting,3426307,3082866,2706148,2511507,11.1,13.9,7.7,10.9,343441,Professional Services
Engineering & Architectural Services,1757547,1632599,1330977,1289637,7.7,22.7,3.2,10.9,124949,Professional Services
Computer,1573128,1349110,1347504,1083250,16.6,0.1,24.4,13.2,224018,Professional Services
"Accounting, Auditing, Bookkeeping",1794668,1448455,1279541,1223100,23.9,13.2,4.6,13.6,346213,Professional Services
Advertising and Other Professional Services,2128467,1764484,1590639,1460746,20.6,10.9,8.9,13.4,363983,Professional Services
Hotels,1030786,900474,853235,833989,14.5,5.5,2.3,7.3,130312,
Restaurants,3838055,2942589,2839747,2793047,30.4,3.6,1.7,11.2,895465,
Sport Teams,1815615,1912341,1230472,1003734,-5.1,55.4,22.6,21.8,-96726,
"Arts, Entertainment, and Other Recreation",1118133,916962,1073138,783685,21.9,-14.6,36.9,12.6,201170,
Other Sectors,9424284,8154588,7842603,7554967,15.6,4.0,3.8,7.6,1269696,
Membership Organizations,2520085,2339149,2273861,2180079,7.7,2.9,4.3,4.9,180936,Other Sectors
Employment/Outsourcing Agencies,2293470,2022533,1720666,1665057,13.4,17.5,3.3,11.3,270937,Other Sectors
Security and Investigation Services,643226,594188,545765,620304,8.3,8.9,-12.0,1.2,49038,Other Sectors
Services to Buildings,898655,765679,782400,796748,17.4,-2.1,-1.8,4.1,132975,Other Sectors
Miscellaneous Sectors,3068849,2433039,2519912,2292780,26.1,-3.4,9.9,10.2,635809,Other Sectors
Government,22081479,22254538,13590428,13468237,-0.8,63.8,0.9,17.9,-173059,
State Government (PA),993587,986020,921030,896748,0.8,7.1,2.7,3.5,7568,Government
"City, School District, Local Quasi Govt.",10745617,8715902,8501645,8733276,23.3,2.5,-2.7,7.2,2029715,Government
Federal Government,10146990,12413505,4026547,3675644,-18.3,208.3,9.5,40.3,-2266515,Government
Other Governments,195285,139112,141205,162569,40.4,-1.5,-13.1,6.3,56173,Government
Unclassified Accounts,379424,89564,110389,78326,323.6,-18.9,40.9,69.2,289861,
