sector,jun_2019,jun_2018,jun_2017,jun_2016,growth_yoy_2019,growth_yoy_2018,growth_yoy_2017,growth_3yr,net_change,parent_sector
Construction,5354111,5075366,4975308,4576463,5.5,2.0,8.7,5.4,278745,
Manufacturing,8753344,8323837,8875487,8677077,5.2,-6.2,2.3,0.3,429506,
"Chemicals, Petroleum Refining",1468712,1819925,2004263,1795693,-19.3,-9.2,11.6,-6.5,-351213,Manufacturing
Pharmaceuticals,1934397,1523514,1603847,1523455,27.0,-5.0,5.3,8.3,410884,Manufacturing
Transportation Equipment,691903,760580,1012321,1125997,-9.0,-24.9,-10.1,-15.0,-68677,Manufacturing
Food & Beverage Products,1269981,1219064,1286057,1271399,4.2,-5.2,1.2,0.0,50917,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",819024,633223,651102,692882,29.3,-2.7,-6.0,5.7,185800,Manufacturing
Metal Manufacturing,671610,702067,674685,645403,-4.3,4.1,4.5,1.3,-30457,Manufacturing
Miscellaneous Manufacturing,1897716,1665465,1643212,1622248,13.9,1.4,1.3,5.4,232251,Manufacturing
Public Utilities,1130999,1062948,951390,901228,6.4,11.7,5.6,7.9,68052,
Transportation and Warehousing,5348047,4973111,4733312,5237343,7.5,5.1,-9.6,0.7,374936,
Telecommunication,3490707,3211720,4489140,3809752,8.7,-28.5,17.8,-2.9,278987,
"Publishing, Broadcasting, and Other Information",1906358,1752496,1631434,1772432,8.8,7.4,-8.0,2.5,153861,
Wholesale Trade,3200338,2958876,2839171,2956663,8.2,4.2,-4.0,2.7,241462,
Retail Trade,7345729,6381717,6632055,6745287,15.1,-3.8,-1.7,2.9,964013,
Banking & Credit Unions,2826528,2737122,3165812,2640780,3.3,-13.5,19.9,2.3,89406,
Securities / Financial Investments,4363816,4027710,6167519,5743320,8.3,-34.7,7.4,-8.7,336106,
Insurance,4999530,3113563,4937954,5213781,60.6,-36.9,-5.3,-1.4,1885967,
"Real Estate, Rental and Leasing",2126395,1848367,1885507,1717451,15.0,-2.0,9.8,7.4,278028,
Health and Social Services,32980701,30420525,33817844,30099706,8.4,-10.0,12.4,3.1,2560176,
Hospitals,16756091,15847698,19215138,16281871,5.7,-17.5,18.0,1.0,908393,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3442556,3300173,3832884,3200783,4.3,-13.9,19.7,2.5,142383,Health and Social Services
Outpatient Care Centers and Other Health Services,5414490,4882537,4732840,4954186,10.9,3.2,-4.5,3.0,531954,Health and Social Services
Nursing & Personal Care Facilities,3083827,3018279,2938704,3025784,2.2,2.7,-2.9,0.6,65548,Health and Social Services
Social Services,4283736,3371838,3098279,2637081,27.0,8.8,17.5,17.6,911898,Health and Social Services
Education,15881030,14659820,14721870,14135925,8.3,-0.4,4.1,4.0,1221210,
College and Universities,12229804,11589598,11489970,10945803,5.5,0.9,5.0,3.8,640206,Education
"Elementary, Secondary Schools",2566351,2147109,2306106,2232799,19.5,-6.9,3.3,4.8,419242,Education
Other Educational Services,1084876,923113,925795,957323,17.5,-0.3,-3.3,4.3,161763,Education
Professional Services,16847366,15086483,14906797,13937587,11.7,1.2,7.0,6.5,1760883,
Legal Services,5274884,4958295,5206629,5042652,6.4,-4.8,3.3,1.5,316589,Professional Services
Management Consulting,2892055,2812643,2313896,2162905,2.8,21.6,7.0,10.2,79412,Professional Services
Engineering & Architectural Services,1929926,1780239,1756155,1538353,8.4,1.4,14.2,7.9,149687,Professional Services
Computer,1564735,1408658,1464721,1345125,11.1,-3.8,8.9,5.2,156077,Professional Services
"Accounting, Auditing, Bookkeeping",2436604,1861442,1905802,1635670,30.9,-2.3,16.5,14.2,575162,Professional Services
Advertising and Other Professional Services,2749162,2265207,2259595,2212882,21.4,0.2,2.1,7.5,483955,Professional Services
Hotels,948512,845693,929522,904748,12.2,-9.0,2.7,1.6,102819,
Restaurants,4124698,3938099,3938252,3732925,4.7,0.0,5.5,3.4,186599,
Sport Teams,1400519,1020899,1410663,1743081,37.2,-27.6,-19.1,-7.0,379620,
"Arts, Entertainment, and Other Recreation",1328469,1159699,1156368,1200388,14.6,0.3,-3.7,3.4,168770,
Other Sectors,11103064,9727409,9411228,8976571,14.1,3.4,4.8,7.3,1375656,
Membership Organizations,2997037,2733185,2704348,2569946,9.7,1.1,5.2,5.3,263851,Other Sectors
Employment/Outsourcing Agencies,2516112,2234003,2195959,2201430,12.6,1.7,-0.2,4.6,282108,Other Sectors
Security and Investigation Services,873544,802807,730135,663641,8.8,10.0,10.0,9.6,70737,Other Sectors
Services to Buildings,851292,795164,813722,874615,7.1,-2.3,-7.0,-0.9,56127,Other Sectors
Miscellaneous Sectors,3865080,3162249,2967064,2666939,22.2,6.6,11.3,13.2,702832,Other Sectors
Government,14954022,15184203,13476338,13725229,-1.5,12.7,-1.8,2.9,-230181,
State Government (PA),1234628,1059333,998955,973197,16.5,6.0,2.6,8.3,175295,Government
"City, School District, Local Quasi Govt.",9952221,9477024,8475335,8856268,5.0,11.8,-4.3,4.0,475198,Government
Federal Government,3570114,4472370,3847274,3680441,-20.2,16.2,4.5,-1.0,-902256,Government
Other Governments,197059,175476,154773,215324,12.3,13.4,-28.1,-2.9,21582,Government
Unclassified Accounts,245841,117614,64984,117307,109.0,81.0,-44.6,28.0,128226,
