sector,oct_2014,oct_2013,oct_2012,oct_2011,growth_yoy_2014,growth_yoy_2013,growth_yoy_2012,growth_3yr,net_change,parent_sector
Construction,5434451,4657471,3393216,4004986,16.7,37.3,-15.3,10.7,776980,
Manufacturing,9639945,9357761,8575979,8282547,3.0,9.1,3.5,5.2,282184,
"Chemicals, Petroleum Refining",1492840,1510492,2517734,1153705,-1.2,-40.0,118.2,9.0,-17652,Manufacturing
Pharmaceuticals,1856448,1695675,1407093,1462603,9.5,20.5,-3.8,8.3,160772,Manufacturing
Transportation Equipment,938745,966469,732622,778981,-2.9,31.9,-6.0,6.4,-27724,Manufacturing
Food & Beverage Products,1429942,1437770,1108646,1226273,-0.5,29.7,-9.6,5.3,-7828,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",762775,784007,628855,753822,-2.7,24.7,-16.6,0.4,-21233,Manufacturing
Metal Manufacturing,723454,708617,599658,812636,2.1,18.2,-26.2,-3.8,14838,Manufacturing
Miscellaneous Manufacturing,2435742,2254730,1581372,2094526,8.0,42.6,-24.5,5.2,181012,Manufacturing
Public Utilities,1142018,1121192,812353,938439,1.9,38.0,-13.4,6.8,20826,
Transportation and Warehousing,5261266,5113828,3903658,3992806,2.9,31.0,-2.2,9.6,147439,
Telecommunication,2414093,2268236,2288966,2166110,6.4,-0.9,5.7,3.7,145857,
"Publishing, Broadcasting, and Other Information",2235965,2313919,1659407,1857278,-3.4,39.4,-10.7,6.4,-77954,
Wholesale Trade,3823041,3512587,2548822,3367287,8.8,37.8,-24.3,4.3,310455,
Retail Trade,7507155,7025241,5542702,6349264,6.9,26.7,-12.7,5.7,481913,
Banking & Credit Unions,2634041,2764189,2435039,2756658,-4.7,13.5,-11.7,-1.5,-130149,
Securities / Financial Investments,2969858,2751117,2620869,3057500,8.0,5.0,-14.3,-1.0,218742,
Insurance,4542156,4499767,3741949,3988586,0.9,20.3,-6.2,4.4,42389,
"Real Estate, Rental and Leasing",2514824,2130393,1845671,2152858,18.0,15.4,-14.3,5.3,384431,
Health and Social Services,30323601,29394774,24021790,26392057,3.2,22.4,-9.0,4.7,928827,
Hospitals,15801539,15454903,13341154,13379871,2.2,15.8,-0.3,5.7,346637,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4089881,4289866,2971952,4004623,-4.7,44.3,-25.8,0.7,-199985,Health and Social Services
Outpatient Care Centers and Other Health Services,4631833,4035959,3266004,3673089,14.8,23.6,-11.1,8.0,595874,Health and Social Services
Nursing & Personal Care Facilities,3015442,2991325,2351724,2773604,0.8,27.2,-15.2,2.8,24117,Health and Social Services
Social Services,2784905,2622721,2090956,2560870,6.2,25.4,-18.3,2.8,162184,Health and Social Services
Education,14369625,13407068,12171338,12467815,7.2,10.2,-2.4,4.8,962557,
College and Universities,11144852,10234983,9685090,9324087,8.9,5.7,3.9,6.1,909869,Education
"Elementary, Secondary Schools",2193389,2107433,1642938,2070764,4.1,28.3,-20.7,1.9,85956,Education
Other Educational Services,1031383,1064652,843310,1072965,-3.1,26.2,-21.4,-1.3,-33269,Education
Professional Services,17021243,16030723,12072464,14809605,6.2,32.8,-18.5,4.7,990520,
Legal Services,5630868,5562446,4289523,5689018,1.2,29.7,-24.6,-0.3,68422,Professional Services
Management Consulting,3540353,3073633,2451315,2998182,15.2,25.4,-18.2,5.7,466720,Professional Services
Engineering & Architectural Services,1737555,1708674,1264242,1553795,1.7,35.2,-18.6,3.8,28882,Professional Services
Computer,1563486,1470229,1005913,1265829,6.3,46.2,-20.5,7.3,93257,Professional Services
"Accounting, Auditing, Bookkeeping",1943433,1765269,1575735,1394221,10.1,12.0,13.0,11.7,178164,Professional Services
Advertising and Other Professional Services,2605547,2450472,1485735,1908561,6.3,64.9,-22.2,10.9,155075,Professional Services
Hotels,1034051,999898,905446,817207,3.4,10.4,10.8,8.2,34153,
Restaurants,4579981,4208366,2799030,3654350,8.8,50.4,-23.4,7.8,371615,
Sport Teams,1987074,1962337,1242739,1632600,1.3,57.9,-23.9,6.8,24736,
"Arts, Entertainment, and Other Recreation",1094462,1021830,768751,938946,7.1,32.9,-18.1,5.2,72631,
Other Sectors,11628010,10780425,7646412,9895772,7.9,41.0,-22.7,5.5,847585,
Membership Organizations,3213923,3020395,2323450,2944258,6.4,30.0,-21.1,3.0,193528,Other Sectors
Employment/Outsourcing Agencies,2467729,2217147,1659741,1857326,11.3,33.6,-10.6,9.9,250581,Other Sectors
Security and Investigation Services,728691,911658,555695,852778,-20.1,64.1,-34.8,-5.1,-182968,Other Sectors
Services to Buildings,1139670,1045399,812361,1035179,9.0,28.7,-21.5,3.3,94271,Other Sectors
Miscellaneous Sectors,4077998,3585825,2295165,3206231,13.7,56.2,-28.4,8.3,492172,Other Sectors
Government,24367028,22841585,21337366,17299205,6.7,7.0,23.3,12.1,1525443,
State Government (PA),928367,933441,905632,1040385,-0.5,3.1,-13.0,-3.7,-5073,Government
"City, School District, Local Quasi Govt.",10678388,10550480,8727108,8774425,1.2,20.9,-0.5,6.8,127907,Government
Federal Government,12518518,11158593,11522585,7281071,12.2,-3.2,58.3,19.8,1359925,Government
Other Governments,241755,199071,182041,203324,21.4,9.4,-10.5,5.9,42684,Government
Unclassified Accounts,594901,455227,152278,319455,30.7,198.9,-52.3,23.0,139674,
