category,fiscal_month,amount,fiscal_year,quarter,month
Opening Balance,10,795.8,2020,3,4
TRAN,10,0.0,2020,3,4
Closing Balance,10,767.1,2020,3,4
Receipts - Disbursements,11,-101.9,2020,3,5
Opening Balance,11,767.1,2020,3,5
TRAN,11,0.0,2020,3,5
Closing Balance,11,665.3,2020,3,5
Receipts - Disbursements,12,-91.4,2020,3,6
Opening Balance,12,665.3,2020,3,6
TRAN,12,0.0,2020,3,6
Closing Balance,12,573.8,2020,3,6
Receipts - Disbursements,1,-76.6,2020,2,7
Opening Balance,1,966.4,2020,2,7
TRAN,1,0.0,2020,2,7
Closing Balance,1,889.8,2020,2,7
Receipts - Disbursements,2,-18.9,2020,2,8
Opening Balance,2,889.8,2020,2,8
TRAN,2,0.0,2020,2,8
Closing Balance,2,870.8,2020,2,8
Receipts - Disbursements,3,24.9,2020,2,9
Opening Balance,3,870.8,2020,2,9
TRAN,3,0.0,2020,2,9
Closing Balance,3,895.8,2020,2,9
Receipts - Disbursements,4,-95.9,2020,2,10
Opening Balance,4,895.8,2020,2,10
TRAN,4,0.0,2020,2,10
Closing Balance,4,799.9,2020,2,10
Receipts - Disbursements,5,-107.3,2020,2,11
Opening Balance,5,799.9,2020,2,11
TRAN,5,0.0,2020,2,11
Closing Balance,5,692.6,2020,2,11
Receipts - Disbursements,6,81.4,2020,2,12
Opening Balance,6,692.6,2020,2,12
TRAN,6,0.0,2020,2,12
Closing Balance,6,774.0,2020,2,12
Receipts - Disbursements,7,24.5,2020,2,1
Opening Balance,7,774.0,2020,2,1
TRAN,7,0.0,2020,2,1
Closing Balance,7,798.5,2020,2,1
Receipts - Disbursements,8,326.5,2020,2,2
Opening Balance,8,798.5,2020,2,2
TRAN,8,0.0,2020,2,2
Closing Balance,8,1124.9,2020,2,2
Receipts - Disbursements,9,-474.9,2020,2,3
Opening Balance,9,1124.9,2020,2,3
TRAN,9,0.0,2020,2,3
Closing Balance,9,650.0,2020,2,3
Receipts - Disbursements,10,355.6,2020,2,4
Opening Balance,10,650.0,2020,2,4
TRAN,10,0.0,2020,2,4
Closing Balance,10,1005.6,2020,2,4
Receipts - Disbursements,11,-65.8,2020,2,5
Opening Balance,11,1005.6,2020,2,5
TRAN,11,0.0,2020,2,5
Closing Balance,11,939.8,2020,2,5
Receipts - Disbursements,12,-32.3,2020,2,6
Opening Balance,12,939.8,2020,2,6
TRAN,12,0.0,2020,2,6
Closing Balance,12,907.6,2020,2,6
Receipts - Disbursements,1,-76.6,2020,1,7
Opening Balance,1,966.4,2020,1,7
TRAN,1,0.0,2020,1,7
Closing Balance,1,889.8,2020,1,7
Receipts - Disbursements,2,-18.9,2020,1,8
Opening Balance,2,889.8,2020,1,8
TRAN,2,0.0,2020,1,8
Closing Balance,2,870.8,2020,1,8
Receipts - Disbursements,3,24.9,2020,1,9
Opening Balance,3,870.8,2020,1,9
TRAN,3,0.0,2020,1,9
Closing Balance,3,895.8,2020,1,9
Receipts - Disbursements,4,-95.9,2020,1,10
Opening Balance,4,895.8,2020,1,10
TRAN,4,0.0,2020,1,10
Closing Balance,4,799.9,2020,1,10
Receipts - Disbursements,5,-91.9,2020,1,11
Opening Balance,5,799.9,2020,1,11
TRAN,5,0.0,2020,1,11
Closing Balance,5,707.9,2020,1,11
Receipts - Disbursements,6,-54.0,2020,1,12
Opening Balance,6,707.9,2020,1,12
TRAN,6,0.0,2020,1,12
Closing Balance,6,653.9,2020,1,12
Receipts - Disbursements,7,20.5,2020,1,1
Opening Balance,7,653.9,2020,1,1
TRAN,7,0.0,2020,1,1
Closing Balance,7,674.4,2020,1,1
Receipts - Disbursements,8,257.4,2020,1,2
Opening Balance,8,674.4,2020,1,2
TRAN,8,0.0,2020,1,2
Closing Balance,8,931.7,2020,1,2
Receipts - Disbursements,9,-422.3,2020,1,3
Opening Balance,9,931.7,2020,1,3
TRAN,9,0.0,2020,1,3
Closing Balance,9,509.4,2020,1,3
Receipts - Disbursements,10,381.1,2020,1,4
Opening Balance,10,509.4,2020,1,4
TRAN,10,0.0,2020,1,4
Closing Balance,10,890.6,2020,1,4
Receipts - Disbursements,11,-17.3,2020,1,5
Opening Balance,11,890.6,2020,1,5
TRAN,11,0.0,2020,1,5
Closing Balance,11,873.2,2020,1,5
Receipts - Disbursements,12,-21.9,2020,1,6
Opening Balance,12,873.2,2020,1,6
TRAN,12,0.0,2020,1,6
Closing Balance,12,851.4,2020,1,6
Receipts - Disbursements,1,-91.9,2019,4,7
Opening Balance,1,768.9,2019,4,7
TRAN,1,0.0,2019,4,7
Closing Balance,1,677.1,2019,4,7
Receipts - Disbursements,2,19.4,2019,4,8
Opening Balance,2,677.1,2019,4,8
TRAN,2,0.0,2019,4,8
Closing Balance,2,696.4,2019,4,8
Receipts - Disbursements,3,51.0,2019,4,9
Opening Balance,3,696.4,2019,4,9
TRAN,3,0.0,2019,4,9
Closing Balance,3,747.4,2019,4,9
Receipts - Disbursements,4,-145.4,2019,4,10
Opening Balance,4,747.4,2019,4,10
TRAN,4,0.0,2019,4,10
Closing Balance,4,602.0,2019,4,10
Receipts - Disbursements,5,-37.2,2019,4,11
Opening Balance,5,602.0,2019,4,11
TRAN,5,0.0,2019,4,11
Closing Balance,5,564.8,2019,4,11
Receipts - Disbursements,6,-49.0,2019,4,12
Opening Balance,6,564.8,2019,4,12
TRAN,6,0.0,2019,4,12
Closing Balance,6,515.8,2019,4,12
Receipts - Disbursements,7,27.7,2019,4,1
Opening Balance,7,515.8,2019,4,1
TRAN,7,0.0,2019,4,1
Closing Balance,7,543.5,2019,4,1
Receipts - Disbursements,8,378.7,2019,4,2
Opening Balance,8,543.5,2019,4,2
TRAN,8,0.0,2019,4,2
Closing Balance,8,922.2,2019,4,2
Receipts - Disbursements,9,-373.9,2019,4,3
Opening Balance,9,922.2,2019,4,3
TRAN,9,0.0,2019,4,3
Closing Balance,9,548.4,2019,4,3
Receipts - Disbursements,10,354.3,2019,4,4
Opening Balance,10,548.4,2019,4,4
TRAN,10,0.0,2019,4,4
Closing Balance,10,902.7,2019,4,4
Receipts - Disbursements,11,70.7,2019,4,5
Opening Balance,11,902.7,2019,4,5
TRAN,11,0.0,2019,4,5
Closing Balance,11,973.3,2019,4,5
Receipts - Disbursements,12,-6.9,2019,4,6
Opening Balance,12,973.3,2019,4,6
TRAN,12,0.0,2019,4,6
Closing Balance,12,966.4,2019,4,6
Receipts - Disbursements,1,-91.9,2019,3,7
Opening Balance,1,768.9,2019,3,7
TRAN,1,0.0,2019,3,7
Closing Balance,1,677.1,2019,3,7
Receipts - Disbursements,2,19.4,2019,3,8
Opening Balance,2,677.1,2019,3,8
TRAN,2,0.0,2019,3,8
Closing Balance,2,696.4,2019,3,8
Receipts - Disbursements,3,51.0,2019,3,9
Opening Balance,3,696.4,2019,3,9
TRAN,3,0.0,2019,3,9
Closing Balance,3,747.4,2019,3,9
Receipts - Disbursements,4,-145.4,2019,3,10
Opening Balance,4,747.4,2019,3,10
TRAN,4,0.0,2019,3,10
Closing Balance,4,602.0,2019,3,10
Receipts - Disbursements,5,-37.2,2019,3,11
Opening Balance,5,602.0,2019,3,11
TRAN,5,0.0,2019,3,11
Closing Balance,5,564.8,2019,3,11
Receipts - Disbursements,6,-49.0,2019,3,12
Opening Balance,6,564.8,2019,3,12
TRAN,6,0.0,2019,3,12
Closing Balance,6,515.8,2019,3,12
Receipts - Disbursements,7,27.7,2019,3,1
Opening Balance,7,515.8,2019,3,1
TRAN,7,0.0,2019,3,1
Closing Balance,7,543.5,2019,3,1
Receipts - Disbursements,8,378.7,2019,3,2
Opening Balance,8,543.5,2019,3,2
TRAN,8,0.0,2019,3,2
Closing Balance,8,922.2,2019,3,2
Receipts - Disbursements,9,-373.9,2019,3,3
Opening Balance,9,922.2,2019,3,3
TRAN,9,0.0,2019,3,3
Closing Balance,9,548.4,2019,3,3
Receipts - Disbursements,10,354.3,2019,3,4
Opening Balance,10,548.4,2019,3,4
TRAN,10,0.0,2019,3,4
Closing Balance,10,902.7,2019,3,4
Receipts - Disbursements,11,32.3,2019,3,5
Opening Balance,11,902.7,2019,3,5
TRAN,11,0.0,2019,3,5
Closing Balance,11,935.0,2019,3,5
Receipts - Disbursements,12,-91.8,2019,3,6
Opening Balance,12,935.0,2019,3,6
TRAN,12,0.0,2019,3,6
Closing Balance,12,843.2,2019,3,6
Receipts - Disbursements,1,-91.9,2019,2,7
Opening Balance,1,768.9,2019,2,7
TRAN,1,0.0,2019,2,7
Closing Balance,1,677.1,2019,2,7
Receipts - Disbursements,2,19.4,2019,2,8
Opening Balance,2,677.1,2019,2,8
TRAN,2,0.0,2019,2,8
Closing Balance,2,696.4,2019,2,8
Receipts - Disbursements,3,51.0,2019,2,9
Opening Balance,3,696.4,2019,2,9
TRAN,3,0.0,2019,2,9
Closing Balance,3,747.4,2019,2,9
Receipts - Disbursements,4,-145.4,2019,2,10
Opening Balance,4,747.4,2019,2,10
TRAN,4,0.0,2019,2,10
Closing Balance,4,602.0,2019,2,10
Receipts - Disbursements,5,-37.2,2019,2,11
Opening Balance,5,602.0,2019,2,11
TRAN,5,0.0,2019,2,11
Closing Balance,5,564.8,2019,2,11
Receipts - Disbursements,6,-49.0,2019,2,12
Opening Balance,6,564.8,2019,2,12
TRAN,6,0.0,2019,2,12
Closing Balance,6,515.8,2019,2,12
Receipts - Disbursements,7,27.7,2019,2,1
Opening Balance,7,515.8,2019,2,1
TRAN,7,0.0,2019,2,1
Closing Balance,7,543.5,2019,2,1
Receipts - Disbursements,8,318.4,2019,2,2
Opening Balance,8,543.5,2019,2,2
TRAN,8,0.0,2019,2,2
Closing Balance,8,861.9,2019,2,2
Receipts - Disbursements,9,-376.8,2019,2,3
Opening Balance,9,861.9,2019,2,3
TRAN,9,0.0,2019,2,3
Closing Balance,9,485.1,2019,2,3
Receipts - Disbursements,10,190.5,2019,2,4
Opening Balance,10,485.1,2019,2,4
TRAN,10,0.0,2019,2,4
Closing Balance,10,675.6,2019,2,4
Receipts - Disbursements,11,48.5,2019,2,5
Opening Balance,11,675.6,2019,2,5
TRAN,11,0.0,2019,2,5
Closing Balance,11,724.1,2019,2,5
Receipts - Disbursements,12,-71.1,2019,2,6
Opening Balance,12,724.1,2019,2,6
TRAN,12,0.0,2019,2,6
Closing Balance,12,653.1,2019,2,6
Receipts - Disbursements,1,-91.9,2019,1,7
Opening Balance,1,768.9,2019,1,7
TRAN,1,0.0,2019,1,7
Closing Balance,1,677.1,2019,1,7
Receipts - Disbursements,2,19.4,2019,1,8
Opening Balance,2,677.1,2019,1,8
TRAN,2,0.0,2019,1,8
Closing Balance,2,696.4,2019,1,8
Receipts - Disbursements,3,51.0,2019,1,9
Opening Balance,3,696.4,2019,1,9
TRAN,3,0.0,2019,1,9
Closing Balance,3,747.4,2019,1,9
Receipts - Disbursements,4,-145.4,2019,1,10
Opening Balance,4,747.4,2019,1,10
TRAN,4,0.0,2019,1,10
Closing Balance,4,602.0,2019,1,10
Receipts - Disbursements,5,-0.7,2019,1,11
Opening Balance,5,602.0,2019,1,11
TRAN,5,0.0,2019,1,11
Closing Balance,5,601.3,2019,1,11
Receipts - Disbursements,6,-145.2,2019,1,12
Opening Balance,6,601.3,2019,1,12
TRAN,6,0.0,2019,1,12
Closing Balance,6,456.1,2019,1,12
Receipts - Disbursements,7,44.5,2019,1,1
Opening Balance,7,456.1,2019,1,1
TRAN,7,0.0,2019,1,1
Closing Balance,7,500.6,2019,1,1
Receipts - Disbursements,8,312.9,2019,1,2
Opening Balance,8,500.6,2019,1,2
TRAN,8,0.0,2019,1,2
Closing Balance,8,813.5,2019,1,2
Receipts - Disbursements,9,-349.3,2019,1,3
Opening Balance,9,813.5,2019,1,3
TRAN,9,0.0,2019,1,3
Closing Balance,9,464.2,2019,1,3
Receipts - Disbursements,10,205.5,2019,1,4
Opening Balance,10,464.2,2019,1,4
TRAN,10,0.0,2019,1,4
Closing Balance,10,669.7,2019,1,4
Receipts - Disbursements,11,56.3,2019,1,5
Opening Balance,11,669.7,2019,1,5
TRAN,11,0.0,2019,1,5
Closing Balance,11,726.0,2019,1,5
Receipts - Disbursements,12,-41.5,2019,1,6
Opening Balance,12,726.0,2019,1,6
TRAN,12,0.0,2019,1,6
Closing Balance,12,684.6,2019,1,6
Receipts - Disbursements,1,-39.6,2018,4,7
Opening Balance,1,533.9,2018,4,7
TRAN,1,0.0,2018,4,7
Closing Balance,1,494.3,2018,4,7
Receipts - Disbursements,2,59.6,2018,4,8
Opening Balance,2,494.3,2018,4,8
TRAN,2,0.0,2018,4,8
Closing Balance,2,553.9,2018,4,8
Receipts - Disbursements,3,22.6,2018,4,9
Opening Balance,3,553.9,2018,4,9
TRAN,3,0.0,2018,4,9
Closing Balance,3,576.5,2018,4,9
Receipts - Disbursements,4,-111.7,2018,4,10
Opening Balance,4,576.5,2018,4,10
TRAN,4,0.0,2018,4,10
Closing Balance,4,464.8,2018,4,10
Receipts - Disbursements,5,-28.9,2018,4,11
Opening Balance,5,464.8,2018,4,11
TRAN,5,0.0,2018,4,11
Closing Balance,5,435.9,2018,4,11
Receipts - Disbursements,6,9.7,2018,4,12
Opening Balance,6,435.9,2018,4,12
TRAN,6,125.0,2018,4,12
Closing Balance,6,570.6,2018,4,12
Receipts - Disbursements,7,128.9,2018,4,1
Opening Balance,7,570.6,2018,4,1
TRAN,7,0.0,2018,4,1
Closing Balance,7,699.5,2018,4,1
Receipts - Disbursements,8,347.0,2018,4,2
Opening Balance,8,699.5,2018,4,2
TRAN,8,0.0,2018,4,2
Closing Balance,8,1046.5,2018,4,2
Receipts - Disbursements,9,-484.0,2018,4,3
Opening Balance,9,1046.5,2018,4,3
TRAN,9,0.0,2018,4,3
Closing Balance,9,562.5,2018,4,3
Receipts - Disbursements,10,365.2,2018,4,4
Opening Balance,10,562.5,2018,4,4
TRAN,10,0.0,2018,4,4
Closing Balance,10,927.7,2018,4,4
Receipts - Disbursements,11,94.5,2018,4,5
Opening Balance,11,927.7,2018,4,5
TRAN,11,-125.0,2018,4,5
Closing Balance,11,897.3,2018,4,5
Receipts - Disbursements,12,-128.3,2018,4,6
Opening Balance,12,897.3,2018,4,6
TRAN,12,0.0,2018,4,6
Closing Balance,12,768.9,2018,4,6
Receipts - Disbursements,1,-39.6,2018,3,7
Opening Balance,1,533.9,2018,3,7
TRAN,1,0.0,2018,3,7
Closing Balance,1,494.3,2018,3,7
Receipts - Disbursements,2,59.6,2018,3,8
Opening Balance,2,494.3,2018,3,8
TRAN,2,0.0,2018,3,8
Closing Balance,2,553.9,2018,3,8
Receipts - Disbursements,3,22.6,2018,3,9
Opening Balance,3,553.9,2018,3,9
TRAN,3,0.0,2018,3,9
Closing Balance,3,576.5,2018,3,9
Receipts - Disbursements,4,-111.7,2018,3,10
Opening Balance,4,576.5,2018,3,10
TRAN,4,0.0,2018,3,10
Closing Balance,4,464.8,2018,3,10
Receipts - Disbursements,5,-28.9,2018,3,11
Opening Balance,5,464.8,2018,3,11
TRAN,5,0.0,2018,3,11
Closing Balance,5,435.9,2018,3,11
Receipts - Disbursements,6,9.7,2018,3,12
Opening Balance,6,435.9,2018,3,12
TRAN,6,125.0,2018,3,12
Closing Balance,6,570.6,2018,3,12
Receipts - Disbursements,7,128.9,2018,3,1
Opening Balance,7,570.6,2018,3,1
TRAN,7,0.0,2018,3,1
Closing Balance,7,699.5,2018,3,1
Receipts - Disbursements,8,347.0,2018,3,2
Opening Balance,8,699.5,2018,3,2
TRAN,8,0.0,2018,3,2
Closing Balance,8,1046.5,2018,3,2
Receipts - Disbursements,9,-484.0,2018,3,3
Opening Balance,9,1046.5,2018,3,3
TRAN,9,0.0,2018,3,3
Closing Balance,9,562.5,2018,3,3
Receipts - Disbursements,10,365.2,2018,3,4
Opening Balance,10,562.5,2018,3,4
TRAN,10,0.0,2018,3,4
Closing Balance,10,927.7,2018,3,4
Receipts - Disbursements,11,-58.4,2018,3,5
Opening Balance,11,927.7,2018,3,5
TRAN,11,-125.0,2018,3,5
Closing Balance,11,744.3,2018,3,5
Receipts - Disbursements,12,3.8,2018,3,6
Opening Balance,12,744.3,2018,3,6
TRAN,12,0.0,2018,3,6
Closing Balance,12,748.1,2018,3,6
Receipts - Disbursements,1,-39.6,2018,2,7
Opening Balance,1,533.9,2018,2,7
TRAN,1,0.0,2018,2,7
Closing Balance,1,494.3,2018,2,7
Receipts - Disbursements,2,59.6,2018,2,8
Opening Balance,2,494.3,2018,2,8
TRAN,2,0.0,2018,2,8
Closing Balance,2,553.9,2018,2,8
Receipts - Disbursements,3,22.6,2018,2,9
Opening Balance,3,553.9,2018,2,9
TRAN,3,0.0,2018,2,9
Closing Balance,3,576.5,2018,2,9
Receipts - Disbursements,4,-111.7,2018,2,10
Opening Balance,4,576.5,2018,2,10
TRAN,4,0.0,2018,2,10
Closing Balance,4,464.8,2018,2,10
Receipts - Disbursements,5,-28.9,2018,2,11
Opening Balance,5,464.8,2018,2,11
TRAN,5,0.0,2018,2,11
Closing Balance,5,435.9,2018,2,11
Receipts - Disbursements,6,9.7,2018,2,12
Opening Balance,6,435.9,2018,2,12
TRAN,6,125.0,2018,2,12
Closing Balance,6,570.6,2018,2,12
Receipts - Disbursements,7,128.9,2018,2,1
Opening Balance,7,570.6,2018,2,1
TRAN,7,0.0,2018,2,1
Closing Balance,7,699.5,2018,2,1
Receipts - Disbursements,8,254.4,2018,2,2
Opening Balance,8,699.5,2018,2,2
TRAN,8,0.0,2018,2,2
Closing Balance,8,953.9,2018,2,2
Receipts - Disbursements,9,-356.2,2018,2,3
Opening Balance,9,953.9,2018,2,3
TRAN,9,0.0,2018,2,3
Closing Balance,9,597.8,2018,2,3
Receipts - Disbursements,10,174.9,2018,2,4
Opening Balance,10,597.8,2018,2,4
TRAN,10,0.0,2018,2,4
Closing Balance,10,772.6,2018,2,4
Receipts - Disbursements,11,-54.2,2018,2,5
Opening Balance,11,772.6,2018,2,5
TRAN,11,-125.0,2018,2,5
Closing Balance,11,593.5,2018,2,5
Receipts - Disbursements,12,11.5,2018,2,6
Opening Balance,12,593.5,2018,2,6
TRAN,12,0.0,2018,2,6
Closing Balance,12,605.0,2018,2,6
Receipts - Disbursements,1,-39.6,2018,1,7
Opening Balance,1,533.9,2018,1,7
TRAN,1,0.0,2018,1,7
Closing Balance,1,494.3,2018,1,7
Receipts - Disbursements,2,59.6,2018,1,8
Opening Balance,2,494.3,2018,1,8
TRAN,2,0.0,2018,1,8
Closing Balance,2,553.9,2018,1,8
Receipts - Disbursements,3,22.6,2018,1,9
Opening Balance,3,553.9,2018,1,9
TRAN,3,0.0,2018,1,9
Closing Balance,3,576.5,2018,1,9
Receipts - Disbursements,4,-111.7,2018,1,10
Opening Balance,4,576.5,2018,1,10
TRAN,4,0.0,2018,1,10
Closing Balance,4,464.8,2018,1,10
Receipts - Disbursements,5,-34.8,2018,1,11
Opening Balance,5,464.8,2018,1,11
TRAN,5,125.0,2018,1,11
Closing Balance,5,555.0,2018,1,11
Receipts - Disbursements,6,-23.8,2018,1,12
Opening Balance,6,555.0,2018,1,12
TRAN,6,0.0,2018,1,12
Closing Balance,6,531.2,2018,1,12
Receipts - Disbursements,7,66.3,2018,1,1
Opening Balance,7,531.2,2018,1,1
TRAN,7,0.0,2018,1,1
Closing Balance,7,597.5,2018,1,1
Receipts - Disbursements,8,329.3,2018,1,2
Opening Balance,8,597.5,2018,1,2
TRAN,8,0.0,2018,1,2
Closing Balance,8,926.7,2018,1,2
Receipts - Disbursements,9,-417.2,2018,1,3
Opening Balance,9,926.7,2018,1,3
TRAN,9,0.0,2018,1,3
Closing Balance,9,509.6,2018,1,3
Receipts - Disbursements,10,187.3,2018,1,4
Opening Balance,10,509.6,2018,1,4
TRAN,10,0.0,2018,1,4
Closing Balance,10,696.9,2018,1,4
Receipts - Disbursements,11,-31.6,2018,1,5
Opening Balance,11,696.9,2018,1,5
TRAN,11,-125.0,2018,1,5
Closing Balance,11,540.3,2018,1,5
Receipts - Disbursements,12,-6.9,2018,1,6
Opening Balance,12,540.3,2018,1,6
TRAN,12,0.0,2018,1,6
Closing Balance,12,533.4,2018,1,6
Receipts - Disbursements,1,-105.1,2017,4,7
Opening Balance,1,447.2,2017,4,7
TRAN,1,0.0,2017,4,7
Closing Balance,1,342.1,2017,4,7
Receipts - Disbursements,2,58.9,2017,4,8
Opening Balance,2,342.1,2017,4,8
TRAN,2,0.0,2017,4,8
Closing Balance,2,401.0,2017,4,8
Receipts - Disbursements,3,-28.5,2017,4,9
Opening Balance,3,401.0,2017,4,9
TRAN,3,0.0,2017,4,9
Closing Balance,3,372.5,2017,4,9
Receipts - Disbursements,4,-64.6,2017,4,10
Opening Balance,4,372.5,2017,4,10
TRAN,4,175.0,2017,4,10
Closing Balance,4,482.9,2017,4,10
Receipts - Disbursements,5,1.6,2017,4,11
Opening Balance,5,482.9,2017,4,11
TRAN,5,0.0,2017,4,11
Closing Balance,5,484.4,2017,4,11
Receipts - Disbursements,6,-44.4,2017,4,12
Opening Balance,6,484.4,2017,4,12
TRAN,6,0.0,2017,4,12
Closing Balance,6,440.0,2017,4,12
Receipts - Disbursements,7,95.6,2017,4,1
Opening Balance,7,440.0,2017,4,1
TRAN,7,0.0,2017,4,1
Closing Balance,7,535.6,2017,4,1
Receipts - Disbursements,8,269.3,2017,4,2
Opening Balance,8,535.6,2017,4,2
TRAN,8,0.0,2017,4,2
Closing Balance,8,804.9,2017,4,2
Receipts - Disbursements,9,-291.1,2017,4,3
Opening Balance,9,804.9,2017,4,3
TRAN,9,0.0,2017,4,3
Closing Balance,9,513.8,2017,4,3
Receipts - Disbursements,10,222.6,2017,4,4
Opening Balance,10,513.8,2017,4,4
TRAN,10,0.0,2017,4,4
Closing Balance,10,736.4,2017,4,4
Receipts - Disbursements,11,73.2,2017,4,5
Opening Balance,11,736.4,2017,4,5
TRAN,11,-175.0,2017,4,5
Closing Balance,11,634.6,2017,4,5
Receipts - Disbursements,12,-100.7,2017,4,6
Opening Balance,12,634.6,2017,4,6
TRAN,12,0.0,2017,4,6
Closing Balance,12,533.9,2017,4,6
Receipts - Disbursements,1,-105.1,2017,3,7
Opening Balance,1,447.2,2017,3,7
TRAN,1,0.0,2017,3,7
Closing Balance,1,342.1,2017,3,7
Receipts - Disbursements,2,58.9,2017,3,8
Opening Balance,2,342.1,2017,3,8
TRAN,2,0.0,2017,3,8
Closing Balance,2,401.0,2017,3,8
Receipts - Disbursements,3,-28.5,2017,3,9
Opening Balance,3,401.0,2017,3,9
TRAN,3,0.0,2017,3,9
Closing Balance,3,372.5,2017,3,9
Receipts - Disbursements,4,-71.3,2017,3,10
Opening Balance,4,372.5,2017,3,10
TRAN,4,175.0,2017,3,10
Closing Balance,4,476.2,2017,3,10
Receipts - Disbursements,5,1.6,2017,3,11
Opening Balance,5,476.2,2017,3,11
TRAN,5,0.0,2017,3,11
Closing Balance,5,477.8,2017,3,11
Receipts - Disbursements,6,-44.4,2017,3,12
Opening Balance,6,477.8,2017,3,12
TRAN,6,0.0,2017,3,12
Closing Balance,6,433.4,2017,3,12
Receipts - Disbursements,7,95.6,2017,3,1
Opening Balance,7,433.4,2017,3,1
TRAN,7,0.0,2017,3,1
Closing Balance,7,528.9,2017,3,1
Receipts - Disbursements,8,269.3,2017,3,2
Opening Balance,8,528.9,2017,3,2
TRAN,8,0.0,2017,3,2
Closing Balance,8,798.3,2017,3,2
Receipts - Disbursements,9,-291.1,2017,3,3
Opening Balance,9,798.3,2017,3,3
TRAN,9,0.0,2017,3,3
Closing Balance,9,507.2,2017,3,3
Receipts - Disbursements,10,222.6,2017,3,4
Opening Balance,10,507.2,2017,3,4
TRAN,10,0.0,2017,3,4
Closing Balance,10,729.8,2017,3,4
Receipts - Disbursements,11,-54.1,2017,3,5
Opening Balance,11,729.8,2017,3,5
TRAN,11,-175.0,2017,3,5
Closing Balance,11,500.7,2017,3,5
Receipts - Disbursements,12,-28.1,2017,3,6
Opening Balance,12,500.7,2017,3,6
TRAN,12,0.0,2017,3,6
Closing Balance,12,472.5,2017,3,6
Receipts - Disbursements,1,-105.1,2017,2,7
Opening Balance,1,447.2,2017,2,7
TRAN,1,0.0,2017,2,7
Closing Balance,1,342.1,2017,2,7
Receipts - Disbursements,2,58.9,2017,2,8
Opening Balance,2,342.1,2017,2,8
TRAN,2,0.0,2017,2,8
Closing Balance,2,401.0,2017,2,8
Receipts - Disbursements,3,-28.5,2017,2,9
Opening Balance,3,401.0,2017,2,9
TRAN,3,0.0,2017,2,9
Closing Balance,3,372.5,2017,2,9
Receipts - Disbursements,4,-71.3,2017,2,10
Opening Balance,4,372.5,2017,2,10
TRAN,4,175.0,2017,2,10
Closing Balance,4,476.2,2017,2,10
Receipts - Disbursements,5,1.6,2017,2,11
Opening Balance,5,476.2,2017,2,11
TRAN,5,0.0,2017,2,11
Closing Balance,5,477.8,2017,2,11
Receipts - Disbursements,6,-44.4,2017,2,12
Opening Balance,6,477.8,2017,2,12
TRAN,6,0.0,2017,2,12
Closing Balance,6,433.4,2017,2,12
Receipts - Disbursements,7,95.6,2017,2,1
Opening Balance,7,433.4,2017,2,1
TRAN,7,0.0,2017,2,1
Closing Balance,7,528.9,2017,2,1
Receipts - Disbursements,8,318.8,2017,2,2
Opening Balance,8,528.9,2017,2,2
TRAN,8,0.0,2017,2,2
Closing Balance,8,847.7,2017,2,2
Receipts - Disbursements,9,-434.1,2017,2,3
Opening Balance,9,847.7,2017,2,3
TRAN,9,0.0,2017,2,3
Closing Balance,9,413.7,2017,2,3
Receipts - Disbursements,10,133.3,2017,2,4
Opening Balance,10,413.7,2017,2,4
TRAN,10,0.0,2017,2,4
Closing Balance,10,546.9,2017,2,4
Receipts - Disbursements,11,16.8,2017,2,5
Opening Balance,11,546.9,2017,2,5
TRAN,11,-175.0,2017,2,5
Closing Balance,11,388.7,2017,2,5
Receipts - Disbursements,12,-1.0,2017,2,6
Opening Balance,12,388.7,2017,2,6
TRAN,12,0.0,2017,2,6
Closing Balance,12,387.7,2017,2,6
Receipts - Disbursements,1,-105.1,2017,1,7
Opening Balance,1,447.2,2017,1,7
TRAN,1,0.0,2017,1,7
Closing Balance,1,342.1,2017,1,7
Receipts - Disbursements,2,58.9,2017,1,8
Opening Balance,2,342.1,2017,1,8
TRAN,2,0.0,2017,1,8
Closing Balance,2,401.0,2017,1,8
Receipts - Disbursements,3,-28.5,2017,1,9
Opening Balance,3,401.0,2017,1,9
TRAN,3,0.0,2017,1,9
Closing Balance,3,372.5,2017,1,9
Receipts - Disbursements,4,-70.9,2017,1,10
Opening Balance,4,372.5,2017,1,10
TRAN,4,175.0,2017,1,10
Closing Balance,4,476.6,2017,1,10
Receipts - Disbursements,5,-34.3,2017,1,11
Opening Balance,5,476.6,2017,1,11
TRAN,5,0.0,2017,1,11
Closing Balance,5,442.4,2017,1,11
Receipts - Disbursements,6,-56.8,2017,1,12
Opening Balance,6,442.4,2017,1,12
TRAN,6,0.0,2017,1,12
Closing Balance,6,385.6,2017,1,12
Receipts - Disbursements,7,53.1,2017,1,1
Opening Balance,7,385.6,2017,1,1
TRAN,7,0.0,2017,1,1
Closing Balance,7,438.7,2017,1,1
Receipts - Disbursements,8,331.3,2017,1,2
Opening Balance,8,438.7,2017,1,2
TRAN,8,0.0,2017,1,2
Closing Balance,8,769.9,2017,1,2
Receipts - Disbursements,9,-411.6,2017,1,3
Opening Balance,9,769.9,2017,1,3
TRAN,9,0.0,2017,1,3
Closing Balance,9,358.3,2017,1,3
Receipts - Disbursements,10,144.6,2017,1,4
Opening Balance,10,358.3,2017,1,4
TRAN,10,0.0,2017,1,4
Closing Balance,10,502.9,2017,1,4
Receipts - Disbursements,11,40.4,2017,1,5
