0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2010,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/Category,FY 07 Year End Actual,FY 08 Year End Actual,FY 09 Year End Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budgt.,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Clerk of Quarter Sessions,,,,,,,,,,,
Full-Time Positions,114,117,110,115,106,9,115,115,106,9,9
Class 100 Total Oblig./Approp.,"4,642,061","4,807,963","4,881,702","4,737,844","4,737,844",0,"4,837,844","4,737,844","4,737,844","100,000",o
Class 100 Overtime Oblig./Approp.,"283,501","273,562","163,348","184,450","118,277","66,173","200,000","184,450","118,277","81,723","66,173"
Commerce,,,,,,,,,,,
Full-Time Positions,12,13,23,24,24,0,19,24,24,(5),o
Class 100 Total Oblig./Approp.,"1,165,372","1,052,506","1,299,648","1,542,402","1,542,402",o,"1,805,402","1,542,402","1,542,402","263,000",o
Class 100 Overtime Oblig./Approp.,"18,982","18,023",o,o,o,0,o,0,o,0,o
District Attorney,,,,,,,,,,,
Full-Time Positions,424,437,441,449,410,39,449,449,410,39,39
Class 100 Total Oblig./Approp.,"27,643,334","29,774,477","29,456,083","26,795,257","26,795,257",o,"26,795,257","26,795,257","26,795,257",o,o
Class 100 Overtime Oblig./Approp.,"75,652","167,534","174,690","175,000","145,710","29,290","175,000","175,000","145,710","29,290","29,290"
Division of Technology,,,,,,,,,,,
Full-Time Positions,112,141,146,193,174,19,157,193,174,(17),19
Class 100 Total Oblig./Approp.,"6,699,907","9,634,660","8,959,109","11,729,150","11,729,150",o,"10,171,546","11,729,150","11,729,150","(1,557,604)",0
Class 100 Overtime Oblig./Approp.,"26,852","268,625","134,528","377,589","560,338","(182,749)","35,000","377,589","560,338","(525,338)","(182,749)"
Fairmount Park,,,,,,,,,,,
Full-Time Positions,155,156,159,170,155,15,170,170,155,15,15
Class 100 Total Oblig./Approp.,"8,641,840","9,255,784","8,757,179","8,733,525","8,733,525",0,"8,733,525","8,733,525","8,733,525",o,o
Class 100 Overtime Oblig./Approp.,"1,545,224","1,762,220","1,329,249","1,299,709","1,741,485","(441,776)","1,299,709","1,299,709","1,741,485","(441,776)","(441,776)"
Finance,,,,,,,,,,,
Full-Time Positions,164,170,143,139,141,(2),141,139,141,o,(2)
Class 100 Total Oblig./Approp.,"9,455,980","10,337,578","10,598,489","7,914,167","7,914,167",0,"8,014,918","7,914,167","7,914,167","100,751",o
Class 100 Overtime Oblig./Approp.,"16,457","16,631","14,037","4,630","6,222","(1,592)","12,000","4,630","6,222","5,778","(1,592)"
Fire,,,,,,,,,,,
Full-Time Positions,"2,399","2,326","2,259","2,328","2,187",141,"2,328","2,328","2,187",141,141
Class 100 Total Oblig./Approp.,"175,768,344","169,912,740","169,950,366","170,329,258","170,329,258",0,"169,329,258","170,329,258","170,329,258","(1,000,000)",o
Class 100 Overtime Oblig./Approp.,"30,894,895","23,708,740","20,521,021","19,057,589","19,490,200","(432,611)","15,774,000","19,057,589","19,490,200","(3,716,200)","(432,611)"
