0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR FULL YEAR,2011,
Department/ Category,FY 08 Year End Actual,FY 09 Year End Actual,FY 10 Year End Actual,Adopted Budget,Original Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Engineering Design & Surveying,,,,,,,,
Full-Time Positions,94,88,85,92,92,83,9,9
Class 100 Total Oblig./Approp.,"5,297,857","5,281,868","4,966,138","4,840,817","4,840,817","4,840,817",o,o
Class 100 Overtime Oblig./Approp.,"290,806","67,014","206,864","92,202","92,202","149,989","(57,787)","(57,787)"
Highways,,,,,,,,
Full-Time Positions,311,274,270,294,297,278,16,19
Class 100 Total Oblig./Approp.,"7,322,759","11,892,157","9,738,828","9,664,639","9,664,639","10,964,639","(1,300,000)","(1,300,000)"
Class 100 Overtime Oblig./Approp.,"1,728,904","2,066,141","2,183,481","1,398,868","1,398,868","1,990,175","(591,307)","(591,307)"
Street Lighting,,,,,,,,
Full-Time Positions,21,20,19,20,20,19,1,1
Class 100 Total Oblig./Approp.,"774,107","1,106,564","955,913","937,549","937,549","937,549",o,0
Class 100 Overtime Oblig./Approp.,"138,089","129,694","117,278","84,370","84,370","140,601","(56,231)","(56,231)"
Traffic Engineering,,,,,,,,
Full-Time Positions,88,85,82,89,86,78,11,8
Class 100 Total Oblig./Approp.,"2,968,556","3,224,944","2,954,928","2,967,412","2,967,412","2,967,412",o,o
Class 100 Overtime Oblig./Approp.,"350,988","345,317","354,314","221,670","221,670","353,221","(131,551)","(131,551)"
General Support,,,,,,,,
Full-Time Positions,77,69,67,60,60,52,8,8
Class 100 Total Oblig./Approp,"4,100,281","4,100,439","3,778,397","2,702,773","2,702,773","2,702,773",o,o
Class 100 Overtime Oblig./Approp.,"74,339","61,125","103,913","44,590","44,590","69,212","(24,622)","(24,622)"
Streets-Sanitation,,,,,,,,
Full-Time Positions,"1,248","1,183","1,170","1,228","1,228","1,179",49,49
Class 100 Total Oblig./Approp.,"45,722,318","47,484,458","47,455,599","46,645,923","45,145,923","45,145,923","1,500,000",0
Class 100 Overtime Oblig./Approp.,"6,295,977","6,016,377","9,147,087","5,864,576","5,864,576","7,300,739","(1,436,163)","(1,436,163)"
