0,1,2,3,4,5,6,7,8
,,,,,,,,
,,,,,,FULL YEAR,,
Department / Category,FY 11 Year End,FY 12 Year End,FY 13 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Common Pleas Court,,,,,,,,
Full-Time Positions,"1,350","1,434","1,405","1,435","1,435","1,372",63,63
Class 100 Total Oblig./Approp.,"60,785,680","64,631,386","66,221,253","66,821,731","67,650,541","67,650,541","(828,810)",0
Class 100 Overtime Oblig./Approp.,"3,243","107,518","106,451","93,000","93,000","96,957","(3,957)","(3,957)"
Court Administrator,,,,,,,,
Full-Time Positions,229,232,217,218,218,208,10,10
Class 100 Total Oblig./Approp.,"11,895,822","12,668,917","12,766,093","12,485,237","12,485,237","12,485,237",0,0
Class 100 Overtime Oblig./Approp.,0,"3,623","7,009","5,000","5,000","1,252","3,748","3,748"
Municipal Court,,,,,,,,
Full-Time Positions,173,177,175,181,181,173,8,8
Class 100 Total Oblig./Approp.,"7,780,119","8,050,590","8,305,442","8,557,472","8,557,472","8,557,472",0,0
Class 100 Overtime Oblig./Approp.,22,"2,475",427,"2,000","2,000","1,820",180,180
Traffic Court,,,,,,,,
Full-Time Positions,117,114,112,119,119,113,6,6
Class 100 Total Oblig./Approp.,"4,527,725","4,639,513","4,535,095","4,896,528","4,896,528","4,896,528",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Fleet Management,,,,,,,,
Full-Time Positions,265,268,273,283,283,264,19,19
Class 100 Total Oblig./Approp.,"15,732,183","15,307,822","15,580,580","15,652,172","15,694,256","15,694,256","(42,084)",0
Class 100 Overtime Oblig./Approp.,"2,608,404","2,438,629","2,685,858","2,195,519","2,488,844","2,902,853","(707,334)","(414,009)"
