0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2020 YEAR TO DATE,,,,FY 2020 FULL YEAR,,
Department/ Category,FY 17 Year End,FY 18 Year End,FY 19 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
L&I-Board of L & I Review,,,,,,,,,,,
Full-Time Positions,2,2,2,2,2,0,2,2,2,0,0
Class 100 Total Oblig./Approp.,"148,864","143,207","129,561","29,540","29,540",0,"163,434","163,434","163,434",0,0
Class 100 Overtime Oblig./Approp.,"1,132","1,372","1,164",0,0,0,0,0,0,0,0
L&I-Zoning Board of Adjustment,,,,,,,,,,,
Full-Time Positions,5,0,0,0,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"320,504",0,0,0,0,0,0,0,0,0,0
Class 100 Overtime Oblig./Approp.,402,0,0,0,0,0,0,0,0,0,0
Managing Director,,,,,,,,,,,
Full-Time Positions,296,307,307,311,311,0,344,365,365,(21),0
Class 100 Total Oblig./Approp.,"18,885,758","20,292,249","20,519,487","4,499,855","4,499,855",0,"23,170,579","25,108,827","25,108,827","(1,938,248)",0
Class 100 Overtime Oblig./Approp.,"444,040","471,245","501,777","121,250","166,545","(45,295)","485,000","485,000","485,000",0,0
Mayor's Office,,,,,,,,,,,
Full-Time Positions,42,41,51,54,54,0,60,60,60,0,0
Class 100 Total Oblig./Approp.,"3,647,357","3,487,719","4,779,593","1,239,719","1,239,719",0,"5,393,827","5,578,480","5,578,480","(184,653)",0
Class 100 Overtime Oblig./Approp.,0,0,0,25,88,(63),0,100,100,(100),0
Mayor's Office of Community Empowerment and Opportunity,,,,,,,,,,,
Full-Time Positions,0,2,0,0,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"90,000","233,263","88,250",0,0,0,"90,000","90,000","90,000",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Mural Arts Program,,,,,,,,,,,
Full-Time Positions,10,11,11,12,12,0,12,12,12,0,0
Class 100 Total Oblig./Approp.,"528,228","545,525","587,931","145,587","145,587",0,"638,987","649,569","649,569","(10,582)",0
Class 100 Overtime Oblig./Approp.,"14,905","28,588","16,444","3,402","3,829",(427),"13,609","13,609","13,609",0,0
