0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR,2013,
,,,,,,FULL YEAR,,
Department/Category,FY 10 Year End,FY 11 Year End,FY 12 Year End,Adopted,Current Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Engineering Design & Surveying,,,,,,,,
Full-Time Positions,85,83,84,113,113,96,17,17
Class 100 Total Oblig./Approp.,"4,966,138","4,679,724","4,657,969","5,896,960","5,896,960","5,896,960",o,o
Class 100 Overtime Oblig./Approp.,"206,864","149,989","101,803","138,202","132,281","127,421","10,781","4,860"
Highways,,,,,,,,
Full-Time Positions,270,278,286,276,276,270,6,6
Class 100 Total Oblig./Approp.,"9,738,828","9,776,827","8,965,953","7,604,052","7,604,052","7,604,052",o,o
Class 100 Overtime Oblig./Approp.,"2,183,481","1,988,761","1,235,609","1,352,868","1,318,214","1,100,685","252,183","217,529"
Street Lighting,,,,,,,,
Full-Time Positions,19,19,20,22,22,21,1,1
Class 100 Total Oblig./Approp.,"955,913","961,123","1,019,378","1,087,549","1,087,549","1,087,549",o,o
Class 100 Overtime Oblig./Approp.,"117,278","140,601","170,418","168,370","161,754","184,761","(16,391)","(23,007)"
Traffic Engineering,,,,,,,,
Full-Time Positions,82,78,82,90,90,85,5,5
Class 100 Total Oblig./Approp.,"2,954,928","2,503,999","2,585,719","2,874,157","2,874,157","2,874,157",o,o
Class 100 Overtime Oblig./Approp.,"354,314","351,572","174,237","248,670","257,006","160,478","88,192","96,528"
General Support,,,,,,,,
Full-Time Positions,67,52,53,60,60,53,7,7
Class 100 Total Oblig./Approp.,"3,778,397","2,673,184","2,605,382","2,852,472","3,252,963","3,252,963","(400,491)",o
Class 100 Overtime Oblig./Approp.,"103,913","69,212","45,887","44,590","44,968","51,978","(7,388)","(7,010)"
