name,kind,fiscal_year,total,month_name,month,fiscal_month,year,date
net_profits,total,2022,711418.0,feb,2,8,2022,2022-02-01
net_profits_pica,total,2022,385044.0,feb,2,8,2022,2022-02-01
other_taxes,total,2022,-4215608.0,feb,2,8,2022,2022-02-01
soda,total,2022,6039946.0,feb,2,8,2022,2022-02-01
construction,impact,2022,8752.0,feb,2,8,2022,2022-02-01
net_profits_pica,current,2022,294066.0,jan,1,7,2022,2022-01-01
net_profits_city,prior,2022,221598.0,jan,1,7,2022,2022-01-01
net_profits_city,current,2022,457250.0,jan,1,7,2022,2022-01-01
earnings,total,2022,881909.0,jan,1,7,2022,2022-01-01
earnings_pica,total,2022,296845.0,jan,1,7,2022,2022-01-01
earnings_pica,prior,2022,43964.0,jan,1,7,2022,2022-01-01
earnings_pica,current,2022,252881.0,jan,1,7,2022,2022-01-01
earnings_city,total,2022,585064.0,jan,1,7,2022,2022-01-01
earnings_city,prior,2022,80452.0,jan,1,7,2022,2022-01-01
earnings_city,current,2022,504612.0,jan,1,7,2022,2022-01-01
wage,total,2022,235092483.0,jan,1,7,2022,2022-01-01
wage_pica,total,2022,57636434.0,jan,1,7,2022,2022-01-01
wage_pica,prior,2022,-330477.0,jan,1,7,2022,2022-01-01
wage_pica,current,2022,57966911.0,jan,1,7,2022,2022-01-01
wage_city,total,2022,177456048.0,jan,1,7,2022,2022-01-01
wage_city,prior,2022,-1037106.0,jan,1,7,2022,2022-01-01
wage_city,current,2022,178493154.0,jan,1,7,2022,2022-01-01
real_estate,total,2022,43014632.0,jan,1,7,2022,2022-01-01
net_profits_city,total,2022,678848.0,jan,1,7,2022,2022-01-01
other_taxes,total,2022,3330136.0,jan,1,7,2022,2022-01-01
construction,impact,2022,0.0,jan,1,7,2022,2022-01-01
net_profits_pica,total,2022,492359.0,jan,1,7,2022,2022-01-01
soda,total,2022,6253163.0,jan,1,7,2022,2022-01-01
soda,prior,2022,15457.0,jan,1,7,2022,2022-01-01
soda,current,2022,6237707.0,jan,1,7,2022,2022-01-01
outdoor_ads,total,2022,213495.0,jan,1,7,2022,2022-01-01
real_estate_transfer,total,2022,58258587.0,jan,1,7,2022,2022-01-01
valet,total,2022,121340.0,jan,1,7,2022,2022-01-01
parking,total,2022,6940800.0,jan,1,7,2022,2022-01-01
tobacco,total,2022,69839.0,jan,1,7,2022,2022-01-01
amusement,total,2022,1884346.0,jan,1,7,2022,2022-01-01
sales,total,2022,14739309.0,jan,1,7,2022,2022-01-01
birt,total,2022,27002657.0,jan,1,7,2022,2022-01-01
birt,prior,2022,2469419.0,jan,1,7,2022,2022-01-01
birt,current,2022,24533238.0,jan,1,7,2022,2022-01-01
wage_earnings_net_profits_city,total,2022,178719961.0,jan,1,7,2022,2022-01-01
wage_earnings_net_profits_pica,total,2022,58425639.0,jan,1,7,2022,2022-01-01
wage_earnings_net_profits,total,2022,237145599.0,jan,1,7,2022,2022-01-01
net_profits,total,2022,1171208.0,jan,1,7,2022,2022-01-01
net_profits_pica,prior,2022,198294.0,jan,1,7,2022,2022-01-01
all_taxes,total,2022,340548265.0,jan,1,7,2022,2022-01-01
real_estate,current,2022,40244586.0,jan,1,7,2022,2022-01-01
real_estate,prior,2022,2770046.0,jan,1,7,2022,2022-01-01
other_taxes,total,2022,-5399717.0,dec,12,6,2021,2021-12-01
net_profits_pica,current,2022,-110271.0,dec,12,6,2021,2021-12-01
net_profits_pica,total,2022,32921.0,dec,12,6,2021,2021-12-01
net_profits,total,2022,-496616.0,dec,12,6,2021,2021-12-01
wage_earnings_net_profits,total,2022,184021104.0,dec,12,6,2021,2021-12-01
wage_earnings_net_profits_pica,total,2022,45024412.0,dec,12,6,2021,2021-12-01
wage_earnings_net_profits_city,total,2022,138996692.0,dec,12,6,2021,2021-12-01
birt,current,2022,64758230.0,dec,12,6,2021,2021-12-01
birt,prior,2022,1749425.0,dec,12,6,2021,2021-12-01
birt,total,2022,66507655.0,dec,12,6,2021,2021-12-01
sales,total,2022,15807648.0,dec,12,6,2021,2021-12-01
amusement,total,2022,1454546.0,dec,12,6,2021,2021-12-01
tobacco,total,2022,6515.0,dec,12,6,2021,2021-12-01
parking,total,2022,7357770.0,dec,12,6,2021,2021-12-01
valet,total,2022,116862.0,dec,12,6,2021,2021-12-01
real_estate_transfer,total,2022,67384136.0,dec,12,6,2021,2021-12-01
outdoor_ads,total,2022,426293.0,dec,12,6,2021,2021-12-01
soda,current,2022,7128955.0,dec,12,6,2021,2021-12-01
soda,prior,2022,13942.0,dec,12,6,2021,2021-12-01
net_profits_pica,prior,2022,143192.0,dec,12,6,2021,2021-12-01
net_profits_city,total,2022,-529537.0,dec,12,6,2021,2021-12-01
real_estate,current,2022,33933303.0,dec,12,6,2021,2021-12-01
all_taxes,total,2022,335870557.0,dec,12,6,2021,2021-12-01
real_estate,prior,2022,2135957.0,dec,12,6,2021,2021-12-01
real_estate,total,2022,36069260.0,dec,12,6,2021,2021-12-01
wage_city,current,2022,137453947.0,dec,12,6,2021,2021-12-01
wage_city,prior,2022,1665351.0,dec,12,6,2021,2021-12-01
wage_city,total,2022,139119298.0,dec,12,6,2021,2021-12-01
wage_pica,current,2022,44206889.0,dec,12,6,2021,2021-12-01
wage_pica,prior,2022,531215.0,dec,12,6,2021,2021-12-01
wage_pica,total,2022,44738104.0,dec,12,6,2021,2021-12-01
wage,total,2022,183857402.0,dec,12,6,2021,2021-12-01
earnings_city,current,2022,267363.0,dec,12,6,2021,2021-12-01
earnings_city,prior,2022,139568.0,dec,12,6,2021,2021-12-01
earnings_city,total,2022,406931.0,dec,12,6,2021,2021-12-01
earnings_pica,current,2022,177119.0,dec,12,6,2021,2021-12-01
earnings_pica,prior,2022,76268.0,dec,12,6,2021,2021-12-01
earnings_pica,total,2022,253387.0,dec,12,6,2021,2021-12-01
earnings,total,2022,660318.0,dec,12,6,2021,2021-12-01
net_profits_city,current,2022,-689910.0,dec,12,6,2021,2021-12-01
net_profits_city,prior,2022,160373.0,dec,12,6,2021,2021-12-01
soda,total,2022,7142897.0,dec,12,6,2021,2021-12-01
construction,impact,2022,0.0,dec,12,6,2021,2021-12-01
other_taxes,total,2022,6699593.0,nov,11,5,2021,2021-11-01
birt,total,2022,17250924.0,nov,11,5,2021,2021-11-01
all_taxes,total,2022,229514998.0,nov,11,5,2021,2021-11-01
net_profits_pica,total,2022,697294.0,nov,11,5,2021,2021-11-01
net_profits,total,2022,1453718.0,nov,11,5,2021,2021-11-01
