category,fiscal_month,amount
real_estate_tax,1,9.1
total_wage_earnings_net_profits,1,95.9
realty_transfer_tax,1,21.6
sales_tax,1,12.0
business_income_and_receipts_tax,1,7.4
other_taxes,1,5.2
locally_generated_nontax,1,18.0
total_other_governments,1,4.1
total_pica_other_governments,1,18.8
interfund_transfers,1,0.0
total_current_revenue,1,192.1
collection_of_prior_year_revenue,1,49.3
other_fund_balance_adjustments,1,7.9
total_cash_receipts,1,249.3
real_estate_tax,2,7.4
total_wage_earnings_net_profits,2,105.6
realty_transfer_tax,2,20.6
sales_tax,2,10.7
business_income_and_receipts_tax,2,3.3
other_taxes,2,7.5
locally_generated_nontax,2,22.5
total_other_governments,2,137.1
total_pica_other_governments,2,33.1
interfund_transfers,2,0.0
total_current_revenue,2,348.0
collection_of_prior_year_revenue,2,31.0
other_fund_balance_adjustments,2,0.0
total_cash_receipts,2,379.0
real_estate_tax,3,5.4
total_wage_earnings_net_profits,3,89.9
realty_transfer_tax,3,15.8
sales_tax,3,11.3
business_income_and_receipts_tax,3,14.2
other_taxes,3,6.0
locally_generated_nontax,3,19.1
total_other_governments,3,6.4
total_pica_other_governments,3,14.7
interfund_transfers,3,0.9
total_current_revenue,3,183.7
collection_of_prior_year_revenue,3,10.0
other_fund_balance_adjustments,3,0.0
total_cash_receipts,3,193.7
real_estate_tax,4,6.4
total_wage_earnings_net_profits,4,105.5
realty_transfer_tax,4,15.5
sales_tax,4,11.6
business_income_and_receipts_tax,4,19.0
other_taxes,4,4.9
locally_generated_nontax,4,20.8
total_other_governments,4,99.1
total_pica_other_governments,4,24.2
interfund_transfers,4,0.5
total_current_revenue,4,307.7
collection_of_prior_year_revenue,4,0.0
other_fund_balance_adjustments,4,0.0
total_cash_receipts,4,307.7
real_estate_tax,5,5.9
total_wage_earnings_net_profits,5,114.9
realty_transfer_tax,5,16.6
sales_tax,5,12.2
business_income_and_receipts_tax,5,1.2
other_taxes,5,3.1
locally_generated_nontax,5,18.1
total_other_governments,5,20.4
total_pica_other_governments,5,26.3
interfund_transfers,5,0.4
total_current_revenue,5,219.2
collection_of_prior_year_revenue,5,0.0
other_fund_balance_adjustments,5,0.0
total_cash_receipts,5,219.2
real_estate_tax,6,13.7
total_wage_earnings_net_profits,6,106.4
realty_transfer_tax,6,17.8
sales_tax,6,11.2
business_income_and_receipts_tax,6,15.3
other_taxes,6,5.2
locally_generated_nontax,6,21.0
total_other_governments,6,17.5
total_pica_other_governments,6,3.5
interfund_transfers,6,0.5
total_current_revenue,6,212.2
collection_of_prior_year_revenue,6,0.0
other_fund_balance_adjustments,6,0.0
total_cash_receipts,6,212.2
real_estate_tax,7,34.3
total_wage_earnings_net_profits,7,121.1
realty_transfer_tax,7,19.8
sales_tax,7,10.3
business_income_and_receipts_tax,7,8.2
other_taxes,7,6.3
locally_generated_nontax,7,25.6
total_other_governments,7,30.9
total_pica_other_governments,7,22.6
interfund_transfers,7,0.3
total_current_revenue,7,279.3
collection_of_prior_year_revenue,7,0.0
other_fund_balance_adjustments,7,0.0
total_cash_receipts,7,279.3
real_estate_tax,8,201.7
total_wage_earnings_net_profits,8,79.8
realty_transfer_tax,8,11.8
sales_tax,8,12.4
business_income_and_receipts_tax,8,1.4
other_taxes,8,5.3
locally_generated_nontax,8,19.4
total_other_governments,8,68.8
total_pica_other_governments,8,37.7
interfund_transfers,8,0.4
total_current_revenue,8,438.6
collection_of_prior_year_revenue,8,0.0
other_fund_balance_adjustments,8,0.0
total_cash_receipts,8,438.6
real_estate_tax,9,79.7
total_wage_earnings_net_profits,9,111.6
realty_transfer_tax,9,15.0
sales_tax,9,10.2
business_income_and_receipts_tax,9,23.8
other_taxes,9,5.4
locally_generated_nontax,9,26.8
total_other_governments,9,69.9
total_pica_other_governments,9,25.2
interfund_transfers,9,0.5
total_current_revenue,9,368.0
collection_of_prior_year_revenue,9,0.0
other_fund_balance_adjustments,9,0.0
total_cash_receipts,9,368.0
real_estate_tax,10,18.4
total_wage_earnings_net_profits,10,100.1
realty_transfer_tax,10,14.3
sales_tax,10,10.7
business_income_and_receipts_tax,10,176.7
other_taxes,10,9.0
locally_generated_nontax,10,17.6
total_other_governments,10,53.4
total_pica_other_governments,10,9.7
interfund_transfers,10,0.4
total_current_revenue,10,410.4
collection_of_prior_year_revenue,10,0.0
other_fund_balance_adjustments,10,0.0
total_cash_receipts,10,410.4
real_estate_tax,11,6.5
total_wage_earnings_net_profits,11,100.4
realty_transfer_tax,11,19.1
sales_tax,11,12.1
business_income_and_receipts_tax,11,146.4
other_taxes,11,6.4
locally_generated_nontax,11,19.1
total_other_governments,11,105.5
total_pica_other_governments,11,28.2
interfund_transfers,11,0.4
total_current_revenue,11,444.0
collection_of_prior_year_revenue,11,0.0
other_fund_balance_adjustments,11,0.0
total_cash_receipts,11,444.0
real_estate_tax,12,6.1
total_wage_earnings_net_profits,12,84.4
realty_transfer_tax,12,17.2
sales_tax,12,11.2
business_income_and_receipts_tax,12,21.3
other_taxes,12,4.8
locally_generated_nontax,12,46.8
total_other_governments,12,66.9
total_pica_other_governments,12,13.8
interfund_transfers,12,20.4
total_current_revenue,12,292.9
collection_of_prior_year_revenue,12,0.0
other_fund_balance_adjustments,12,-7.0
total_cash_receipts,12,285.9
real_estate_tax,13,394.5
total_wage_earnings_net_profits,13,1215.8
realty_transfer_tax,13,205.0
sales_tax,13,135.9
business_income_and_receipts_tax,13,438.2
other_taxes,13,69.2
locally_generated_nontax,13,274.8
total_other_governments,13,680.0
total_pica_other_governments,13,257.8
interfund_transfers,13,24.7
total_current_revenue,13,3695.9
collection_of_prior_year_revenue,13,90.3
other_fund_balance_adjustments,13,0.9
total_cash_receipts,13,3787.3
